log(r)=19.99	t=7.6286	t=7.7786	t=7.9286	t=8.0786	t=8.2286	t=8.3786	t=8.5286	t=8.6786	t=8.8286	t=8.9786	t=9.1286	t=9.2786	t=9.4286	t=9.5786	t=9.7286	t=9.8786	t=10.0286	t=10.1786	t=10.3286	t=10.4786	t=10.6286	
6	0	0	0	0	0	0	0	0	0	0	-0.299232	-0.299232	-0.299232	-0.299232	-0.299232	-0.299232	-0.299232	-0.299232	-0.299232	-0.299232	-0.299232	
6.18	0	0	0	0	0	0	0	0	0	0	-0.393865	-0.393865	-0.393865	-0.393865	-0.393865	-0.393865	-0.393865	-0.393865	-0.393865	-0.393865	-0.393865	
6.36	0	0	0	0	0	0	0	0	0	0	-0.542785	-0.542785	-0.542785	-0.542785	-0.542785	-0.542785	-0.542785	-0.542785	-0.542785	-0.542785	-0.542785	
6.54	0	0	0	0	0	0	0	0	0	0	-0.740487	-0.740487	-0.740487	-0.740487	-0.740487	-0.740487	-0.740487	-0.740487	-0.740487	-0.740487	-0.740487	
6.72	0	0	0	0	0	0	0	0	0	0	-0.990714	-0.990714	-0.990714	-0.990714	-0.990714	-0.990714	-0.990714	-0.990714	-0.990714	-0.990714	-0.990714	
6.9	0	0	0	0	0	0	0	0	0	0	-1.27037	-1.27037	-1.27037	-1.27037	-1.27037	-1.27037	-1.27037	-1.27037	-1.27037	-1.27037	-1.27037	
7.08	0	0	0	0	0	0	0	0	0	0	-1.57778	-1.57778	-1.57778	-1.57778	-1.57778	-1.57778	-1.57778	-1.57778	-1.57778	-1.57778	-1.57778	
7.26	0	0	0	0	0	0	0	0	0	0	-1.905	-1.905	-1.905	-1.905	-1.905	-1.905	-1.905	-1.905	-1.905	-1.905	-1.905	
7.44	0	0	0	0	0	0	0	0	0	0	-2.24513	-2.24513	-2.24513	-2.24513	-2.24513	-2.24513	-2.24513	-2.24513	-2.24513	-2.24513	-2.24513	
7.62	0	0	0	0	0	0	0	0	0	0	-2.59767	-2.59767	-2.59767	-2.59767	-2.59767	-2.59767	-2.59767	-2.59767	-2.59767	-2.59767	-2.59767	
7.8	0	0	0	0	0	0	0	0	0	0	-2.95544	-2.95544	-2.95544	-2.95544	-2.95544	-2.95544	-2.95544	-2.95544	-2.95544	-2.95544	-2.95544	
7.98	0	0	0	0	0	0	0	0	0	0	-3.319	-3.319	-3.319	-3.319	-3.319	-3.319	-3.319	-3.319	-3.319	-3.319	-3.319	
8.16	0	0	0	0	0	0	0	0	0	0	-3.68093	-3.68093	-3.68093	-3.68093	-3.68093	-3.68093	-3.68093	-3.68093	-3.68093	-3.68093	-3.68093	
8.34	0	0	0	0	0	0	0	0	0	0	-4.05086	-4.05086	-4.05086	-4.05086	-4.05086	-4.05086	-4.05086	-4.05086	-4.05086	-4.05086	-4.05086	
8.52	0	0	0	0	0	0	0	0	0	0	-4.42122	-4.42122	-4.42122	-4.42122	-4.42122	-4.42122	-4.42122	-4.42122	-4.42122	-4.42122	-4.42122	
