log(E)=10.5	t=7.6286	t=7.7786	t=7.9286	t=8.0786	t=8.2286	t=8.3786	t=8.5286	t=8.6786	t=8.8286	t=8.9786	t=9.1286	t=9.2786	t=9.4286	t=9.5786	t=9.7286	t=9.8786	t=10.0286	t=10.1786	t=10.3286	t=10.4786	t=10.6286	
1	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	-7.70788	
1.41254	0	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	-7.85788	
1.99526	0	0	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	-8.00788	
2.81838	0	0	0	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	-8.15788	
3.98107	0	0	0	0	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	-8.30788	
5.62341	0	0	0	0	0	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	-8.45788	
7.94328	0	0	0	0	0	0	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	-8.60788	
11.2202	0	0	0	0	0	0	0	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	-8.75788	
15.8489	0	0	0	0	0	0	0	0	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	-8.90788	
22.3872	0	0	0	0	0	0	0	0	0	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	-9.05788	
31.6228	0	0	0	0	0	0	0	0	0	0	-9.20788	-9.20788	-9.20788	-9.20788	-9.20788	-9.20788	-9.20788	-9.20788	-9.20788	-9.20788	-9.20788	
44.6684	0	0	0	0	0	0	0	0	0	0	0	-9.35788	-9.35788	-9.35788	-9.35788	-9.35788	-9.35788	-9.35788	-9.35788	-9.35788	-9.35788	
63.0957	0	0	0	0	0	0	0	0	0	0	0	0	-9.50788	-9.50788	-9.50788	-9.50788	-9.50788	-9.50788	-9.50788	-9.50788	-9.50788	
89.1251	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.65788	-9.65788	-9.65788	-9.65788	-9.65788	-9.65788	-9.65788	-9.65788	
125.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.80788	-9.80788	-9.80788	-9.80788	-9.80788	-9.80788	-9.80788	
177.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.95788	-9.95788	-9.95787	-9.95787	-9.95787	-9.95787	
251.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.1079	-10.1079	-10.1079	-10.1079	-10.1079	
354.813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.2579	-10.2579	-10.2579	-10.2579	
501.187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.4079	-10.4079	-10.4079	
707.946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.5579	-10.5579	
1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.7079	
