10:35:00 
10:35:54 
log(E/eV)	log(Lsyn/erg s-1)	log(Lic/erg s-1)	log(LicCMB/erg s-1)
-5.39864	39.9651	0	0
-5.01864	40.1409	0	0
-4.63864	40.3103	0	0
-4.25864	40.4766	0	24.9174
-3.87864	40.6397	0	26.3688
-3.49864	40.7958	0	27.503
-3.11864	40.9413	0	28.4527
-2.73864	41.0718	0	29.1806
-2.35864	41.1872	0	29.7678
-1.97864	41.2867	0	30.2595
-1.59864	41.3726	0	30.6466
-1.21864	41.449	0	30.9837
-0.83864	41.5174	32.3183	31.2727
-0.45864	41.5766	34.4716	31.5392
-0.0786398	41.6231	35.7376	31.7682
0.30136	41.658	37.0928	31.9878
0.68136	41.6818	38.6259	32.2008
1.06136	41.6958	40.212	32.41
1.44136	41.7033	41.7817	32.6216
1.82136	41.7043	43.3356	32.8043
2.20136	41.6992	44.8818	32.9904
2.58136	41.6866	46.3266	33.16
2.96136	41.6672	46.7173	33.3207
3.34136	41.6424	45.7276	33.4925
3.72136	41.6121	36.9533	33.6519
4.10136	41.5796	-17.3345	33.8262
4.48136	41.5438	0	33.9686
4.86136	41.5029	0	34.0868
5.24136	41.444	0	34.1906
5.62136	41.3422	0	34.2436
6.00136	41.1899	0	34.3126
6.38136	40.9967	0	34.3423
6.76136	40.7866	0	34.4095
7.14136	40.5544	0	34.4747
7.52136	40.2863	0	34.4785
7.90136	39.9276	0	34.5084
8.28136	39.3691	0	34.47
8.66136	38.518	0	34.4513
9.04136	37.2331	0	34.4295
9.42136	34.4942	0	34.3912
9.80136	27.4437	0	34.4335
10.1814	9.83251	0	34.4011
10.5614	-33.1226	0	34.3692
10.9414	-136.873	0	34.3319
11.3214	0	0	34.2301
11.7014	0	0	34.2178
12.0814	0	0	34.1881
12.4614	0	0	34.2373
12.8414	0	0	34.3003
13.2214	0	0	34.0757
13.6014	0	0	33.5081
