log(r)=18.64	log(t)=10.6286
6	1.05077
6.18	0.956135
6.36	0.807215
6.54	0.609513
6.72	0.359286
6.9	0.079627
7.08	-0.22778
7.26	-0.554999
7.44	-0.895135
7.62	-1.24767
7.8	-1.60544
7.98	-1.969
8.16	-2.33093
8.34	-2.70086
8.52	-3.07122
8.7	-3.45128
8.88	-3.83444
9.06	-4.22448
9.24	-4.62547
9.42	-5.03671
9.6	-5.46549
9.78	-5.91237
9.96	-6.37565
10.14	-6.85243
10.32	-7.35094
10.5	-7.85788
10.68	-8.37424
10.86	-8.89972
11.04	-9.42921
11.22	-9.97028
11.4	-10.512
11.58	-11.0629
11.76	-11.6248
11.94	-12.1891
12.12	-12.7602
12.3	-13.3349
12.48	-13.9225
12.66	-14.5275
12.84	-15.1422
13.02	-15.7841
13.2	-16.4587
13.38	-17.1812
13.56	-17.9812
13.74	-18.8949
13.92	-19.9889
14.1	0
14.28	0
14.46	0
14.64	0
14.82	0
15	0
