log(r)=19.99	t=8.01108	t=8.31108	t=8.61108	t=8.91108	t=9.21108	t=9.51108	t=9.81108	t=10.1111	t=10.4111	t=10.7111	t=11.0111	
6	-0.239611	-0.850083	-4.05398	-7.55438	-7.5823	-7.60736	-7.62955	-7.64888	-7.66538	-7.67912	-7.69022	
6.5	-0.567182	-1.81832	-5.53592	-8.7368	-8.74595	-8.75269	-8.75718	-8.7596	-8.7601	-8.75886	-8.75606	
7	-1.24264	-2.80131	-8.6694	-8.55187	-8.57976	-8.60469	-8.62669	-8.6458	-8.66206	-8.67557	-8.68644	
7.5	-2.12775	-3.79965	-9.19303	-9.05186	-9.07974	-9.10467	-9.12666	-9.14576	-9.16203	-9.17553	-9.1864	
8	-3.09049	-4.77969	-9.66486	-9.92359	-9.94516	-9.96363	-9.97917	-9.99192	-10.002	-10.0096	-10.0149	
8.5	-4.08119	-5.77352	-10.333	-10.3589	-10.3816	-10.4012	-10.4178	-10.4317	-10.4428	-10.4514	-10.4576	
9	-5.08245	-6.73085	-10.5228	-10.5536	-10.5815	-10.6064	-10.6284	-10.6475	-10.6637	-10.6772	-10.6881	
9.5	-6.06599	-8.25584	-11.0273	-11.0579	-11.0856	-11.1105	-11.1325	-11.1516	-11.168	-11.1816	-11.1925	
10	-7.07392	-11.5036	-11.5375	-11.5685	-11.5965	-11.6216	-11.6437	-11.663	-11.6794	-11.6931	-11.7042	
10.5	-8.0799	-12.1904	-12.2221	-12.2511	-12.2773	-12.3006	-12.3211	-12.3387	-12.3535	-12.3657	-12.3753	
11	-9.12676	-12.6262	-12.6607	-12.6924	-12.7213	-12.7474	-12.7705	-12.7908	-12.8083	-12.823	-12.835	
11.5	-10.3365	-13.4242	-13.4581	-13.4894	-13.5179	-13.5435	-13.5663	-13.5863	-13.6034	-13.6177	-13.6294	
12	-11.6833	-14.154	-14.1893	-14.222	-14.2519	-14.279	-14.3032	-14.3246	-14.3432	-14.3589	-14.3719	
12.5	-13.1349	-15.1427	-15.1778	-15.2103	-15.24	-15.2669	-15.2909	-15.3121	-15.3305	-15.3461	-15.3589	
13	-14.6525	-16.0585	-16.0941	-16.1271	-16.1574	-16.1848	-16.2095	-16.2312	-16.2501	-16.2663	-16.2796	
13.5	-16.2411	-17.0753	-17.1108	-17.1436	-17.1737	-17.201	-17.2254	-17.247	-17.2658	-17.2817	-17.2949	
14	-18.0098	-18.0479	-18.0834	-18.1164	-18.1466	-18.1741	-18.1988	-18.2206	-18.2396	-18.2557	-18.2691	
14.5	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	
15.5	0	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	
