log(E)=11	t=8.01108	t=8.31108	t=8.61108	t=8.91108	t=9.21108	t=9.51108	t=9.81108	t=10.1111	t=10.4111	t=10.7111	t=11.0111	
1	-13.0646	-16.5962	-16.6715	-16.7469	-16.8222	-16.8975	-16.9728	-17.0482	-17.1235	-17.1988	-17.2742	
1.99526	-12.1787	-15.2322	-15.1923	-15.154	-15.1168	-15.0805	-15.0448	-15.0097	-14.975	-14.9406	-14.9064	
3.98107	-11.3461	-14.5132	-14.7456	-14.9188	-15.0233	-15.0687	-15.0749	-15.0598	-15.0341	-15.0037	-14.9713	
7.94328	-10.5577	-14.5548	-14.7426	-14.898	-15.0199	-15.1096	-15.1704	-15.2068	-15.2238	-15.226	-15.2173	
15.8489	-9.81524	-13.5058	-13.4934	-13.4796	-13.4653	-13.451	-13.4368	-13.4227	-13.4087	-13.3948	-13.3811	
31.6228	-9.12676	-12.6262	-12.6607	-12.6924	-12.7213	-12.7474	-12.7705	-12.7908	-12.8083	-12.823	-12.835	
63.0957	-8.64286	-12.8554	-12.9118	-12.9591	-12.9989	-13.0325	-13.0607	-13.0844	-13.1041	-13.1203	-13.1333	
125.893	-8.29597	-8.99487	-12.2872	-12.2749	-12.2988	-12.3225	-12.3461	-12.3695	-12.3926	-12.4155	-12.4381	
251.189	-8.07433	-8.24143	-8.92929	-11.7617	-11.3034	-11.2777	-11.2528	-11.2285	-11.2048	-11.1817	-11.159	
501.187	-7.76664	-7.89657	-8.07964	-8.68313	-9.79345	-11.5771	-11.5525	-11.5284	-11.5048	-11.4817	-11.459	
1000	-7.56476	-7.66988	-7.78401	-7.96026	-8.44611	-9.40075	-11.5461	-11.5755	-11.5933	-11.6059	-11.6138	
