17:13:06 
17:14:10 
log(E/eV)	log(Lsyn/erg s-1)	log(Lic/erg s-1)	log(LicCMB/erg s-1)
-5.39864	33.2933	0	0
-4.44864	34.2202	0	0
-3.49864	35.174	0	19.7166
-2.54864	36.1205	0	22.2886
-1.59864	37.0491	0	23.8947
-0.64864	37.9825	14.1853	24.9551
0.30136	38.8709	17.8431	25.998
1.25136	39.7332	21.7477	27.0344
2.20136	40.5328	25.6072	28.0154
3.15136	41.2086	29.4552	28.9676
4.10136	41.8245	33.3039	29.8749
5.05136	42.4015	37.1721	30.8806
6.00136	42.8517	41.2443	31.8369
6.95136	43.2057	43.6047	32.7857
7.90136	42.9665	42.7587	33.7454
8.85136	40.3613	37.0387	34.6699
9.80136	30.8525	35.5039	35.5814
10.7514	-14.8091	33.9548	36.3624
11.7014	0	32.525	36.9513
12.6514	0	31.562	37.6576
13.6014	0	0	38.071
