log(r)=18.59	log(t)=9.42632
6	1.90551
6.18	1.81031
6.36	1.66066
6.54	1.46195
6.72	1.2103
6.9	0.928576
7.08	0.618171
7.26	0.286599
7.44	-0.059819
7.62	-0.42134
7.8	-0.791778
7.98	-1.17285
8.16	-1.55835
8.34	-1.95883
8.52	-2.36693
8.7	-2.79071
8.88	-3.22054
9.06	-3.65512
9.24	-4.09192
9.42	-4.52321
9.6	-4.95037
9.78	-5.37096
9.96	-5.78472
10.14	-6.19539
10.32	-6.62222
10.5	-7.06436
10.68	-7.53217
10.86	-8.02847
11.04	-8.54549
11.22	-9.08536
11.4	-9.63174
11.58	-10.1893
11.76	-10.7573
11.94	-11.3263
12.12	-11.9007
12.3	-12.4774
12.48	-13.0661
12.66	-13.6717
12.84	-14.2868
13.02	-14.929
13.2	-15.6039
13.38	-16.3273
13.56	-17.1299
13.74	-18.054
13.92	-19.2178
14.1	0
14.28	0
14.46	0
14.64	0
14.82	0
15	0
