log(r)=19.49	t=7.42632	t=7.52632	t=7.62632	t=7.72632	t=7.82632	t=7.92632	t=8.02632	t=8.12632	t=8.22632	t=8.32632	t=8.42632	t=8.52632	t=8.62632	t=8.72632	t=8.82632	t=8.92632	t=9.02632	t=9.12632	t=9.22632	t=9.32632	t=9.42632	
6	0	0	0	0	0	0	0	0	0	0	1.00551	1.00551	1.00551	1.00551	1.00551	1.00551	1.00551	1.00551	1.00551	1.00551	1.00551	
6.18	0	0	0	0	0	0	0	0	0	0	0.91031	0.91031	0.91031	0.91031	0.91031	0.91031	0.91031	0.91031	0.91031	0.91031	0.91031	
6.36	0	0	0	0	0	0	0	0	0	0	0.760658	0.760658	0.760658	0.760658	0.760658	0.760658	0.760658	0.760658	0.760658	0.760658	0.760658	
6.54	0	0	0	0	0	0	0	0	0	0	0.561953	0.561953	0.561953	0.561953	0.561953	0.561953	0.561953	0.561953	0.561953	0.561953	0.561953	
6.72	0	0	0	0	0	0	0	0	0	0	0.3103	0.3103	0.3103	0.3103	0.3103	0.3103	0.3103	0.3103	0.3103	0.3103	0.3103	
6.9	0	0	0	0	0	0	0	0	0	0	0.0285765	0.0285765	0.0285765	0.0285765	0.0285765	0.0285765	0.0285765	0.0285765	0.0285765	0.0285765	0.0285765	
7.08	0	0	0	0	0	0	0	0	0	0	-0.281829	-0.281829	-0.281829	-0.281829	-0.281829	-0.281829	-0.281829	-0.281829	-0.281829	-0.281829	-0.281829	
7.26	0	0	0	0	0	0	0	0	0	0	-0.613401	-0.613401	-0.613401	-0.613401	-0.613401	-0.613401	-0.613401	-0.613401	-0.613401	-0.613401	-0.613401	
7.44	0	0	0	0	0	0	0	0	0	0	-0.959819	-0.959819	-0.959819	-0.959819	-0.959819	-0.959819	-0.959819	-0.959819	-0.959819	-0.959819	-0.959819	
7.62	0	0	0	0	0	0	0	0	0	0	-1.32134	-1.32134	-1.32134	-1.32134	-1.32134	-1.32134	-1.32134	-1.32134	-1.32134	-1.32134	-1.32134	
7.8	0	0	0	0	0	0	0	0	0	0	-1.69178	-1.69178	-1.69178	-1.69178	-1.69178	-1.69178	-1.69178	-1.69178	-1.69178	-1.69178	-1.69178	
7.98	0	0	0	0	0	0	0	0	0	0	-2.07285	-2.07285	-2.07285	-2.07285	-2.07285	-2.07285	-2.07285	-2.07285	-2.07285	-2.07285	-2.07285	
8.16	0	0	0	0	0	0	0	0	0	0	-2.45835	-2.45835	-2.45835	-2.45835	-2.45835	-2.45835	-2.45835	-2.45835	-2.45835	-2.45835	-2.45835	
8.34	0	0	0	0	0	0	0	0	0	0	-2.85883	-2.85883	-2.85883	-2.85883	-2.85883	-2.85883	-2.85883	-2.85883	-2.85883	-2.85883	-2.85883	
8.52	0	0	0	0	0	0	0	0	0	0	-3.26693	-3.26693	-3.26693	-3.26693	-3.26693	-3.26693	-3.26693	-3.26693	-3.26693	-3.26693	-3.26693	
8.7	0	0	0	0	0	0	0	0	0	0	-3.69071	-3.69071	-3.69071	-3.69071	-3.69071	-3.69071	-3.69071	-3.69071	-3.69071	-3.69071	-3.69071	
8.88	0	0	0	0	0	0	0	0	0	0	-4.12054	-4.12054	-4.12054	-4.12054	-4.12054	-4.12054	-4.12054	-4.12054	-4.12054	-4.12054	-4.12054	
9.06	0	0	0	0	0	0	0	0	0	0	-4.55512	-4.55512	-4.55512	-4.55512	-4.55512	-4.55512	-4.55512	-4.55512	-4.55512	-4.55512	-4.55512	
9.24	0	0	0	0	0	0	0	0	0	0	-4.99192	-4.99192	-4.99192	-4.99192	-4.99192	-4.99192	-4.99192	-4.99192	-4.99192	-4.99192	-4.99192	
9.42	0	0	0	0	0	0	0	0	0	0	-5.42321	-5.42321	-5.42321	-5.42321	-5.42321	-5.42321	-5.42321	-5.42321	-5.42321	-5.42321	-5.42321	
9.6	0	0	0	0	0	0	0	0	0	0	-5.85037	-5.85037	-5.85037	-5.85037	-5.85037	-5.85037	-5.85037	-5.85037	-5.85037	-5.85037	-5.85037	
9.78	0	0	0	0	0	0	0	0	0	0	-6.27096	-6.27096	-6.27096	-6.27096	-6.27096	-6.27096	-6.27096	-6.27096	-6.27096	-6.27096	-6.27096	
9.96	0	0	0	0	0	0	0	0	0	0	-6.68472	-6.68472	-6.68472	-6.68472	-6.68472	-6.68472	-6.68472	-6.68472	-6.68472	-6.68472	-6.68472	
10.14	0	0	0	0	0	0	0	0	0	0	-7.09538	-7.09538	-7.09538	-7.09538	-7.09538	-7.09538	-7.09538	-7.09538	-7.09538	-7.09538	-7.09538	
10.32	0	0	0	0	0	0	0	0	0	0	-7.52222	-7.52222	-7.52222	-7.52222	-7.52222	-7.52222	-7.52222	-7.52222	-7.52222	-7.52222	-7.52222	
10.5	0	0	0	0	0	0	0	0	0	0	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	
10.68	0	0	0	0	0	0	0	0	0	0	-8.43216	-8.43216	-8.43216	-8.43216	-8.43216	-8.43216	-8.43216	-8.43216	-8.43216	-8.43216	-8.43216	
10.86	0	0	0	0	0	0	0	0	0	0	-8.92846	-8.92846	-8.92846	-8.92846	-8.92846	-8.92846	-8.92846	-8.92846	-8.92846	-8.92846	-8.92846	
11.04	0	0	0	0	0	0	0	0	0	0	-9.44548	-9.44548	-9.44548	-9.44548	-9.44548	-9.44548	-9.44548	-9.44548	-9.44548	-9.44548	-9.44548	
11.22	0	0	0	0	0	0	0	0	0	0	-9.98534	-9.98534	-9.98534	-9.98534	-9.98534	-9.98534	-9.98534	-9.98534	-9.98534	-9.98534	-9.98534	
11.4	0	0	0	0	0	0	0	0	0	0	-10.5317	-10.5317	-10.5317	-10.5317	-10.5317	-10.5317	-10.5317	-10.5317	-10.5317	-10.5317	-10.5317	
11.58	0	0	0	0	0	0	0	0	0	0	-11.0892	-11.0892	-11.0892	-11.0892	-11.0892	-11.0892	-11.0892	-11.0892	-11.0892	-11.0892	-11.0892	
11.76	0	0	0	0	0	0	0	0	0	0	-11.6572	-11.6572	-11.6572	-11.6572	-11.6572	-11.6572	-11.6572	-11.6572	-11.6572	-11.6572	-11.6572	
11.94	0	0	0	0	0	0	0	0	0	0	-12.2261	-12.2261	-12.2261	-12.2261	-12.2261	-12.2261	-12.2261	-12.2261	-12.2261	-12.2261	-12.2261	
