log(r)=18.89	t=7.78022	t=7.98022	t=8.18022	t=8.38022	t=8.58022	t=8.78022	t=8.98022	t=9.18022	t=9.38022	t=9.58022	t=9.78022	
6	0	0	56.9423	58.397	0	59.0729	0	61.8052	0	63.3746	0	
6.75	0	0	0	58.2923	0	59.3405	0	60.933	0	62.5033	0	
7.5	0	0	56.2868	56.8314	0	58.1863	0	59.7774	0	61.3514	0	
8.25	0	0	55.0236	55.4977	0	56.8775	0	58.4796	0	60.0558	0	
9	0	0	53.5408	54.0807	0	55.5349	0	57.1459	0	58.7231	0	
9.75	0	0	51.9284	52.7681	0	54.366	0	55.9882	0	57.5662	0	
10.5	0	0	0	51.6363	0	53.3506	0	54.9793	0	56.5577	0	
11.25	0	0	0	50.2752	0	52.0103	0	53.64	0	55.2185	0	
12	0	0	0	48.785	0	50.5221	0	52.152	0	53.7304	0	
12.75	0	0	0	47.2809	0	49.0224	0	50.6525	0	52.2309	0	
13.5	0	0	0	45.7619	0	47.5216	0	49.1524	0	50.731	0	
14.25	0	0	41.0268	41.3875	41.1122	41.8092	41.6023	42.1575	42.1116	42.5073	42.5739	
15	0	0	31.7942	32.1549	31.8796	32.5765	32.3697	32.9249	32.879	33.2747	33.3413	
