log(E)=10.5	t=7.42632	t=7.52632	t=7.62632	t=7.72632	t=7.82632	t=7.92632	t=8.02632	t=8.12632	t=8.22632	t=8.32632	t=8.42632	t=8.52632	t=8.62632	t=8.72632	t=8.82632	t=8.92632	t=9.02632	t=9.12632	t=9.22632	t=9.32632	t=9.42632	
1	-6.96437	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	-6.96436	
1.25893	0	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	-7.06436	
1.58489	0	0	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	-7.16436	
1.99526	0	0	0	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	-7.26436	
2.51189	0	0	0	0	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	-7.36436	
3.16228	0	0	0	0	0	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	-7.46436	
3.98107	0	0	0	0	0	0	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	-7.56436	
5.01187	0	0	0	0	0	0	0	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	-7.66436	
6.30957	0	0	0	0	0	0	0	0	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	-7.76436	
7.94328	0	0	0	0	0	0	0	0	0	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	-7.86436	
10	0	0	0	0	0	0	0	0	0	0	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	-7.96436	
12.5893	0	0	0	0	0	0	0	0	0	0	0	-8.06436	-8.06436	-8.06436	-8.06436	-8.06436	-8.06436	-8.06436	-8.06436	-8.06436	-8.06436	
15.8489	0	0	0	0	0	0	0	0	0	0	0	0	-8.16436	-8.16436	-8.16436	-8.16436	-8.16436	-8.16436	-8.16436	-8.16436	-8.16436	
19.9526	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.26436	-8.26436	-8.26436	-8.26436	-8.26436	-8.26436	-8.26436	-8.26436	
25.1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.36436	-8.36436	-8.36436	-8.36436	-8.36436	-8.36436	-8.36436	
31.6228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.46436	-8.46436	-8.46436	-8.46436	-8.46436	-8.46436	
39.8107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.56436	-8.56436	-8.56436	-8.56436	-8.56436	
50.1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.66436	-8.66436	-8.66436	-8.66436	
63.0957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.76436	-8.76436	-8.76436	
79.4328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.86436	-8.86436	
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.96436	
