log(E)=14	t=8.01108	t=8.31108	t=8.61108	t=8.91108	t=9.21108	t=9.51108	t=9.81108	t=10.1111	t=10.4111	t=10.7111	t=11.0111	
1	0	0	0	0	0	0	0	0	0	0	0	
1.99526	0	0	0	0	0	0	0	0	0	0	0	
3.98107	0	0	0	0	0	0	0	0	0	0	0	
7.94328	-23.5274	-23.6659	-23.8044	-23.9429	-24.0814	-24.2199	-24.3584	-24.4969	-24.6354	-24.7739	-24.9124	
15.8489	-22.1501	-22.1303	-22.1124	-22.0958	-22.0802	-22.0652	-22.0507	-22.0365	-22.0225	-22.0087	-21.995	
31.6228	-21.0099	-21.0479	-21.0834	-21.1164	-21.1467	-21.1742	-21.1988	-21.2206	-21.2396	-21.2557	-21.2692	
63.0957	-20.0235	-21.2401	-21.3079	-21.3644	-21.4113	-21.4504	-21.4831	-21.5103	-21.5328	-21.5514	-21.5664	
125.893	-19.0916	-20.1695	-20.1911	-20.2135	-20.2364	-20.2596	-20.283	-20.3065	-20.3299	-20.3534	-20.3768	
251.189	-18.1925	-18.9902	-18.9595	-18.9302	-18.9021	-18.8751	-18.849	-18.8237	-18.7991	-18.7752	-18.7519	
501.187	-17.3539	-19.2729	-19.251	-19.226	-19.2001	-19.1741	-19.1485	-19.1235	-19.099	-19.0752	-19.0518	
1000	-16.6713	-18.4955	-18.5616	-18.6258	-18.6875	-18.7463	-18.8016	-18.853	-18.9	-18.9421	-18.979	
