log(E)=12	
18.49	0.01	39.6388
18.99	0.01	28.1593
19.49	0.01	16.1798
19.99	0.01	3.70033
20.49	0.01	-9.27917
18.49	0.0173885	39.8791
18.99	0.0173885	28.6398
19.49	0.0173885	16.9006
19.99	0.0173885	4.66138
20.49	0.0173885	-8.07786
18.49	0.0302361	40.1193
18.99	0.0302361	29.1204
19.49	0.0302361	17.6214
19.99	0.0302361	5.62243
20.49	0.0302361	-6.87654
18.49	0.0525761	40.3596
18.99	0.0525761	29.6009
19.49	0.0525761	18.3422
19.99	0.0525761	6.58348
20.49	0.0525761	-5.67523
18.49	0.0914221	40.5999
18.99	0.0914221	30.0814
19.49	0.0914221	19.063
19.99	0.0914221	7.54453
20.49	0.0914221	-4.47391
18.49	0.15897	40.8401
18.99	0.15897	30.5619
19.49	0.15897	19.7838
19.99	0.15897	8.50558
20.49	0.15897	-3.2726
18.49	0.276425	41.0804
18.99	0.276425	31.0425
19.49	0.276425	20.5046
19.99	0.276425	9.46663
20.49	0.276425	-2.07128
18.49	0.480662	41.3206
18.99	0.480662	31.523
19.49	0.480662	21.2253
19.99	0.480662	10.4277
20.49	0.480662	-0.869971
18.49	0.8358	41.5609
18.99	0.8358	32.0035
19.49	0.8358	21.9461
19.99	0.8358	11.3887
20.49	0.8358	0.331344
18.49	1.45333	41.8012
18.99	1.45333	32.484
19.49	1.45333	22.6669
19.99	1.45333	12.3498
20.49	1.45333	1.53266
18.49	2.52713	42.0414
18.99	2.52713	32.9646
19.49	2.52713	23.3877
19.99	2.52713	13.3108
20.49	2.52713	2.73397
18.49	4.39431	42.2817
18.99	4.39431	33.4451
19.49	4.39431	24.1085
19.99	4.39431	14.2719
20.49	4.39431	3.93529
18.49	7.64107	42.522
18.99	7.64107	33.9256
19.49	7.64107	24.8293
19.99	7.64107	15.2329
20.49	7.64107	5.1366
18.49	13.2867	42.7622
18.99	13.2867	34.4061
19.49	13.2867	25.5501
19.99	13.2867	16.194
20.49	13.2867	6.33791
18.49	23.1036	43.0025
18.99	23.1036	34.8867
19.49	23.1036	26.2709
19.99	23.1036	17.155
20.49	23.1036	7.53923
18.49	40.1738	43.2428
18.99	40.1738	35.3672
19.49	40.1738	26.9916
19.99	40.1738	18.1161
20.49	40.1738	8.74054
18.49	69.8562	43.483
18.99	69.8562	35.8477
19.49	69.8562	27.7124
19.99	69.8562	19.0771
20.49	69.8562	9.94186
18.49	121.47	43.7233
18.99	121.47	36.3283
19.49	121.47	28.4332
19.99	121.47	20.0382
20.49	121.47	11.1432
18.49	211.218	43.9635
18.99	211.218	36.8088
19.49	211.218	29.154
19.99	211.218	20.9992
20.49	211.218	12.3445
18.49	367.277	44.2038
18.99	367.277	37.2893
19.49	367.277	29.8748
19.99	367.277	21.9603
20.49	367.277	13.5458
18.49	638.641	44.4441
18.99	638.641	37.7698
19.49	638.641	30.5956
19.99	638.641	22.9214
20.49	638.641	14.7471
18.49	1110.5	44.6843
18.99	1110.5	38.2504
19.49	1110.5	31.3164
19.99	1110.5	23.8824
20.49	1110.5	15.9484
18.49	1931	44.9246
18.99	1931	38.7309
19.49	1931	32.0372
19.99	1931	24.8435
20.49	1931	17.1497
18.49	3357.72	45.1649
18.99	3357.72	39.2114
19.49	3357.72	32.758
19.99	3357.72	25.8045
20.49	3357.72	18.3511
18.49	5838.59	45.4051
18.99	5838.59	39.6919
19.49	5838.59	33.4787
19.99	5838.59	26.7656
20.49	5838.59	19.5524
18.49	10152.4	45.6454
18.99	10152.4	40.1725
19.49	10152.4	34.1995
19.99	10152.4	27.7266
20.49	10152.4	20.7537
18.49	17653.6	45.5808
18.99	17653.6	40.3482
19.49	17653.6	34.6155
19.99	17653.6	28.3828
20.49	17653.6	21.6502
18.49	30697	45.5808
18.99	30697	40.5884
19.49	30697	35.096
19.99	30697	29.1036
20.49	30697	22.6112
18.49	53377.6	45.5808
18.99	53377.6	40.8287
19.49	53377.6	35.5766
19.99	53377.6	29.8244
20.49	53377.6	23.5723
18.49	92815.8	45.5808
18.99	92815.8	41.0689
19.49	92815.8	36.0571
19.99	92815.8	30.5452
20.49	92815.8	24.5333
18.49	161393	45.5808
18.99	161393	41.3092
19.49	161393	36.5376
19.99	161393	31.266
20.49	161393	25.4944
18.49	280639	45.5808
18.99	280639	41.5495
19.49	280639	37.0181
19.99	280639	31.9868
20.49	280639	26.4554
18.49	487989	45.5808
18.99	487989	41.7897
19.49	487989	37.4987
19.99	487989	32.7076
20.49	487989	27.4165
18.49	848542	45.5808
18.99	848542	42.03
19.49	848542	37.9792
19.99	848542	33.4283
20.49	848542	28.3775
18.49	1.47549e+006	45.5808
18.99	1.47549e+006	42.2703
19.49	1.47549e+006	38.4597
19.99	1.47549e+006	34.1492
20.49	1.47549e+006	29.3386
18.49	2.56566e+006	45.5808
18.99	2.56566e+006	42.5105
19.49	2.56566e+006	38.9402
19.99	2.56566e+006	34.8699
20.49	2.56566e+006	30.2996
18.49	4.4613e+006	45.5808
18.99	4.4613e+006	42.7508
19.49	4.4613e+006	39.4208
19.99	4.4613e+006	35.5907
20.49	4.4613e+006	31.2607
18.49	7.75755e+006	45.5808
18.99	7.75755e+006	42.9911
19.49	7.75755e+006	39.9013
19.99	7.75755e+006	36.3115
20.49	7.75755e+006	32.2217
18.49	1.34892e+007	45.5808
18.99	1.34892e+007	43.2313
19.49	1.34892e+007	40.3818
19.99	1.34892e+007	37.0323
20.49	1.34892e+007	33.1828
18.49	2.34558e+007	45.5808
18.99	2.34558e+007	43.4716
19.49	2.34558e+007	40.8623
19.99	2.34558e+007	37.7531
20.49	2.34558e+007	34.1438
18.49	4.07862e+007	45.5808
18.99	4.07862e+007	43.7118
19.49	4.07862e+007	41.3428
19.99	4.07862e+007	38.4739
20.49	4.07862e+007	35.1049
18.49	7.09212e+007	45.5808
18.99	7.09212e+007	43.9521
19.49	7.09212e+007	41.8234
19.99	7.09212e+007	39.1946
20.49	7.09212e+007	36.0659
18.49	1.23321e+008	45.5808
18.99	1.23321e+008	44.1923
19.49	1.23321e+008	42.3038
19.99	1.23321e+008	39.9154
20.49	1.23321e+008	37.0269
18.49	2.14438e+008	45.5808
18.99	2.14438e+008	44.4325
19.49	2.14438e+008	42.7843
19.99	2.14438e+008	40.6361
20.49	2.14438e+008	37.9879
18.49	3.72876e+008	45.5808
18.99	3.72876e+008	44.6727
19.49	3.72876e+008	43.2648
19.99	3.72876e+008	41.3568
20.49	3.72876e+008	38.9489
18.49	6.48376e+008	45.5808
18.99	6.48376e+008	44.9129
19.49	6.48376e+008	43.7452
19.99	6.48376e+008	42.0775
20.49	6.48376e+008	39.9098
18.49	1.12743e+009	45.5808
18.99	1.12743e+009	45.153
19.49	1.12743e+009	44.2255
19.99	1.12743e+009	42.7981
20.49	1.12743e+009	40.8707
18.49	1.96044e+009	45.5808
18.99	1.96044e+009	45.393
19.49	1.96044e+009	44.7058
19.99	1.96044e+009	43.5186
20.49	1.96044e+009	41.8314
18.49	3.40891e+009	45.5808
18.99	3.40891e+009	45.633
19.49	3.40891e+009	45.186
19.99	3.40891e+009	44.2391
20.49	3.40891e+009	42.7922
18.49	5.92759e+009	45.5808
18.99	5.92759e+009	45.8731
19.49	5.92759e+009	45.6663
19.99	5.92759e+009	44.9597
20.49	5.92759e+009	43.753
18.49	1.03072e+010	45.5808
18.99	1.03072e+010	55.09
19.49	1.03072e+010	64.6005
19.99	1.03072e+010	74.1109
20.49	1.03072e+010	83.6214
