Log(E/eV)	Log(R/pc)	Syn	IC	ICcmb	Dif	Acc	Adia
6	0	-10.1514	-10.5999	-22.0858	-22.3798	5.17741	-7.18923
6.45	0	-9.70143	-9.95817	-21.5599	-21.9298	4.72741	-7.18923
6.9	0	-9.25143	-9.51208	-21.1	-21.4798	4.27741	-7.18923
7.35	0	-8.80143	-9.08577	-20.6483	-21.0298	3.82741	-7.18923
7.8	0	-8.35143	-8.663	-20.1979	-20.5798	3.37741	-7.18923
8.25	0	-7.90143	-8.24193	-19.7476	-20.1298	2.92741	-7.18923
8.7	0	-7.45143	-7.82275	-19.2975	-19.6798	2.47741	-7.18923
9.15	0	-7.00143	-7.40684	-18.8475	-19.2298	2.02741	-7.18923
9.6	0	-6.55143	-6.99805	-18.3976	-18.7798	1.57741	-7.18923
10.05	0	-6.10143	-6.60659	-17.9478	-18.3298	1.12741	-7.18923
10.5	0	-5.65143	-6.25639	-17.4981	-17.8798	0.677406	-7.18923
10.95	0	-5.20143	-5.99153	-17.0486	-17.4298	0.227406	-7.18923
11.4	0	-4.75143	-5.86456	-16.5994	-16.9798	-0.222594	-7.18923
11.85	0	-4.30143	-5.90368	-16.151	-16.5298	-0.672594	-7.18923
12.3	0	-3.85143	-6.09632	-15.7045	-16.0798	-1.12259	-7.18923
12.75	0	-3.40143	-6.40457	-15.2636	-15.6298	-1.57259	-7.18923
13.2	0	-2.95143	-6.78792	-14.8369	-15.1798	-2.02259	-7.18923
13.65	0	-2.50143	-7.21507	-14.4449	-14.7298	-2.47259	-7.18923
14.1	0	-2.05143	-7.66556	-14.1231	-14.2798	-2.92259	-7.18923
14.55	0	-1.60143	-8.12724	-13.9091	-13.8298	-3.37259	-7.18923
15	0	-1.15143	-8.5937	-13.8203	-13.3798	-3.82259	-7.18923
6	1	-12.1514	-12.5999	-22.0858	-23.3798	4.17741	-8.18923
6.45	1	-11.7014	-11.9582	-21.5599	-22.9298	3.72741	-8.18923
6.9	1	-11.2514	-11.5121	-21.1	-22.4798	3.27741	-8.18923
7.35	1	-10.8014	-11.0858	-20.6483	-22.0298	2.82741	-8.18923
7.8	1	-10.3514	-10.663	-20.1979	-21.5798	2.37741	-8.18923
8.25	1	-9.90143	-10.2419	-19.7476	-21.1298	1.92741	-8.18923
