log(E/eV)	log(t/s)	log(Lsyn/erg s-1)	log(Lic/erg s-1)
-1.18162	-2	0	0
-0.331622	-2	0	76.7145
0.518378	-2	0	78.9078
1.36838	-2	0	80.6968
2.21838	-2	0	82.4258
3.06838	-2	0	83.6007
3.91838	-2	0	83.0467
4.76838	-2	0	62.3705
5.61838	-2	0	0
6.46838	-2	0	0
7.31838	-2	0	0
8.16838	-2	0	0
9.01838	-2	0	0
9.86838	-2	0	0
10.7184	-2	0	0
11.5684	-2	0	0
12.4184	-2	0	0
13.2684	-2	0	0
14.1184	-2	0	0
14.9684	-2	0	0
15.8184	-2	0	0
-1.18162	4.50657	0	0
-0.331622	4.50657	0	76.7145
0.518378	4.50657	0	78.9078
1.36838	4.50657	0	80.6968
2.21838	4.50657	0	82.4258
3.06838	4.50657	0	83.6007
3.91838	4.50657	0	83.0467
4.76838	4.50657	0	62.3705
5.61838	4.50657	0	0
6.46838	4.50657	0	0
7.31838	4.50657	0	0
8.16838	4.50657	0	0
9.01838	4.50657	0	0
9.86838	4.50657	0	0
10.7184	4.50657	0	0
11.5684	4.50657	0	0
12.4184	4.50657	0	0
13.2684	4.50657	0	0
14.1184	4.50657	0	0
14.9684	4.50657	0	0
15.8184	4.50657	0	0
-1.18162	11.0131	0	0
-0.331622	11.0131	0	76.7145
0.518378	11.0131	0	78.9078
1.36838	11.0131	0	80.6968
2.21838	11.0131	0	82.4258
3.06838	11.0131	0	83.6007
3.91838	11.0131	0	83.0467
4.76838	11.0131	0	62.3705
5.61838	11.0131	0	0
6.46838	11.0131	0	0
7.31838	11.0131	0	0
8.16838	11.0131	0	0
9.01838	11.0131	0	0
9.86838	11.0131	0	0
10.7184	11.0131	0	0
11.5684	11.0131	0	0
12.4184	11.0131	0	0
13.2684	11.0131	0	0
14.1184	11.0131	0	0
14.9684	11.0131	0	0
15.8184	11.0131	0	0
