12:14:11 
12:16:40 
log(E/eV)	log(Lsyn/erg s-1)	log(Lic/erg s-1)	log(LicCMB/erg s-1)
-5.39864	40.9275	0	0
-4.44864	41.3764	0	0
-3.49864	41.8223	0	27.552
-2.54864	42.2026	0	29.5473
-1.59864	42.5214	0	30.7725
-0.64864	42.7511	34.5502	31.65
0.30136	42.8687	37.4808	32.3071
1.25136	42.9589	38.9885	32.8533
2.20136	42.9738	40.0264	33.3316
3.15136	42.9908	40.8791	33.7672
4.10136	42.9676	41.5672	34.2179
5.05136	42.997	42.1571	34.5392
6.00136	42.9789	42.6566	34.8298
6.95136	42.6282	64.7361	34.9329
7.90136	42.0906	66.2373	34.894
8.85136	40.7735	68.1442	35.0268
9.80136	30.5143	85.8344	34.9389
10.7514	-70.7029	72.0383	34.8651
11.7014	0	73.9877	35.0615
12.6514	0	75.9371	35.3254
13.6014	0	77.8864	34.6181
