16:04:16 
16:07:05 
log(E/eV)	log(Lsyn/erg s-1)	log(Lic/erg s-1)	log(LicCMB/erg s-1)
-5.39864	42.9228	0	0
-4.44864	43.404	0	0
-3.49864	43.8414	0	29.299
-2.54864	44.2953	0	31.8732
-1.59864	44.6434	0	33.4911
-0.64864	44.961	25.8804	34.5488
0.30136	45.1194	29.239	35.3345
1.25136	45.2149	33.1232	35.918
2.20136	45.2555	37.0058	36.4693
3.15136	45.2412	40.8602	36.9173
4.10136	45.1878	44.7132	37.344
5.05136	45.0528	48.5851	37.7988
6.00136	44.9146	52.6606	38.091
6.95136	44.5419	55.9757	38.3804
7.90136	44.3081	50.8805	38.4347
8.85136	43.0373	49.5221	38.4813
9.80136	32.778	43.9407	38.5465
10.7514	-68.4392	42.5023	38.2896
11.7014	0	40.6444	38.2918
12.6514	0	0	37.8808
13.6014	0	0	37.6104
