17:29:55 
17:30:28 
log(E/eV)	log(Lsyn/erg s-1)	log(Lic/erg s-1)
-3.39864	40.8983	0
-2.83197	41.0817	-66.7645
-2.26531	41.2574	11.234
-1.69864	41.4337	34.3432
-1.13197	41.6145	41.627
-0.565307	41.794	44.4654
0.00136016	41.9578	46.0807
0.568027	42.0912	47.3577
1.13469	42.1852	48.5403
1.70136	42.2386	49.6734
2.26803	42.2556	50.7921
2.83469	42.2432	51.6291
3.40136	42.2097	51.6353
3.96803	42.1596	50.6301
4.53469	42.0925	39.4435
5.10136	42.0041	-101.58
5.66803	41.8873	0
6.23469	41.7356	0
6.80136	41.5255	0
7.36803	41.1754	0
7.93469	40.651	0
8.50136	39.8652	0
9.06803	38.4291	0
9.63469	34.9687	0
10.2014	23.57	0
10.768	-18.621	0
11.3347	-174.227	0
11.9014	0	0
12.468	0	0
13.0347	0	0
13.6014	0	0
