log(E/eV)	log(t/s)	log(Lsyn/erg s-1)	log(Lic/erg s-1)
-1.18162	-2	73.433	0
-0.431622	-2	73.799	74.071
0.318378	-2	74.1387	76.1556
1.06838	-2	74.5202	77.7774
1.81838	-2	74.8433	79.3135
2.56838	-2	75.2552	80.804
3.31838	-2	75.6483	81.3073
4.06838	-2	76.0407	80.2572
4.81838	-2	76.3949	54.7839
5.56838	-2	76.767	0
6.31838	-2	77.126	0
7.06838	-2	77.2961	0
7.81838	-2	77.4728	0
8.56838	-2	77.0477	0
9.31838	-2	74.5062	0
10.0684	-2	55.9792	0
10.8184	-2	-52.8297	0
11.5684	-2	0	0
12.3184	-2	0	0
13.0684	-2	0	0
13.8184	-2	0	0
-1.18162	4.69897	80.132	0
-0.431622	4.69897	80.498	80.77
0.318378	4.69897	80.8377	82.8545
1.06838	4.69897	81.2192	84.4764
1.81838	4.69897	81.5423	86.0125
2.56838	4.69897	81.9541	87.503
3.31838	4.69897	82.3473	88.0062
4.06838	4.69897	82.7396	86.9561
4.81838	4.69897	83.0938	61.4829
5.56838	4.69897	83.466	0
6.31838	4.69897	83.825	0
7.06838	4.69897	83.9951	0
7.81838	4.69897	84.1718	0
8.56838	4.69897	83.7467	0
9.31838	4.69897	81.2052	0
10.0684	4.69897	62.6781	0
10.8184	4.69897	-46.1307	0
11.5684	4.69897	0	0
12.3184	4.69897	0	0
13.0684	4.69897	0	0
13.8184	4.69897	0	0
-1.18162	5	80.433	0
-0.431622	5	80.799	81.071
0.318378	5	81.1387	83.1556
1.06838	5	81.5202	84.7774
1.81838	5	81.8433	86.3135
2.56838	5	82.2552	87.804
3.31838	5	82.6483	88.3073
4.06838	5	83.0407	87.2572
4.81838	5	83.3949	61.7839
5.56838	5	83.767	0
6.31838	5	84.126	0
7.06838	5	84.2961	0
7.81838	5	84.4728	0
8.56838	5	84.0477	0
9.31838	5	81.5062	0
10.0684	5	62.9792	0
10.8184	5	-45.8297	0
11.5684	5	0	0
12.3184	5	0	0
13.0684	5	0	0
13.8184	5	0	0
