log(r)=18.49	log(t)=6.9328
6	41.3887
6.22449	41.8162
6.44898	41.89
6.67347	41.7527
6.89796	41.4896
7.12245	41.1515
7.34694	40.7686
7.57143	40.3591
7.79592	39.9336
8.02041	39.4987
8.2449	39.058
8.46939	38.6141
8.69388	38.168
8.91837	37.7208
9.14286	37.2729
9.36735	36.8246
9.59184	36.3759
9.81633	35.9272
10.0408	35.4783
10.2653	35.0293
10.4898	34.5803
10.7143	34.1311
10.9388	33.6818
11.1633	33.2323
11.3878	32.7825
11.6122	32.332
11.8367	31.8806
12.0612	31.4274
12.2857	30.9714
12.5102	30.5107
12.7347	30.042
12.9592	29.56
13.1837	29.0556
13.4082	28.5137
13.6327	27.9089
13.8571	27.1987
14.0816	26.3117
14.3061	25.1282
14.5306	23.4475
14.7551	20.9331
14.9796	17.0209
15.2041	10.7646
15.4286	0.577767
15.6531	-16.2
15.8776	-44.0296
16.102	-90.3914
16.3265	-167.828
16.551	0
16.7755	0
17	0
