log(r)=20.1889	log(t)=6.9328
6	0
6.22449	0
6.44898	0
6.67347	0
6.89796	0
7.12245	0
7.34694	0
7.57143	0
7.79592	0
8.02041	0
8.2449	0
8.46939	0
8.69388	0
8.91837	0
9.14286	0
9.36735	0
9.59184	0
9.81633	0
10.0408	0
10.2653	0
10.4898	0
10.7143	0
10.9388	0
11.1633	0
11.3878	0
11.6122	0
11.8367	0
12.0612	0
12.2857	0
12.5102	0
12.7347	0
12.9592	0
13.1837	0
13.4082	0
13.6327	0
13.8571	0
14.0816	0
14.3061	0
14.5306	0
14.7551	0
14.9796	0
15.2041	0
15.4286	0
15.6531	0
15.8776	0
16.102	0
16.3265	0
16.551	0
16.7755	0
17	0
