log(E/eV)	Synchr	IC	IC-Aux	IC-gx
-4.83275	32.4269	0	0	0
-4.36336	32.6628	0	0	0
-3.89397	32.8854	0	0	0
-3.42459	33.1069	0	0	0
-2.9552	33.338	0	0	0
-2.48581	33.5741	0	24.811	0
-2.01642	33.8301	0	26.6808	0
-1.54703	34.0754	0	28.042	0
-1.07765	34.3126	0	29.1342	0
-0.608259	34.5416	0	29.9663	0
-0.138871	34.7587	25.0499	30.6895	29.3479
0.330517	34.9847	26.6088	31.2984	30.9156
0.799905	35.2065	27.8747	31.8194	32.1861
1.26929	35.4515	28.8539	32.2307	33.1671
1.73868	35.7001	29.6383	32.602	33.9521
2.20807	35.936	30.3212	32.889	34.6355
2.67746	36.1639	30.8968	33.175	35.2115
3.14684	36.3644	31.3787	33.4314	35.6936
3.61623	36.5591	31.7755	33.6943	36.0906
4.08562	36.7242	32.1063	33.9814	36.4215
4.55501	36.8732	32.3982	34.2042	36.7134
5.02439	37.0015	32.6442	34.4804	36.9594
5.49378	37.085	32.929	34.6968	37.2442
5.96317	37.1069	33.196	34.9124	37.5112
6.43256	36.9675	33.4568	35.1512	37.7721
6.90195	36.7108	33.7002	35.3677	38.0155
7.37133	36.1673	33.9032	35.6551	38.2184
7.84072	35.4185	34.177	35.8946	38.4923
8.31011	34.4971	34.3836	36.1533	38.6988
8.7795	33.4118	34.6458	36.4013	38.9611
9.24888	32.1443	34.8733	36.6026	39.1884
9.71827	30.2827	35.1154	36.861	39.4307
10.1877	27.5843	35.3078	37.0399	39.6231
10.657	25.0139	35.4911	37.3188	39.8063
11.1264	22.0821	35.7245	37.5494	40.0398
11.5958	16.8132	35.8683	37.7244	40.1834
12.0652	7.05623	35.9523	38.0224	40.2672
12.5346	-5.26578	36.016	38.1782	40.3307
13.004	-24.6575	36.0177	38.3567	40.332
13.4734	-65.58	35.9878	38.4263	40.3021
13.9428	-187.371	35.9403	38.4442	40.2553
14.4121	0	34.9792	38.427	39.2916
14.8815	0	34.7125	37.9729	39.0247
15.3509	0	34.4209	36.5135	38.7333
15.8203	0	28.4361	33.2059	32.748
16.2897	0	23.7338	28.5675	28.0457
16.7591	0	9.85791	14.4412	14.1699
17.2285	0	0	0	0
17.6979	0	0	0	0
18.1673	0	0	0	0
