Log(E/eV)	Log(R/pc)	Syn	ICIR	IC	Dif	Acc	Adia
6	0	-11.1514	-15.2157	-14.4191	-21.8798	4.67741	-7.18923
6.52632	0	-10.6251	-14.6361	-13.8398	-21.3535	4.15109	-7.18923
7.05263	0	-10.0988	-14.1391	-13.3437	-20.8271	3.62477	-7.18923
7.57895	0	-9.57249	-13.652	-12.8595	-20.3008	3.09846	-7.18923
8.10526	0	-9.04617	-13.1657	-12.3827	-19.7745	2.57214	-7.18923
8.63158	0	-8.51986	-12.6787	-11.9247	-19.2482	2.04583	-7.18923
9.15789	0	-7.99354	-12.1911	-11.5109	-18.7219	1.51951	-7.18923
9.68421	0	-7.46722	-11.7048	-11.1618	-18.1956	0.993195	-7.18923
10.2105	0	-6.94091	-11.2261	-10.8795	-17.6693	0.466879	-7.18923
10.7368	0	-6.41459	-10.7745	-10.706	-17.1429	-0.0594363	-7.18923
11.2632	0	-5.88828	-10.3985	-10.7021	-16.6166	-0.585752	-7.18923
11.7895	0	-5.36196	-10.1775	-10.8769	-16.0903	-1.11207	-7.18923
12.3158	0	-4.83565	-10.1719	-11.2002	-15.564	-1.63838	-7.18923
12.8421	0	-4.30933	-10.3849	-11.6294	-15.0377	-2.1647	-7.18923
13.3684	0	-3.78301	-10.7669	-12.1228	-14.5114	-2.69102	-7.18923
13.8947	0	-3.2567	-11.2454	-12.6483	-13.985	-3.21733	-7.18923
14.4211	0	-2.73038	-11.7663	-13.1868	-13.4587	-3.74365	-7.18923
14.9474	0	-2.20407	-12.3031	-13.73	-12.9324	-4.26996	-7.18923
15.4737	0	-1.67775	-12.8452	-14.2746	-12.4061	-4.79628	-7.18923
16	0	-1.15143	-13.3889	-14.8194	-11.8798	-5.32259	-7.18923
6	0.0689655	-11.2894	-15.2157	-14.4191	-21.9487	4.60844	-7.2582
6.52632	0.0689655	-10.763	-14.6361	-13.8398	-21.4224	4.08212	-7.2582
7.05263	0.0689655	-10.2367	-14.1391	-13.3437	-20.8961	3.55581	-7.2582
7.57895	0.0689655	-9.71042	-13.652	-12.8595	-20.3698	3.02949	-7.2582
8.10526	0.0689655	-9.1841	-13.1657	-12.3827	-19.8435	2.50318	-7.2582
8.63158	0.0689655	-8.65779	-12.6787	-11.9247	-19.3172	1.97686	-7.2582
9.15789	0.0689655	-8.13147	-12.1911	-11.5109	-18.7909	1.45055	-7.2582
9.68421	0.0689655	-7.60515	-11.7048	-11.1618	-18.2645	0.92423	-7.2582
10.2105	0.0689655	-7.07884	-11.2261	-10.8795	-17.7382	0.397914	-7.2582
10.7368	0.0689655	-6.55252	-10.7745	-10.706	-17.2119	-0.128402	-7.2582
11.2632	0.0689655	-6.02621	-10.3985	-10.7021	-16.6856	-0.654718	-7.2582
11.7895	0.0689655	-5.49989	-10.1775	-10.8769	-16.1593	-1.18103	-7.2582
12.3158	0.0689655	-4.97358	-10.1719	-11.2002	-15.633	-1.70735	-7.2582
12.8421	0.0689655	-4.44726	-10.3849	-11.6294	-15.1066	-2.23367	-7.2582
13.3684	0.0689655	-3.92094	-10.7669	-12.1228	-14.5803	-2.75998	-7.2582
13.8947	0.0689655	-3.39463	-11.2454	-12.6483	-14.054	-3.2863	-7.2582
14.4211	0.0689655	-2.86831	-11.7663	-13.1868	-13.5277	-3.81261	-7.2582
14.9474	0.0689655	-2.342	-12.3031	-13.73	-13.0014	-4.33893	-7.2582
15.4737	0.0689655	-1.81568	-12.8452	-14.2746	-12.4751	-4.86524	-7.2582
16	0.0689655	-1.28937	-13.3889	-14.8194	-11.9487	-5.39156	-7.2582
6	0.137931	-11.4273	-15.2157	-14.4191	-22.0177	4.53947	-7.32716
6.52632	0.137931	-10.901	-14.6361	-13.8398	-21.4914	4.01316	-7.32716
7.05263	0.137931	-10.3747	-14.1391	-13.3437	-20.9651	3.48684	-7.32716
7.57895	0.137931	-9.84835	-13.652	-12.8595	-20.4388	2.96053	-7.32716
8.10526	0.137931	-9.32203	-13.1657	-12.3827	-19.9124	2.43421	-7.32716
8.63158	0.137931	-8.79572	-12.6787	-11.9247	-19.3861	1.9079	-7.32716
9.15789	0.137931	-8.2694	-12.1911	-11.5109	-18.8598	1.38158	-7.32716
9.68421	0.137931	-7.74309	-11.7048	-11.1618	-18.3335	0.855264	-7.32716
10.2105	0.137931	-7.21677	-11.2261	-10.8795	-17.8072	0.328948	-7.32716
10.7368	0.137931	-6.69045	-10.7745	-10.706	-17.2809	-0.197367	-7.32716
11.2632	0.137931	-6.16414	-10.3985	-10.7021	-16.7546	-0.723683	-7.32716
11.7895	0.137931	-5.63782	-10.1775	-10.8769	-16.2282	-1.25	-7.32716
12.3158	0.137931	-5.11151	-10.1719	-11.2002	-15.7019	-1.77631	-7.32716
12.8421	0.137931	-4.58519	-10.3849	-11.6294	-15.1756	-2.30263	-7.32716
13.3684	0.137931	-4.05888	-10.7669	-12.1228	-14.6493	-2.82895	-7.32716
13.8947	0.137931	-3.53256	-11.2454	-12.6483	-14.123	-3.35526	-7.32716
14.4211	0.137931	-3.00624	-11.7663	-13.1868	-13.5967	-3.88158	-7.32716
14.9474	0.137931	-2.47993	-12.3031	-13.73	-13.0703	-4.40789	-7.32716
15.4737	0.137931	-1.95361	-12.8452	-14.2746	-12.544	-4.93421	-7.32716
16	0.137931	-1.4273	-13.3889	-14.8194	-12.0177	-5.46053	-7.32716
6	0.206897	-11.5652	-15.2157	-14.4191	-22.0867	4.47051	-7.39613
6.52632	0.206897	-11.0389	-14.6361	-13.8398	-21.5604	3.94419	-7.39613
7.05263	0.206897	-10.5126	-14.1391	-13.3437	-21.034	3.41788	-7.39613
7.57895	0.206897	-9.98628	-13.652	-12.8595	-20.5077	2.89156	-7.39613
8.10526	0.206897	-9.45996	-13.1657	-12.3827	-19.9814	2.36525	-7.39613
8.63158	0.206897	-8.93365	-12.6787	-11.9247	-19.4551	1.83893	-7.39613
9.15789	0.206897	-8.40733	-12.1911	-11.5109	-18.9288	1.31261	-7.39613
9.68421	0.206897	-7.88102	-11.7048	-11.1618	-18.4025	0.786299	-7.39613
10.2105	0.206897	-7.3547	-11.2261	-10.8795	-17.8761	0.259983	-7.39613
10.7368	0.206897	-6.82839	-10.7745	-10.706	-17.3498	-0.266333	-7.39613
11.2632	0.206897	-6.30207	-10.3985	-10.7021	-16.8235	-0.792649	-7.39613
11.7895	0.206897	-5.77575	-10.1775	-10.8769	-16.2972	-1.31896	-7.39613
12.3158	0.206897	-5.24944	-10.1719	-11.2002	-15.7709	-1.84528	-7.39613
12.8421	0.206897	-4.72312	-10.3849	-11.6294	-15.2446	-2.3716	-7.39613
13.3684	0.206897	-4.19681	-10.7669	-12.1228	-14.7183	-2.89791	-7.39613
13.8947	0.206897	-3.67049	-11.2454	-12.6483	-14.1919	-3.42423	-7.39613
14.4211	0.206897	-3.14417	-11.7663	-13.1868	-13.6656	-3.95054	-7.39613
14.9474	0.206897	-2.61786	-12.3031	-13.73	-13.1393	-4.47686	-7.39613
15.4737	0.206897	-2.09154	-12.8452	-14.2746	-12.613	-5.00317	-7.39613
16	0.206897	-1.56523	-13.3889	-14.8194	-12.0867	-5.52949	-7.39613
6	0.275862	-11.7032	-15.2157	-14.4191	-22.1556	4.40154	-7.46509
6.52632	0.275862	-11.1768	-14.6361	-13.8398	-21.6293	3.87523	-7.46509
7.05263	0.275862	-10.6505	-14.1391	-13.3437	-21.103	3.34891	-7.46509
7.57895	0.275862	-10.1242	-13.652	-12.8595	-20.5767	2.8226	-7.46509
8.10526	0.275862	-9.5979	-13.1657	-12.3827	-20.0504	2.29628	-7.46509
8.63158	0.275862	-9.07158	-12.6787	-11.9247	-19.5241	1.76996	-7.46509
9.15789	0.275862	-8.54526	-12.1911	-11.5109	-18.9977	1.24365	-7.46509
9.68421	0.275862	-8.01895	-11.7048	-11.1618	-18.4714	0.717333	-7.46509
10.2105	0.275862	-7.49263	-11.2261	-10.8795	-17.9451	0.191017	-7.46509
10.7368	0.275862	-6.96632	-10.7745	-10.706	-17.4188	-0.335298	-7.46509
11.2632	0.275862	-6.44	-10.3985	-10.7021	-16.8925	-0.861614	-7.46509
11.7895	0.275862	-5.91368	-10.1775	-10.8769	-16.3662	-1.38793	-7.46509
12.3158	0.275862	-5.38737	-10.1719	-11.2002	-15.8399	-1.91425	-7.46509
12.8421	0.275862	-4.86105	-10.3849	-11.6294	-15.3135	-2.44056	-7.46509
13.3684	0.275862	-4.33474	-10.7669	-12.1228	-14.7872	-2.96688	-7.46509
13.8947	0.275862	-3.80842	-11.2454	-12.6483	-14.2609	-3.49319	-7.46509
14.4211	0.275862	-3.28211	-11.7663	-13.1868	-13.7346	-4.01951	-7.46509
14.9474	0.275862	-2.75579	-12.3031	-13.73	-13.2083	-4.54582	-7.46509
15.4737	0.275862	-2.22947	-12.8452	-14.2746	-12.682	-5.07214	-7.46509
16	0.275862	-1.70316	-13.3889	-14.8194	-12.1556	-5.59846	-7.46509
6	0.344828	-11.8411	-15.2157	-14.4191	-22.2246	4.33258	-7.53406
6.52632	0.344828	-11.3148	-14.6361	-13.8398	-21.6983	3.80626	-7.53406
7.05263	0.344828	-10.7885	-14.1391	-13.3437	-21.172	3.27995	-7.53406
7.57895	0.344828	-10.2621	-13.652	-12.8595	-20.6457	2.75363	-7.53406
8.10526	0.344828	-9.73583	-13.1657	-12.3827	-20.1193	2.22732	-7.53406
8.63158	0.344828	-9.20951	-12.6787	-11.9247	-19.593	1.701	-7.53406
9.15789	0.344828	-8.68319	-12.1911	-11.5109	-19.0667	1.17468	-7.53406
9.68421	0.344828	-8.15688	-11.7048	-11.1618	-18.5404	0.648368	-7.53406
10.2105	0.344828	-7.63056	-11.2261	-10.8795	-18.0141	0.122052	-7.53406
