log(r)=18.49	log(t)=7.26427
6	43.2737
6.20408	43.6798
6.40816	43.7805
6.61224	43.6904
6.81633	43.4811
7.02041	43.1972
7.22449	42.8667
7.42857	42.5071
7.63265	42.1293
7.83673	41.7401
8.04082	41.3438
8.2449	40.9431
8.44898	40.5395
8.65306	40.1342
8.85714	39.7278
9.06122	39.3208
9.26531	38.9132
9.46939	38.5054
9.67347	38.0974
9.87755	37.6891
10.0816	37.2806
10.2857	36.8718
10.4898	36.4625
10.6939	36.0526
10.898	35.6415
11.102	35.2287
11.3061	34.8131
11.5102	34.393
11.7143	33.9658
11.9184	33.5271
12.1224	33.0701
12.3265	32.5838
12.5306	32.0507
12.7347	31.4426
12.9388	30.7146
13.1429	29.7947
13.3469	28.5678
13.551	26.8499
13.7551	24.3462
13.9592	20.5855
14.1633	14.8138
14.3673	5.82478
14.5714	-8.31159
14.7755	-30.683
14.9796	-66.2291
15.1837	-122.853
15.3878	-213.199
15.5918	0
15.7959	0
16	0
