log(r)=21.9813	log(t)=7.26427
6	0
6.20408	0
6.40816	0
6.61224	0
6.81633	0
7.02041	0
7.22449	0
7.42857	0
7.63265	0
7.83673	0
8.04082	0
8.2449	0
8.44898	0
8.65306	0
8.85714	0
9.06122	0
9.26531	0
9.46939	0
9.67347	0
9.87755	0
10.0816	0
10.2857	0
10.4898	0
10.6939	0
10.898	0
11.102	0
11.3061	0
11.5102	0
11.7143	0
11.9184	0
12.1224	0
12.3265	0
12.5306	0
12.7347	0
12.9388	0
13.1429	0
13.3469	0
13.551	0
13.7551	0
13.9592	0
14.1633	0
14.3673	0
14.5714	0
14.7755	0
14.9796	0
15.1837	0
15.3878	0
15.5918	0
15.7959	0
16	0
