log(E/eV)	Synchr	IC	IC-Aux	IC-gx
-4.83275	30.0388	0	0	0
-4.38377	30.2581	0	20.9753	0
-3.93479	30.476	0	22.8863	0
-3.48581	30.6957	0	24.2171	0
-3.03683	30.9205	0	25.3075	0
-2.58785	31.1477	0	26.1383	0
-2.13887	31.3685	0	26.8527	0
-1.68989	31.5801	0	27.4681	0
-1.24091	31.781	22.1491	27.9909	26.4304
-0.791932	31.9687	24.2189	28.4159	28.5001
-0.342952	32.1464	25.5664	28.7886	29.8476
0.106027	32.3099	26.6766	29.0825	30.9579
0.555007	32.4493	27.522	29.3576	31.8033
1.00399	32.5543	28.2431	29.6386	32.5244
1.45297	32.6137	28.8656	29.9026	33.1469
1.90195	32.6331	29.396	30.1601	33.6773
2.35093	32.6176	29.8238	30.3697	34.1051
2.7999	32.5798	30.2027	30.5943	34.484
3.24888	32.516	30.4928	30.8152	34.7741
3.69786	32.4108	30.7806	31.0295	35.0619
4.14684	32.2424	31.0573	31.2931	35.3385
4.59582	31.9721	31.3232	31.5492	35.6045
5.0448	31.5644	31.579	31.7649	35.8602
5.49378	30.916	31.7939	32.0069	36.0751
5.94276	30.0784	32.0121	32.2162	36.2934
6.39174	28.9709	32.2305	32.4462	36.5118
6.84072	27.8263	32.4413	32.6311	36.7225
7.2897	25.5819	32.7057	32.8938	36.9869
7.73868	22.3976	32.9641	33.1158	37.2454
8.18766	17.5112	33.1902	33.359	37.4715
8.63664	10.327	33.4199	33.5592	37.7011
9.08562	0.102907	33.633	33.8069	37.9142
9.5346	-16.4067	33.8581	33.9505	38.1394
9.98358	-41.7841	34.0563	34.1537	38.3375
10.4326	-74.8357	34.288	34.2643	38.5693
10.8815	-168.806	34.498	34.2767	38.7793
11.3305	0	34.7235	34.2851	39.0047
11.7795	0	34.8427	34.1153	39.124
12.2285	0	34.9522	33.9445	39.2335
12.6775	0	35.0724	33.3245	39.3536
13.1264	0	35.029	32.5841	39.3103
13.5754	0	34.8923	31.3052	39.1736
14.0244	0	34.3611	28.3447	38.6424
14.4734	0	33.129	25.3587	37.4102
14.9224	0	28.4387	19.5794	32.72
15.3713	0	20.0668	2.73426	24.348
15.8203	0	-25.3491	-25.7977	-21.0679
16.2693	0	0	0	0
16.7183	0	0	0	0
17.1673	0	0	0	0
