log(r)=18.49	log(t)=6.76766
6	42.7913
6.18367	43.1728
6.36735	43.2961
6.55102	43.2501
6.73469	43.0933
6.91837	42.8639
7.10204	42.587
7.28571	42.2788
7.46939	41.9503
7.65306	41.6083
7.83673	41.2576
8.02041	40.9012
8.20408	40.541
8.38776	40.1783
8.57143	39.814
8.7551	39.4487
8.93878	39.0827
9.12245	38.7162
9.30612	38.3494
9.4898	37.9824
9.67347	37.6153
9.85714	37.2481
10.0408	36.8808
10.2245	36.5135
10.4082	36.1461
10.5918	35.7787
10.7755	35.4113
10.9592	35.0437
11.1429	34.676
11.3265	34.3082
11.5102	33.9401
11.6939	33.5715
11.8776	33.2024
12.0612	32.8323
12.2449	32.4607
12.4286	32.0869
12.6122	31.7097
12.7959	31.3274
12.9796	30.9371
13.1633	30.5348
13.3469	30.114
13.5306	29.6651
13.7143	29.1734
13.898	28.6161
14.0816	27.9588
14.2653	27.149
14.449	26.1061
14.6327	24.7077
14.8163	22.7665
15	19.9968
