log(r)=19.666	log(t)=6.76766
6	0
6.18367	0
6.36735	0
6.55102	0
6.73469	0
6.91837	0
7.10204	0
7.28571	0
7.46939	0
7.65306	0
7.83673	0
8.02041	0
8.20408	0
8.38776	0
8.57143	0
8.7551	0
8.93878	0
9.12245	0
9.30612	0
9.4898	0
9.67347	0
9.85714	0
10.0408	0
10.2245	0
10.4082	0
10.5918	0
10.7755	0
10.9592	0
11.1429	0
11.3265	0
11.5102	0
11.6939	0
11.8776	0
12.0612	0
12.2449	0
12.4286	0
12.6122	0
12.7959	0
12.9796	0
13.1633	0
13.3469	0
13.5306	0
13.7143	0
13.898	0
14.0816	0
14.2653	0
14.449	0
14.6327	0
14.8163	0
15	0
