log(E/eV)	Synchr	IC	IC-Aux	IC-gx
-5.24005	30.586	0	0	0
-4.77066	30.8205	0	0	0
-4.30127	31.0469	0	0	0
-3.83188	31.2758	0	0	0
-3.3625	31.5144	0	0	0
-2.89311	31.7592	0	23.2277	0
-2.42372	31.9958	0	25.1411	0
-1.95433	32.2243	0	26.5878	0
-1.48494	32.4496	0	27.8749	0
-1.01556	32.6817	0	28.9206	0
-0.546169	32.9268	23.4641	29.7314	25.5249
-0.0767813	33.1677	25.0617	30.4381	27.1456
0.392606	33.3949	26.4367	31.0345	28.5336
0.861994	33.615	27.6447	31.5289	29.7476
1.33138	33.8388	28.5843	31.939	30.6892
1.80077	34.0695	29.3523	32.2752	31.4581
2.27016	34.2935	30.0186	32.588	32.125
2.73955	34.4926	30.5779	32.8824	32.6847
3.20893	34.6626	31.0346	33.1476	33.1416
3.67832	34.7924	31.41	33.3896	33.5173
4.14771	34.8532	31.7476	33.6368	33.855
4.6171	34.7638	32.0489	33.8772	34.1563
5.08648	34.3782	32.3219	34.0863	34.4293
5.55587	33.5981	32.5732	34.3598	34.6806
6.02526	32.4437	32.8031	34.6122	34.9106
6.49465	30.522	33.0414	34.8502	35.1488
6.96404	25.5111	33.3119	35.0616	35.4193
7.43342	10.6563	33.568	35.293	35.6755
7.90281	-33.7568	33.8168	35.5728	35.9242
8.3722	-165.787	34.0208	35.8069	36.1283
8.84159	0	34.2176	36.029	36.325
9.31097	0	34.4713	36.2544	36.5787
9.78036	0	34.686	36.5514	36.7934
10.2497	0	34.8723	36.768	36.9796
10.7191	0	35.029	36.9482	37.1363
11.1885	0	35.1211	37.2257	37.2281
11.6579	0	35.2225	37.4186	37.3294
12.1273	0	35.2925	37.5218	37.3994
12.5967	0	35.3293	37.8168	37.4361
13.0661	0	34.882	37.8706	36.9872
13.5355	0	34.6312	37.9243	36.7354
14.0049	0	33.7937	37.7687	35.8968
14.4742	0	32.6172	37.0412	34.72
14.9436	0	0	0	0
15.413	0	0	0	0
15.8824	0	0	0	0
16.3518	0	0	0	0
16.8212	0	0	0	0
17.2906	0	0	0	0
17.76	0	0	0	0
