log(z/pc)	t=6.65509	t=6.67373	t=6.69237	t=6.71101	t=6.72964	t=6.74828	t=6.76692	t=6.78555	t=6.80419	t=6.82283	t=6.84147	t=6.8601	t=6.87874	t=6.89738	t=6.91602	t=6.93465	t=6.95329	t=6.97193	t=6.99057	t=7.0092	t=7.02784	t=7.04648	t=7.06512	t=7.08375	t=7.10239	t=7.12103	t=7.13966	t=7.1583	t=7.17694	t=7.19558	t=7.21421	t=7.23285	t=7.25149	t=7.27013	t=7.28876	t=7.3074	t=7.32604	t=7.34468	t=7.36331	t=7.38195	t=7.40059	t=7.41922	t=7.43786	t=7.4565	t=7.47514	t=7.49377	t=7.51241	t=7.53105	t=7.54969	t=7.56832	t=7.58696	t=7.6056	t=7.62424	t=7.64287	t=7.66151	t=7.68015	t=7.69879	t=7.71742	t=7.73606	t=7.7547	t=7.77333	t=7.79197	t=7.81061	t=7.82925	t=7.84788	t=7.86652	t=7.88516	t=7.9038	t=7.92243	t=7.94107	t=7.95971	t=7.97835	t=7.99698	t=8.01562	t=8.03426	t=8.05289	t=8.07153	t=8.09017	t=8.10881	t=8.12744	t=8.14608	t=8.16472	t=8.18336	t=8.20199	t=8.22063	t=8.23927	t=8.25791	t=8.27654	t=8.29518	t=8.31382	t=8.33246	t=8.35109	t=8.36973	t=8.38837	t=8.407	t=8.42564	t=8.44428	t=8.46292	t=8.48155	t=8.50019	
1	40.2175	40.2345	40.238	40.241	40.2416	40.2453	40.2479	40.2483	40.2529	40.2558	40.2611	40.2649	40.2699	40.2732	40.2795	40.2843	40.2894	40.2942	40.3011	40.3066	40.3166	40.3237	40.331	40.3403	40.3494	40.3599	40.3742	40.3834	40.3931	40.4064	40.4194	40.4337	40.4494	40.4629	40.4772	40.4934	40.5088	40.5296	40.5431	40.5632	40.5802	40.5979	40.6122	40.6236	40.6357	40.6473	40.6562	40.6685	40.6789	40.691	40.7037	40.7155	40.7296	40.7442	40.7597	40.7747	40.7895	40.8033	40.8178	40.832	40.8446	40.8584	40.8691	40.882	40.8935	40.907	40.9233	40.9361	40.9487	40.9625	40.9738	40.9849	40.9981	41.0097	41.0218	41.0346	41.0469	41.0572	41.0686	41.0799	41.0912	41.1013	41.1123	41.1228	41.1329	41.1425	41.1527	41.1621	41.1702	41.1794	41.1881	41.1963	41.2045	41.2125	41.2201	41.227	41.2344	41.241	41.2472	41.2534	
1.04385	40.548	40.5731	40.5758	40.5787	40.5806	40.5826	40.5858	40.5874	40.5897	40.5934	40.5975	40.6021	40.6065	40.6106	40.6153	40.621	40.6259	40.6309	40.6366	40.6428	40.6495	40.659	40.6662	40.6744	40.6836	40.6933	40.7055	40.7172	40.7268	40.738	40.7512	40.7648	40.7797	40.7942	40.8081	40.8232	40.839	40.8568	40.874	40.8906	40.9092	40.9265	40.9426	40.9554	40.9672	40.979	40.9895	40.9998	41.0113	41.0222	41.0347	41.0469	41.0597	41.074	41.0889	41.104	41.1189	41.1331	41.1471	41.1614	41.1747	41.1879	41.1999	41.2118	41.224	41.2363	41.251	41.2656	41.2782	41.2912	41.3038	41.3148	41.3268	41.3392	41.3508	41.3632	41.3757	41.3869	41.3974	41.4088	41.42	41.4306	41.441	41.4516	41.4617	41.4716	41.4814	41.4911	41.4997	41.5082	41.5171	41.5254	41.5334	41.5414	41.5492	41.5563	41.5633	41.5703	41.5766	41.5827	
1.08962	40.7555	40.7871	40.7906	40.7925	40.7948	40.7969	40.7994	40.8018	40.8042	40.8065	40.8108	40.8148	40.8194	40.8236	40.8283	40.8331	40.8386	40.8435	40.849	40.8546	40.8612	40.8685	40.8774	40.8852	40.8936	40.9031	40.9141	40.9253	40.9366	40.9471	40.9588	40.9723	40.9864	41.0006	41.0152	41.0296	41.0447	41.0618	41.0783	41.0962	41.113	41.1312	41.1476	41.1623	41.1749	41.1864	41.1975	41.2085	41.2187	41.2301	41.2416	41.254	41.2666	41.2799	41.2944	41.3092	41.3241	41.3386	41.3528	41.3667	41.3804	41.3938	41.4059	41.4182	41.43	41.4425	41.4557	41.4698	41.4838	41.4965	41.509	41.5209	41.5324	41.5441	41.5563	41.5682	41.5804	41.5921	41.6032	41.6138	41.625	41.6358	41.6464	41.6566	41.6668	41.6768	41.6865	41.6961	41.7051	41.7138	41.7222	41.7308	41.7389	41.7467	41.7545	41.7619	41.769	41.7757	41.7824	41.7885	
1.1374	40.913	40.951	40.955	40.9571	40.9587	40.9611	40.9635	40.9654	40.9683	40.9708	40.9737	40.9779	40.982	40.9864	40.991	40.9957	41.0006	41.0059	41.011	41.0166	41.0227	41.0297	41.037	41.0459	41.0539	41.0622	41.0731	41.0838	41.0948	41.1062	41.1172	41.1294	41.1432	41.1566	41.1713	41.1861	41.2007	41.2167	41.233	41.2501	41.2679	41.2848	41.3022	41.3175	41.3314	41.3438	41.3548	41.3663	41.377	41.3874	41.3991	41.4107	41.4233	41.4363	41.4499	41.4644	41.4791	41.4936	41.5081	41.5221	41.5356	41.5492	41.5618	41.5741	41.5862	41.5982	41.6112	41.6244	41.6381	41.6518	41.6642	41.6762	41.6882	41.6995	41.7112	41.7234	41.7353	41.747	41.7584	41.7694	41.78	41.7908	41.8015	41.8119	41.822	41.8319	41.8417	41.8513	41.8604	41.8693	41.8778	41.8861	41.8944	41.9023	41.91	41.9175	41.9248	41.9316	41.9381	41.9445	
1.18727	41.0445	41.0876	41.0926	41.0944	41.0962	41.098	41.1005	41.1026	41.1049	41.1077	41.1106	41.1137	41.1179	41.122	41.1266	41.1313	41.136	41.1409	41.1461	41.1515	41.1575	41.1639	41.1709	41.1786	41.1874	41.1954	41.2049	41.2155	41.2261	41.2372	41.2488	41.2603	41.2727	41.2863	41.3	41.315	41.3298	41.3451	41.3608	41.3775	41.3946	41.4122	41.4287	41.4451	41.4598	41.4733	41.4853	41.4965	41.5077	41.5185	41.5292	41.5409	41.5528	41.5657	41.5789	41.5926	41.6071	41.6215	41.636	41.6503	41.664	41.6774	41.6903	41.7029	41.715	41.7272	41.7396	41.7527	41.7657	41.7792	41.7925	41.8045	41.8165	41.8282	41.8396	41.8513	41.8634	41.875	41.8865	41.8977	41.9085	41.9189	41.9296	41.9401	41.9504	41.9602	41.97	41.9797	41.9888	41.9978	42.0065	42.0149	42.0229	42.0311	42.0389	42.0463	42.0537	42.0607	42.0673	42.0737	
1.23933	41.1597	41.2077	41.2132	41.2153	41.2168	41.2187	41.2207	41.223	41.2253	41.2276	41.2307	41.2338	41.237	41.2412	41.2454	41.2501	41.2547	41.2596	41.2644	41.2699	41.2755	41.2818	41.2882	41.2955	41.3033	41.312	41.3209	41.3303	41.3408	41.3516	41.3629	41.3747	41.3863	41.3989	41.4127	41.4267	41.4415	41.457	41.4721	41.4881	41.5049	41.5219	41.5392	41.555	41.5708	41.585	41.5981	41.6101	41.6211	41.6323	41.6433	41.6541	41.6661	41.6781	41.6912	41.7046	41.7183	41.7326	41.747	41.7613	41.7753	41.7889	41.8018	41.8146	41.8271	41.8393	41.8517	41.8641	41.8771	41.89	41.9032	41.9161	41.9281	41.9399	41.9515	41.9629	41.9746	41.9864	41.9977	42.0091	42.0201	42.0307	42.0411	42.0517	42.062	42.072	42.0817	42.0914	42.1007	42.1097	42.1185	42.1271	42.1353	42.1432	42.1512	42.1588	42.1661	42.1732	42.18	42.1865	
1.29367	41.2645	41.3165	41.3229	41.3248	41.3265	41.3281	41.3301	41.332	41.3344	41.3367	41.3393	41.3425	41.3457	41.3489	41.3532	41.3576	41.3621	41.367	41.3717	41.3768	41.3824	41.3883	41.3946	41.4014	41.4087	41.4165	41.4259	41.4348	41.4442	41.4549	41.4658	41.4773	41.4892	41.501	41.5138	41.5278	41.5417	41.557	41.5724	41.5878	41.6039	41.6207	41.6375	41.6541	41.6695	41.6848	41.6986	41.7116	41.7234	41.7344	41.7457	41.7567	41.7678	41.7799	41.7922	41.8054	41.8188	41.8325	41.8467	41.8609	41.875	41.8888	41.902	41.9148	41.9275	41.94	41.9523	41.9648	41.9772	41.99	42.0027	42.0156	42.0284	42.0402	42.0519	42.0635	42.0749	42.0864	42.098	42.1092	42.1203	42.1313	42.1418	42.152	42.1624	42.1725	42.1825	42.192	42.2014	42.2105	42.2194	42.2281	42.2365	42.2445	42.2523	42.2601	42.2676	42.2747	42.2816	42.2883	
1.3504	41.3615	41.4176	41.4245	41.4265	41.428	41.4296	41.4315	41.4334	41.4354	41.4378	41.4403	41.443	41.4463	41.4495	41.453	41.4573	41.4616	41.4663	41.4711	41.476	41.4812	41.4869	41.493	41.4996	41.5064	41.5138	41.5222	41.5315	41.5405	41.5501	41.5609	41.5719	41.5836	41.5956	41.6076	41.6206	41.6346	41.6489	41.6642	41.6797	41.6952	41.7114	41.728	41.7444	41.7606	41.7756	41.7905	41.8041	41.8168	41.8285	41.8397	41.851	41.8622	41.8734	41.8857	41.8981	41.9114	41.9248	41.9384	41.9526	41.9666	41.9805	41.994	42.007	42.0197	42.0324	42.0449	42.0573	42.0697	42.0819	42.0946	42.1071	42.1199	42.1325	42.1443	42.1559	42.1675	42.1787	42.19	42.2015	42.2125	42.2236	42.2344	42.2448	42.2548	42.265	42.275	42.2849	42.2942	42.3034	42.3124	42.3212	42.3297	42.338	42.3459	42.3535	42.3612	42.3685	42.3754	42.3822	
1.40961	41.4533	41.5126	41.5204	41.5224	41.5239	41.5253	41.5271	41.5289	41.5309	41.5329	41.5355	41.5381	41.5409	41.5442	41.5476	41.5511	41.5554	41.5598	41.5645	41.5692	41.5745	41.5798	41.5856	41.5919	41.5985	41.6054	41.6133	41.6217	41.6311	41.6402	41.65	41.6609	41.6721	41.6838	41.696	41.7082	41.7213	41.7355	41.7499	41.7653	41.7809	41.7965	41.8126	41.8288	41.8448	41.8607	41.8754	41.89	41.9035	41.9161	41.9277	41.939	41.9504	41.9616	41.9731	41.9855	41.998	42.0112	42.0246	42.0382	42.0522	42.0661	42.0797	42.0929	42.106	42.1186	42.1313	42.1439	42.1562	42.1684	42.1806	42.1931	42.2056	42.2182	42.2307	42.2424	42.254	42.2655	42.2765	42.2877	42.299	42.3099	42.3209	42.3316	42.3418	42.3517	42.3618	42.3717	42.3814	42.3905	42.3996	42.4085	42.4171	42.4255	42.4336	42.4414	42.4489	42.4564	42.4636	42.4704	
1.47142	41.541	41.6034	41.6117	41.6139	41.6153	41.6167	41.6182	41.62	41.6219	41.6239	41.6261	41.6288	41.6315	41.6343	41.6377	41.6411	41.6447	41.6491	41.6534	41.6581	41.6631	41.6684	41.6738	41.6798	41.6862	41.693	41.7002	41.7082	41.7166	41.7261	41.7354	41.7453	41.7563	41.7676	41.7795	41.7919	41.8042	41.8175	41.8317	41.8463	41.8617	41.8774	41.8929	41.9088	41.9247	41.9404	41.956	41.9704	41.9848	41.9982	42.0107	42.0224	42.0337	42.0452	42.0565	42.0682	42.0806	42.0932	42.1064	42.1198	42.1332	42.1471	42.1607	42.1742	42.1873	42.2004	42.213	42.2257	42.2382	42.2504	42.2625	42.2746	42.2871	42.2994	42.3119	42.3243	42.336	42.3475	42.3587	42.3697	42.3808	42.392	42.4029	42.4137	42.4242	42.4343	42.4442	42.4541	42.4639	42.4734	42.4825	42.4914	42.5001	42.5086	42.5169	42.5249	42.5326	42.54	42.5474	42.5544	
