log(r)=18.49	log(t)=6.65509
6	42.6787
6.09091	42.907
6.18182	43.0578
6.27273	43.1459
6.36364	43.1829
6.45455	43.1786
6.54545	43.1408
6.63636	43.0758
6.72727	42.9887
6.81818	42.8838
6.90909	42.7643
7	42.633
7.09091	42.4922
7.18182	42.3437
7.27273	42.1888
7.36364	42.0289
7.45455	41.8648
7.54545	41.6974
7.63636	41.5273
7.72727	41.3549
7.81818	41.1808
7.90909	41.0052
8	40.8284
8.09091	40.6507
8.18182	40.4722
8.27273	40.2931
8.36364	40.1135
8.45455	39.9334
8.54545	39.7531
8.63636	39.5724
8.72727	39.3915
8.81818	39.2105
8.90909	39.0293
9	38.848
9.09091	38.6666
9.18182	38.4851
9.27273	38.3035
9.36364	38.1219
9.45455	37.9403
9.54545	37.7586
9.63636	37.5769
9.72727	37.3952
9.81818	37.2134
9.90909	37.0317
10	36.8499
10.0909	36.6681
10.1818	36.4863
10.2727	36.3045
10.3636	36.1226
10.4545	35.9408
10.5455	35.7589
10.6364	35.5771
10.7273	35.3952
10.8182	35.2133
10.9091	35.0314
11	34.8494
11.0909	34.6675
11.1818	34.4855
11.2727	34.3034
11.3636	34.1213
11.4545	33.9391
11.5455	33.7568
11.6364	33.5744
11.7273	33.3919
11.8182	33.2092
11.9091	33.0263
12	32.8432
12.0909	32.6598
12.1818	32.4759
12.2727	32.2917
12.3636	32.1068
12.4545	31.9212
12.5455	31.7348
12.6364	31.5473
12.7273	31.3584
12.8182	31.168
12.9091	30.9755
13	30.7805
13.0909	30.5825
13.1818	30.3807
13.2727	30.1742
13.3636	29.962
13.4545	29.7427
13.5455	29.5147
13.6364	29.2759
13.7273	29.0239
13.8182	28.7555
13.9091	28.467
14	28.1536
14.0909	27.8096
14.1818	27.4278
14.2727	26.9994
14.3636	26.5137
14.4545	25.9572
14.5455	25.3134
14.6364	24.5621
14.7273	23.6781
14.8182	22.6307
14.9091	21.3817
15	19.8843
