log(E/eV)	Synchr	IC	IC-Aux
-5.24005	33.2981	0	0
-5.00772	33.4136	0	0
-4.7754	33.5297	0	0
-4.54308	33.6456	0	0
-4.31075	33.762	0	0
-4.07843	33.8795	0	0
-3.84611	33.9964	0	0
-3.61378	34.1132	0	0
-3.38146	34.2296	0	0
-3.14914	34.345	0	0
-2.91681	34.4607	0	26.1167
-2.68449	34.5758	0	27.2698
-2.45217	34.6897	0	28.0961
-2.21984	34.8035	0	28.838
-1.98752	34.9166	0	29.5361
-1.7552	35.0304	0	30.1985
-1.52287	35.1456	0	30.8192
-1.29055	35.2606	0	31.3819
-1.05823	35.3757	0	31.8695
-0.825905	35.4905	24.3039	32.2863
-0.593582	35.6042	27.2223	32.6624
-0.361259	35.7182	28.0964	33.0119
-0.128935	35.8319	28.8507	33.3302
0.103388	35.9449	29.5547	33.6145
0.335711	36.058	30.2244	33.8708
0.568034	36.17	30.8578	34.108
0.800357	36.2813	31.4413	34.3221
1.03268	36.3924	31.9562	34.5147
1.265	36.5016	32.3953	34.6972
1.49733	36.6092	32.7827	34.8575
1.72965	36.7145	33.1415	35.0158
1.96197	36.8161	33.4706	35.1673
2.1943	36.9148	33.7669	35.2863
2.42662	37.0093	34.0311	35.4361
2.65894	37.0976	34.277	35.564
2.89127	37.1792	34.497	35.6839
3.12359	37.2502	34.6947	35.8128
3.35591	37.3079	34.8873	35.9124
3.58824	37.3493	35.0614	36.0524
3.82056	37.3659	35.2117	36.1538
4.05288	37.3491	35.3612	36.2939
4.28521	37.2853	35.5105	36.373
4.51753	37.1488	35.6266	36.5331
4.74985	36.9151	35.7748	36.6225
4.98218	36.5713	35.8799	36.7661
5.2145	36.1152	36.0148	36.8762
5.44682	35.5577	36.1397	36.9717
5.67915	34.8847	36.2544	37.1019
5.91147	34.0339	36.37	37.1965
6.14379	32.849	36.4973	37.3436
6.37612	31.0038	36.5982	37.4535
6.60844	27.9722	36.7278	37.5629
6.84076	22.8919	36.8017	37.6972
7.07308	14.2861	36.9546	37.8131
7.30541	-0.396222	37.0553	37.9472
7.53773	-25.5528	37.211	38.0497
7.77005	-68.6865	37.3019	38.1714
8.00238	-142.547	37.4072	38.3004
8.2347	-268.872	37.5283	38.4103
8.46702	0	37.625	38.5034
8.69935	0	37.776	38.6184
8.93167	0	37.8719	38.7637
9.16399	0	37.9661	38.8117
9.39632	0	38.1134	38.9909
9.62864	0	38.1957	39.0996
9.86096	0	38.2868	39.2305
10.0933	0	38.408	39.3336
10.3256	0	38.4921	39.4305
10.5579	0	38.5569	39.6066
10.7903	0	38.5942	39.6483
11.0226	0	38.6818	39.7642
11.2549	0	38.7386	39.9289
11.4872	0	38.8302	39.9424
11.7195	0	38.8313	40.064
11.9519	0	38.7634	40.2185
12.1842	0	38.8233	40.2302
12.4165	0	38.7594	40.3006
12.6488	0	38.8039	40.4593
12.8812	0	38.6315	40.4865
13.1135	0	38.6226	40.524
13.3458	0	37.9955	40.4975
13.5781	0	38.3838	40.5227
13.8105	0	37.5979	40.4153
14.0428	0	37.4889	40.3844
14.2751	0	38.5187	39.8522
14.5074	0	0	0
14.7398	0	0	0
14.9721	0	0	0
15.2044	0	0	0
15.4367	0	0	0
15.669	0	0	0
15.9014	0	0	0
16.1337	0	0	0
16.366	0	0	0
16.5983	0	0	0
16.8307	0	0	0
17.063	0	0	0
17.2953	0	0	0
17.5276	0	0	0
17.76	0	0	0
