log(r)=18.49	log(t)=6.96662
6	43.9984
6.08081	44.2054
6.16162	44.3499
6.24242	44.4424
6.32323	44.4918
6.40404	44.5053
6.48485	44.4891
6.56566	44.4482
6.64646	44.3868
6.72727	44.3084
6.80808	44.2159
6.88889	44.1116
6.9697	43.9976
7.05051	43.8755
7.13131	43.7467
7.21212	43.6124
7.29293	43.4734
7.37374	43.3305
7.45455	43.1845
7.53535	43.0358
7.61616	42.885
7.69697	42.7323
7.77778	42.5781
7.85859	42.4226
7.93939	42.2661
8.0202	42.1087
8.10101	41.9506
8.18182	41.7919
8.26263	41.6327
8.34343	41.4731
8.42424	41.3132
8.50505	41.1529
8.58586	40.9925
8.66667	40.8318
8.74747	40.671
8.82828	40.51
8.90909	40.3489
8.9899	40.1878
9.07071	40.0265
9.15152	39.8652
9.23232	39.7038
9.31313	39.5424
9.39394	39.381
9.47475	39.2195
9.55556	39.0579
9.63636	38.8964
9.71717	38.7348
9.79798	38.5732
9.87879	38.4116
9.9596	38.2499
10.0404	38.0882
10.1212	37.9265
10.202	37.7648
10.2828	37.603
10.3636	37.4412
10.4444	37.2794
10.5253	37.1175
10.6061	36.9555
10.6869	36.7934
10.7677	36.6313
10.8485	36.469
10.9293	36.3067
11.0101	36.1441
11.0909	35.9814
11.1717	35.8184
11.2525	35.6552
11.3333	35.4916
11.4141	35.3276
11.4949	35.1631
11.5758	34.9981
11.6566	34.8323
11.7374	34.6657
11.8182	34.4981
11.899	34.3292
11.9798	34.1589
12.0606	33.9868
12.1414	33.8125
12.2222	33.6357
12.303	33.4557
12.3838	33.272
12.4646	33.0837
12.5455	32.89
12.6263	32.6898
12.7071	32.4816
12.7879	32.264
12.8687	32.0348
12.9495	31.7919
13.0303	31.5324
13.1111	31.2528
13.1919	30.9491
13.2727	30.6163
13.3535	30.2485
13.4343	29.8386
13.5152	29.3778
13.596	28.856
13.6768	28.2604
13.7576	27.5761
13.8384	26.7849
13.9192	25.8649
14	24.7899
