log(r)=22.1889	log(t)=6.96662
6	0
6.08081	0
6.16162	0
6.24242	0
6.32323	0
6.40404	0
6.48485	0
6.56566	0
6.64646	0
6.72727	0
6.80808	0
6.88889	0
6.9697	0
7.05051	0
7.13131	0
7.21212	0
7.29293	0
7.37374	0
7.45455	0
7.53535	0
7.61616	0
7.69697	0
7.77778	0
7.85859	0
7.93939	0
8.0202	0
8.10101	0
8.18182	0
8.26263	0
8.34343	0
8.42424	0
8.50505	0
8.58586	0
8.66667	0
8.74747	0
8.82828	0
8.90909	0
8.9899	0
9.07071	0
9.15152	0
9.23232	0
9.31313	0
9.39394	0
9.47475	0
9.55556	0
9.63636	0
9.71717	0
9.79798	0
9.87879	0
9.9596	0
10.0404	0
10.1212	0
10.202	0
10.2828	0
10.3636	0
10.4444	0
10.5253	0
10.6061	0
10.6869	0
10.7677	0
10.8485	0
10.9293	0
11.0101	0
11.0909	0
11.1717	0
11.2525	0
11.3333	0
11.4141	0
11.4949	0
11.5758	0
11.6566	0
11.7374	0
11.8182	0
11.899	0
11.9798	0
12.0606	0
12.1414	0
12.2222	0
12.303	0
12.3838	0
12.4646	0
12.5455	0
12.6263	0
12.7071	0
12.7879	0
12.8687	0
12.9495	0
13.0303	0
13.1111	0
13.1919	0
13.2727	0
13.3535	0
13.4343	0
13.5152	0
13.596	0
13.6768	0
13.7576	0
13.8384	0
13.9192	0
14	0
