log(E/eV)	Synchr	IC	IC-Aux
-5.53421	32.1508	0	0
-5.31199	32.263	0	0
-5.08977	32.3765	0	16.3096
-4.86755	32.4896	0	17.4737
-4.64532	32.6015	0	18.2919
-4.4231	32.7141	0	19.0245
-4.20088	32.8246	0	19.7165
-3.97866	32.9365	0	20.3814
-3.75644	33.0484	0	21.0217
-3.53421	33.159	0	21.6326
-3.31199	33.2708	0	22.2027
-3.08977	33.3807	0	22.7133
-2.86755	33.4919	0	23.1494
-2.64532	33.6029	0	23.5204
-2.4231	33.7124	0	23.8526
-2.20088	33.8234	0	24.1505
-1.97866	33.9326	20.0881	24.4054
-1.75644	34.0425	21.7989	24.6231
-1.53421	34.1522	22.6604	24.8097
-1.31199	34.2598	23.4092	24.9871
-1.08977	34.3688	24.1103	25.1513
-0.867547	34.4756	24.7823	25.3117
-0.645325	34.5825	25.4298	25.4659
-0.423103	34.6884	26.0503	25.6046
-0.20088	34.7913	26.6342	25.7454
0.0213418	34.8948	27.1645	25.8794
0.243564	34.9949	27.6228	26.0061
0.465786	35.0932	28.0102	26.1275
0.688008	35.1891	28.3518	26.2624
0.910231	35.2798	28.6602	26.3661
1.13245	35.3692	28.9296	26.5051
1.35468	35.4527	29.1566	26.5932
1.5769	35.5308	29.3494	26.7453
1.79912	35.6034	29.5265	26.8393
2.02134	35.6661	29.6979	26.9787
2.24356	35.724	29.8583	27.0864
2.46579	35.7714	30.0082	27.1842
2.68801	35.8069	30.1619	27.3185
2.91023	35.831	30.2965	27.4088
3.13245	35.8352	30.4331	27.5384
3.35468	35.826	30.5648	27.6591
3.5769	35.7937	30.6889	27.7659
3.79912	35.7242	30.8141	27.8884
4.02134	35.6105	30.9289	27.99
4.24356	35.4045	31.0599	28.0973
4.46579	35.0752	31.156	28.2326
4.68801	34.629	31.2936	28.3284
4.91023	33.9884	31.3732	28.4469
5.13245	32.931	31.5299	28.5624
5.35468	31.0318	31.6337	28.6729
5.5769	27.6705	31.7649	28.7721
5.79912	21.8656	31.8738	28.8855
6.02134	11.9845	31.9642	29.028
6.24356	-4.69616	32.1007	29.0889
6.46579	-32.7191	32.2117	29.2327
6.68801	-79.6622	32.3264	29.3641
6.91023	-158.166	32.4453	29.4097
7.13245	0	32.5429	29.5777
7.35468	0	32.659	29.6728
7.5769	0	32.7851	29.7141
7.79912	0	32.8699	29.8869
8.02134	0	32.9902	29.9602
8.24356	0	33.1062	29.9843
8.46579	0	33.2172	30.1721
8.68801	0	33.3065	30.2413
8.91023	0	33.4214	30.206
9.13245	0	33.5518	30.4256
9.35468	0	33.6148	30.4917
9.5769	0	33.745	30.4268
9.79912	0	33.8645	30.6088
10.0213	0	33.911	30.67
10.2436	0	34.0244	30.5466
10.4658	0	34.1253	30.6487
10.688	0	34.1448	30.6986
10.9102	0	34.2198	30.5087
11.1325	0	34.2807	30.426
11.3547	0	34.2934	30.4339
11.5769	0	34.3404	29.9206
11.7991	0	34.2895	29.4492
12.0213	0	34.3405	29.1656
12.2436	0	34.1771	25.7394
12.4658	0	33.9362	24.9232
12.688	0	34.0441	14.5574
12.9102	0	33.5331	-16.2383
13.1325	0	33.184	-97.7071
13.3547	0	0	0
13.5769	0	0	0
13.7991	0	0	0
14.0213	0	0	0
14.2436	0	0	0
14.4658	0	0	0
14.688	0	0	0
14.9102	0	0	0
15.1325	0	0	0
15.3547	0	0	0
15.5769	0	0	0
15.7991	0	0	0
16.0213	0	0	0
16.2436	0	0	0
16.4658	0	0	0
