log(E/eV)	Synchr	IC-Aux
-5.53421	32.1508	0	0
-5.31199	32.263	0	0
-5.08977	32.3765	0	0
-4.86755	32.4896	0	0
-4.64532	32.6015	0	0
-4.4231	32.7141	0	0
-4.20088	32.8246	0	0
-3.97866	32.9365	0	0
-3.75644	33.0484	0	0
-3.53421	33.159	0	0
-3.31199	33.2708	0	0
-3.08977	33.3807	0	0
-2.86755	33.4919	0	0
-2.64532	33.6029	0	0
-2.4231	33.7124	0	0
-2.20088	33.8234	0	0
-1.97866	33.9326	20.0881	-20.1787
-1.75644	34.0425	21.7989	-18.4679
-1.53421	34.1522	22.6604	-17.6064
-1.31199	34.2598	23.4092	-16.8576
-1.08977	34.3688	24.1103	-16.1565
-0.867547	34.4756	24.7823	-15.4845
-0.645325	34.5825	25.4298	-14.837
-0.423103	34.6884	26.0503	-14.2165
-0.20088	34.7913	26.6342	-13.6326
0.0213418	34.8948	27.1645	-13.1023
0.243564	34.9949	27.6228	-12.644
0.465786	35.0932	28.0102	-12.2566
0.688008	35.1891	28.3518	-11.915
0.910231	35.2798	28.6602	-11.6066
1.13245	35.3692	28.9296	-11.3373
1.35468	35.4527	29.1566	-11.1102
1.5769	35.5308	29.3494	-10.9174
1.79912	35.6034	29.5265	-10.7403
2.02134	35.6661	29.6979	-10.5689
2.24356	35.724	29.8583	-10.4085
2.46579	35.7714	30.0082	-10.2586
2.68801	35.8069	30.1619	-10.1049
2.91023	35.831	30.2965	-9.97035
3.13245	35.8352	30.4331	-9.83369
3.35468	35.826	30.5648	-9.70203
3.5769	35.7937	30.6889	-9.57794
3.79912	35.7242	30.8141	-9.45275
4.02134	35.6105	30.9289	-9.33795
4.24356	35.4045	31.0599	-9.20691
4.46579	35.0752	31.156	-9.1108
4.68801	34.629	31.2936	-8.97319
4.91023	33.9884	31.3732	-8.89361
5.13245	32.931	31.5299	-8.73693
5.35468	31.0318	31.6337	-8.63315
5.5769	27.6705	31.7649	-8.50188
5.79912	21.8656	31.8738	-8.39304
6.02134	11.9845	31.9642	-8.30259
6.24356	-4.69616	32.1007	-8.16607
6.46579	-32.7191	32.2117	-8.05514
6.68801	-79.6622	32.3264	-7.9404
6.91023	-158.166	32.4453	-7.82152
7.13245	0	32.5429	-7.72391
7.35468	0	32.659	-7.60779
7.5769	0	32.7851	-7.48169
7.79912	0	32.8699	-7.3969
8.02134	0	32.9902	-7.27665
8.24356	0	33.1062	-7.16062
8.46579	0	33.2172	-7.0496
8.68801	0	33.3065	-6.96035
8.91023	0	33.4214	-6.84542
9.13245	0	33.5518	-6.71505
9.35468	0	33.6148	-6.65198
9.5769	0	33.745	-6.5218
9.79912	0	33.8645	-6.40229
10.0213	0	33.911	-6.35584
10.2436	0	34.0244	-6.2424
10.4658	0	34.1253	-6.14153
10.688	0	34.1448	-6.12201
10.9102	0	34.2198	-6.04699
11.1325	0	34.2807	-5.9861
11.3547	0	34.2934	-5.97344
11.5769	0	34.3404	-5.92641
11.7991	0	34.2895	-5.97732
12.0213	0	34.3405	-5.92629
12.2436	0	34.1771	-6.08966
12.4658	0	33.9362	-6.33061
12.688	0	34.0441	-6.22274
12.9102	0	33.5331	-6.73368
13.1325	0	33.184	-7.0828
13.3547	0	0	0
13.5769	0	0	0
13.7991	0	0	0
14.0213	0	0	0
14.2436	0	0	0
14.4658	0	0	0
14.688	0	0	0
14.9102	0	0	0
15.1325	0	0	0
15.3547	0	0	0
15.5769	0	0	0
15.7991	0	0	0
16.0213	0	0	0
16.2436	0	0	0
16.4658	0	0	0
