log(E/eV)	Synchr	pg	IC
-5.5799	28.1351	0	0	0
-5.34757	27.7159	0	0	0
-5.11525	27.1473	0	0	0
-4.88293	26.5538	0	0	0
-4.6506	25.8416	0	0	0
-4.41828	24.7491	0	0	0
-4.18596	23.322	0	0	0
-3.95363	21.7233	0	0	0
-3.72131	20.0152	0	0	0
-3.48899	18.0386	0	0	0
-3.25666	15.8903	0	0	0
-3.02434	12.527	0	0	0
-2.79202	9.29587	0	0	0
-2.55969	4.02189	0	0	0
-2.32737	-1.74712	0	0	0
-2.09505	-9.24546	0	0	0
-1.86272	-17.7	0	17.9279	0
-1.6304	-24.243	0	18.8594	0
-1.39808	-32.8377	0	19.6328	0
-1.16575	-47.7308	0	20.3525	0
-0.933431	-63.3732	0	21.043	0
-0.701107	-84.2751	0	21.7134	0
-0.468784	-110.142	0	22.3603	0
-0.236461	-139.428	0	22.9721	0
-0.0041377	-179.337	0	23.5288	0
0.228186	-206.125	0	24.0062	-291.432
0.460509	-239.559	0	24.4	-189.7
0.692832	-296.861	0	24.7394	-99.5385
0.925155	0	0	25.0463	-62.8561
1.15748	0	0	25.3271	-30.8753
1.3898	0	0	25.5829	-13.9527
1.62212	0	0	25.8106	-5.4942
1.85445	0	0	26.0144	0.858308
2.08677	0	0	26.2154	4.76457
2.31909	0	0	26.3884	7.7018
2.55142	0	0	26.5503	9.81539
2.78374	0	0	26.7071	11.5183
3.01606	0	0	26.8455	12.9158
3.24839	0	0	26.9951	14.1459
3.48071	0	0	27.1259	15.2566
3.71303	0	0	27.2504	16.3027
3.94536	0	0	27.3814	17.2917
4.17768	0	0	27.5152	18.2648
4.41	0	0	27.6217	19.2104
4.64233	0	0	27.7612	20.1489
4.87465	0	0	27.8549	21.077
5.10697	0	0	27.9948	21.9973
5.3393	0	0	28.0778	22.9138
5.57162	0	0	28.2237	23.8187
5.80394	0	0	28.3002	24.712
6.03627	0	0	28.4614	25.5834
6.26859	0	0	28.5315	26.4194
6.50091	0	0	28.6707	27.2044
6.73324	0	0	28.7556	27.9102
6.96556	0	0	28.8398	28.5165
7.19788	0	0	28.9316	29.0275
7.43021	0	0	28.9593	29.4966
7.66253	0	0	29.0616	29.9348
7.89485	0	0	29.1211	30.4163
8.12718	0	0	29.1688	30.8914
8.3595	0	0	29.15	31.3561
8.59182	0	0	29.1377	31.8145
8.82415	0	0	29.0965	32.2688
9.05647	0	0	28.989	32.7358
9.28879	0	0	28.8048	33.2149
9.52111	0	0	28.7044	33.6425
9.75344	0	0	28.3676	33.983
9.98576	0	0	28.1579	34.2229
10.2181	0	0	27.6367	34.3808
10.4504	0	0	26.9654	34.4789
10.6827	0	0	26.6457	34.5436
10.9151	0	0	25.2324	34.5829
11.1474	0	0	24.7633	34.6077
11.3797	0	0	22.6929	34.6242
11.612	0	0	21.4785	34.6333
11.8443	0	0	19.5301	34.6344
12.0767	0	0	16.0303	34.6311
12.309	0	0	15.3322	34.6095
12.5413	0	0	10.1067	34.5818
12.7736	0	0	7.71929	34.5104
13.006	0	0	0.16297	34.4191
13.2383	0	0	-12.5367	34.2415
13.4706	0	0	-14.0735	33.9778
13.7029	0	0	-24.7548	33.5287
13.9353	0	0	-26.7424	32.8489
14.1676	0	0	-48.7106	31.6887
14.3999	0	0	-76.1325	29.9687
14.6322	0	-223.113	-81.7629	26.9631
14.8645	0	-178.667	-123.342	22.6265
15.0969	0	-220.56	-149.384	14.3102
15.3292	0	0	-188.956	-1.98361
15.5615	0	0	-238.406	-21.4197
15.7938	0	0	0	-68.7065
16.0262	0	0	0	-122.941
16.2585	0	0	0	-258.637
16.4908	0	0	0	0
16.7231	0	0	0	0
16.9555	0	0	0	0
17.1878	0	0	0	0
17.4201	0	0	0	0
