Log(E/eV)	Synchr	pg	IC	IC-cmb	pp	Acc	Ad
9	-28.0599	0	-28.3846	-29.9308	0	-4.74902	-11.2627
9.09091	-27.969	0	-28.1828	-29.729	-22.9115	-4.83993	-11.2627
9.18182	-27.8781	0	-28.0233	-29.5695	-20.6076	-4.93084	-11.2627
9.27273	-27.7872	0	-27.889	-29.4352	-20.3174	-5.02175	-11.2627
9.36364	-27.6963	0	-27.7705	-29.3167	-20.2191	-5.11266	-11.2627
9.45455	-27.6054	0	-27.6622	-29.2084	-20.1817	-5.20357	-11.2627
9.54545	-27.5144	0	-27.5606	-29.1068	-20.1675	-5.29447	-11.2627
9.63636	-27.4235	0	-27.4634	-29.0096	-20.1629	-5.38538	-11.2627
9.72727	-27.3326	0	-27.3692	-28.9154	-20.162	-5.47629	-11.2627
9.81818	-27.2417	0	-27.2771	-28.8233	-20.1627	-5.5672	-11.2627
9.90909	-27.1508	0	-27.1863	-28.7325	-20.1638	-5.65811	-11.2627
10	-27.0599	0	-27.0965	-28.6427	-20.1649	-5.74902	-11.2627
10.0909	-26.969	0	-27.0074	-28.5536	-20.1659	-5.83993	-11.2627
10.1818	-26.8781	0	-26.9188	-28.465	-20.1666	-5.93084	-11.2627
10.2727	-26.7872	0	-26.8306	-28.3768	-20.1671	-6.02175	-11.2627
10.3636	-26.6963	0	-26.7426	-28.2888	-20.1672	-6.11266	-11.2627
10.4545	-26.6054	0	-26.6548	-28.2011	-20.1671	-6.20357	-11.2627
10.5455	-26.5144	0	-26.5673	-28.1135	-20.1666	-6.29447	-11.2627
10.6364	-26.4235	0	-26.4798	-28.026	-20.1659	-6.38538	-11.2627
10.7273	-26.3326	0	-26.3925	-27.9387	-20.1648	-6.47629	-11.2627
10.8182	-26.2417	0	-26.3052	-27.8515	-20.1634	-6.5672	-11.2627
10.9091	-26.1508	0	-26.2181	-27.7643	-20.1618	-6.65811	-11.2627
11	-26.0599	0	-26.131	-27.6772	-20.1598	-6.74902	-11.2627
11.0909	-25.969	0	-26.0439	-27.5902	-20.1575	-6.83993	-11.2627
11.1818	-25.8781	0	-25.957	-27.5032	-20.155	-6.93084	-11.2627
