log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	51.7025
6.11111	1.69897	0	51.9705
6.22222	1.69897	0	52.1278
6.33333	1.69897	0	52.1994
6.44444	1.69897	0	52.2047
6.55556	1.69897	0	52.1587
6.66667	1.69897	0	52.0728
6.77778	1.69897	0	51.9562
6.88889	1.69897	0	51.8158
7	1.69897	0	51.6568
7.11111	1.69897	0	51.4836
7.22222	1.69897	0	51.2994
7.33333	1.69897	0	51.1065
7.44444	1.69897	0	50.9071
7.55556	1.69897	0	50.7025
7.66667	1.69897	0	50.4939
7.77778	1.69897	0	50.2822
7.88889	1.69897	0	50.0682
8	1.69897	0	49.8523
8.11111	1.69897	0	49.635
8.22222	1.69897	0	49.4165
8.33333	1.69897	0	49.1972
8.44444	1.69897	0	48.9773
8.55556	1.69897	0	48.7568
8.66667	1.69897	0	48.536
8.77778	1.69897	0	48.3148
8.88889	1.69897	0	48.0934
9	1.69897	0	47.8718
9.11111	1.69897	0	47.6501
9.22222	1.69897	0	47.4282
9.33333	1.69897	0	47.2063
9.44444	1.69897	0	46.9843
9.55556	1.69897	0	46.7623
9.66667	1.69897	0	46.5402
9.77778	1.69897	0	46.3181
9.88889	1.69897	0	46.0959
10	1.69897	0	45.8738
10.1111	1.69897	0	45.6516
10.2222	1.69897	0	45.4294
10.3333	1.69897	0	45.2072
10.4444	1.69897	0	44.985
10.5556	1.69897	0	44.7628
10.6667	1.69897	0	44.5406
10.7778	1.69897	0	44.3183
10.8889	1.69897	0	44.0961
11	1.69897	0	43.8739
11.1111	1.69897	0	43.6516
11.2222	1.69897	0	43.4294
11.3333	1.69897	0	43.2071
11.4444	1.69897	0	42.9848
11.5556	1.69897	0	42.7625
11.6667	1.69897	0	42.5402
11.7778	1.69897	0	42.3179
11.8889	1.69897	0	42.0955
12	1.69897	0	41.8731
12.1111	1.69897	0	41.6506
12.2222	1.69897	0	41.428
12.3333	1.69897	0	41.2053
12.4444	1.69897	0	40.9825
12.5556	1.69897	0	40.7595
12.6667	1.69897	0	40.5363
12.7778	1.69897	0	40.3128
12.8889	1.69897	0	40.089
13	1.69897	0	39.8647
13.1111	1.69897	0	39.6397
