Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc
6	50	0	-14.0805	-14.6026	-14.5818	-9.56934	3.21288
6.11111	50	0	-13.9694	-14.4578	-14.437	-9.56934	3.10177
6.22222	50	0	-13.8583	-14.3276	-14.3068	-9.56934	2.99066
6.33333	50	0	-13.7472	-14.2062	-14.1853	-9.56934	2.87954
6.44444	50	0	-13.636	-14.09	-14.0691	-9.56934	2.76843
6.55556	50	0	-13.5249	-13.9772	-13.9563	-9.56934	2.65732
6.66667	50	0	-13.4138	-13.8665	-13.8455	-9.56934	2.54621
6.77778	50	0	-13.3027	-13.7572	-13.7361	-9.56934	2.4351
6.88889	50	0	-13.1916	-13.6487	-13.6276	-9.56934	2.32399
7	50	0	-13.0805	-13.5409	-13.5196	-9.56934	2.21288
7.11111	50	0	-12.9694	-13.4335	-13.4121	-9.56934	2.10177
7.22222	50	0	-12.8583	-13.3265	-13.3049	-9.56934	1.99066
7.33333	50	0	-12.7472	-13.2198	-13.198	-9.56934	1.87954
7.44444	50	0	-12.636	-13.1133	-13.0912	-9.56934	1.76843
7.55556	50	0	-12.5249	-13.0071	-12.9845	-9.56934	1.65732
7.66667	50	0	-12.4138	-12.9011	-12.878	-9.56934	1.54621
7.77778	50	0	-12.3027	-12.7954	-12.7716	-9.56934	1.4351
7.88889	50	0	-12.1916	-12.6899	-12.6653	-9.56934	1.32399
8	50	0	-12.0805	-12.5848	-12.559	-9.56934	1.21288
8.11111	50	0	-11.9694	-12.48	-12.4528	-9.56934	1.10177
8.22222	50	0	-11.8583	-12.3758	-12.3467	-9.56934	0.990656
8.33333	50	0	-11.7472	-12.2721	-12.2406	-9.56934	0.879544
8.44444	50	0	-11.636	-12.1691	-12.1345	-9.56934	0.768433
8.55556	50	0	-11.5249	-12.067	-12.0285	-9.56934	0.657322
8.66667	50	0	-11.4138	-11.966	-11.9225	-9.56934	0.546211
8.77778	50	0	-11.3027	-11.8664	-11.8165	-9.56934	0.4351
8.88889	50	0	-11.1916	-11.7686	-11.7105	-9.56934	0.323989
9	50	0	-11.0805	-11.6729	-11.6046	-9.56934	0.212878
9.11111	50	0	-10.9694	-11.5798	-11.4987	-9.56934	0.101767
9.22222	50	0	-10.8583	-11.4899	-11.3928	-9.56934	-0.00934449
9.33333	50	0	-10.7472	-11.4038	-11.2869	-9.56934	-0.120456
9.44444	50	0	-10.636	-11.3222	-11.1811	-9.56934	-0.231567
9.55556	50	0	-10.5249	-11.2458	-11.0754	-9.56934	-0.342678
9.66667	50	0	-10.4138	-11.1753	-10.9697	-9.56934	-0.453789
9.77778	50	0	-10.3027	-11.1114	-10.8641	-9.56934	-0.5649
9.88889	50	0	-10.1916	-11.0548	-10.7586	-9.56934	-0.676011
10	50	0	-10.0805	-11.006	-10.6532	-9.56934	-0.787122
10.1111	50	0	-9.96938	-10.9655	-10.5481	-9.56934	-0.898233
10.2222	50	0	-9.85827	-10.9336	-10.4432	-9.56934	-1.00934
10.3333	50	0	-9.74716	-10.9107	-10.3387	-9.56934	-1.12046
10.4444	50	0	-9.63605	-10.8967	-10.2346	-9.56934	-1.23157
10.5556	50	0	-9.52494	-10.8918	-10.1311	-9.56934	-1.34268
10.6667	50	0	-9.41382	-10.8958	-10.0284	-9.56934	-1.45379
10.7778	50	0	-9.30271	-10.9087	-9.92657	-9.56934	-1.5649
10.8889	50	0	-9.1916	-10.9303	-9.82596	-9.56934	-1.67601
11	50	0	-9.08049	-10.9601	-9.72687	-9.56934	-1.78712
11.1111	50	0	-8.96938	-10.998	-9.62967	-9.56934	-1.89823
11.2222	50	0	-8.85827	-11.0435	-9.53482	-9.56934	-2.00934
11.3333	50	0	-8.74716	-11.0962	-9.44284	-9.56934	-2.12046
11.4444	50	0	-8.63605	-11.1556	-9.35435	-9.56934	-2.23157
11.5556	50	0	-8.52494	-11.2213	-9.27	-9.56934	-2.34268
11.6667	50	0	-8.41382	-11.2927	-9.19054	-9.56934	-2.45379
11.7778	50	0	-8.30271	-11.3694	-9.11669	-9.56934	-2.5649
11.8889	50	0	-8.1916	-11.4508	-9.04923	-9.56934	-2.67601
