log(E/eV)	Synchr	IC	IC - IR	SSC
-5.67681	40.871	0	0	0	40.871
-5.43438	40.9924	0	0	32.5427	40.9924
-5.19196	41.1248	0	0	33.1589	41.1248
-4.94953	41.2482	0	0	33.6581	41.2482
-4.70711	41.3636	0	0	34.1087	41.3636
-4.46468	41.4891	0	0	34.5202	41.4891
-4.22226	41.6126	0	0	34.9022	41.6126
-3.97984	41.7249	0	0	35.2093	41.7249
-3.73741	41.8459	0	0	35.5059	41.8459
-3.49499	41.9745	0	0	35.7849	41.9745
-3.25256	42.0919	0	29.663	36.0392	42.0919
-3.01014	42.2099	0	30.6686	36.2658	42.2099
-2.76771	42.3356	0	31.5076	36.4859	42.3356
-2.52529	42.4488	0	32.2852	36.7137	42.4488
-2.28287	42.554	0	33.0284	36.8952	42.554
-2.04044	42.6698	0	33.7453	37.0922	42.6698
-1.79802	42.7795	0	34.4346	37.2851	42.7795
-1.55559	42.8747	0	35.0865	37.4591	42.8747
-1.31317	42.9758	0	35.6816	37.6329	42.9758
-1.07074	43.076	29.8168	36.1967	37.8025	43.076
-0.82832	43.1523	30.7743	36.6306	37.9632	43.1523
-0.585896	43.222	31.5791	37.0153	38.1204	43.222
-0.343472	43.2976	32.3317	37.3673	38.2817	43.2976
-0.101048	43.3498	33.0571	37.6822	38.4428	43.3498
0.141377	43.3832	33.7615	37.9538	38.5905	43.3832
0.383801	43.4325	34.4422	38.1903	38.7404	43.4326
0.626225	43.4775	35.0881	38.4233	38.8942	43.4775
0.868649	43.4982	35.6788	38.6343	39.0351	43.4983
1.11107	43.5256	36.1903	38.8141	39.1754	43.5256
1.3535	43.5587	36.6218	38.9731	39.32	43.5587
1.59592	43.5605	37.0053	39.17	39.4579	43.5606
1.83835	43.5545	37.3559	39.3231	39.5946	43.5546
2.08077	43.5743	37.6697	39.4482	39.7268	43.5744
2.32319	43.5789	37.9398	39.609	39.8602	43.579
2.56562	43.5673	38.1761	39.7556	39.995	43.5675
2.80804	43.584	38.4083	39.8749	40.124	43.5843
3.05047	43.599	38.6185	40.0029	40.2597	43.5993
3.29289	43.5832	38.7978	40.159	40.379	43.5836
3.53532	43.5784	38.9562	40.2746	40.5115	43.579
3.77774	43.5867	39.1538	40.39	40.644	43.5875
4.02016	43.5643	39.3056	40.5346	40.7452	43.5654
4.26259	43.5392	39.4322	40.6681	40.8855	43.5408
4.50501	43.5471	39.5909	40.7779	41.0121	43.5492
4.74744	43.5403	39.7356	40.8868	41.1109	43.5429
4.98986	43.5173	39.8566	41.0526	41.232	43.5211
5.23229	43.5167	39.987	41.1073	41.3467	43.5214
5.47471	43.5023	40.1407	41.2687	41.4517	43.5088
5.71713	43.4495	40.2535	41.3996	41.5623	43.4591
5.95956	43.4092	40.368	41.5293	41.6694	43.423
6.20198	43.3828	40.5147	41.6663	41.7709	43.4019
6.44441	43.3173	40.6456	41.7899	41.8784	43.3459
6.68683	43.244	40.7448	41.9366	41.9755	43.2879
6.92926	43.2028	40.8657	41.997	42.0744	43.2602
7.17168	43.1211	41.0279	42.1585	42.1721	43.2108
7.4141	42.9839	41.0766	42.2457	42.2673	43.126
7.65653	42.8663	41.2379	42.3714	42.326	43.0789
7.89895	42.7303	41.3395	42.4453	42.4542	43.0502
8.14138	42.4961	41.4651	42.593	42.5247	43.029
8.3838	42.2126	41.5673	42.6285	42.6024	43.0109
8.62623	41.9769	41.7168	42.7138	42.6835	43.0595
8.86865	41.6816	41.7671	42.8143	42.7471	43.1197
9.11107	41.2553	41.881	42.9121	42.8154	43.1944
9.3535	40.8265	41.9292	42.8758	42.8755	43.2024
9.59592	40.3859	42.0674	42.9463	42.9312	43.2687
9.83835	39.7849	42.0948	42.9763	42.9664	43.3005
10.0808	38.7999	42.1994	43.0407	42.9922	43.35
10.3232	37.7481	42.1464	43.0098	43.0003	43.3352
10.5656	36.3075	42.142	43.0243	43.0082	43.3454
10.808	34.7589	42.0199	42.9784	43.0092	43.3175
11.0505	32.7914	41.9611	42.9685	42.9676	43.29
11.2929	29.134	41.6118	42.9942	42.8921	43.2571
11.5353	22.501	41.6236	42.9479	42.8702	43.2229
11.7777	10.668	41.2409	42.8593	42.762	43.1202
12.0202	-10.2522	41.2917	42.9599	42.6961	43.1547
12.2626	-47.0524	40.9104	42.7336	42.559	42.9599
12.505	-111.603	41.1683	42.679	42.4638	42.8939
12.7474	-224.65	39.6388	42.3122	42.3884	42.6534
12.9899	0	39.1519	42.4202	42.2113	42.6293
13.2323	0	39.1898	42.3115	42.1339	42.533
13.4747	0	38.8582	41.965	41.9397	42.2537
13.7171	0	39.5813	41.3383	41.7121	41.8675
13.9596	0	37.1915	41.2782	41.6037	41.7718
14.202	0	36.6176	40.7524	41.3068	41.4137
14.4444	0	36.6451	40.7805	41.1025	41.2717
14.6868	0	36.2142	40.3299	40.6901	40.8473
14.9293	0	33.9789	38.307	39.8258	39.8388
15.1717	0	33.5224	37.865	39.324	39.3389
15.4141	0	32.5145	36.8708	38.3602	38.3741
15.6565	0	31.8243	36.1898	37.5461	37.5649
15.899	0	30.2417	34.6032	35.76	35.7893
16.1414	0	0	0	0	0
16.3838	0	0	0	0	0
16.6262	0	0	0	0	0
16.8686	0	0	0	0	0
17.1111	0	0	0	0	0
17.3535	0	0	0	0	0
17.5959	0	0	0	0	0
17.8383	0	0	0	0	0
18.0808	0	0	0	0	0
18.3232	0	0	0	0	0
