log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	51.026
6.11111	1.69897	0	51.2939
6.22222	1.69897	0	51.4512
6.33333	1.69897	0	51.5229
6.44444	1.69897	0	51.5282
6.55556	1.69897	0	51.4821
6.66667	1.69897	0	51.3963
6.77778	1.69897	0	51.2797
6.88889	1.69897	0	51.1392
7	1.69897	0	50.9803
7.11111	1.69897	0	50.8071
7.22222	1.69897	0	50.6228
7.33333	1.69897	0	50.43
7.44444	1.69897	0	50.2305
7.55556	1.69897	0	50.0259
7.66667	1.69897	0	49.8173
7.77778	1.69897	0	49.6057
7.88889	1.69897	0	49.3916
8	1.69897	0	49.1757
8.11111	1.69897	0	48.9584
8.22222	1.69897	0	48.74
8.33333	1.69897	0	48.5207
8.44444	1.69897	0	48.3008
8.55556	1.69897	0	48.0803
8.66667	1.69897	0	47.8594
8.77778	1.69897	0	47.6383
8.88889	1.69897	0	47.4169
9	1.69897	0	47.1953
9.11111	1.69897	0	46.9735
9.22222	1.69897	0	46.7517
9.33333	1.69897	0	46.5298
9.44444	1.69897	0	46.3078
9.55556	1.69897	0	46.0857
9.66667	1.69897	0	45.8636
9.77778	1.69897	0	45.6415
9.88889	1.69897	0	45.4194
10	1.69897	0	45.1972
10.1111	1.69897	0	44.9751
10.2222	1.69897	0	44.7529
10.3333	1.69897	0	44.5307
10.4444	1.69897	0	44.3085
10.5556	1.69897	0	44.0863
10.6667	1.69897	0	43.864
10.7778	1.69897	0	43.6418
10.8889	1.69897	0	43.4196
11	1.69897	0	43.1974
11.1111	1.69897	0	42.9751
11.2222	1.69897	0	42.7529
11.3333	1.69897	0	42.5306
11.4444	1.69897	0	42.3084
11.5556	1.69897	0	42.0861
11.6667	1.69897	0	41.8638
11.7778	1.69897	0	41.6415
11.8889	1.69897	0	41.4192
12	1.69897	0	41.1968
12.1111	1.69897	0	40.9744
12.2222	1.69897	0	40.752
12.3333	1.69897	0	40.5294
12.4444	1.69897	0	40.3068
12.5556	1.69897	0	40.0841
12.6667	1.69897	0	39.8612
12.7778	1.69897	0	39.6382
12.8889	1.69897	0	39.4149
13	1.69897	0	39.1912
13.1111	1.69897	0	38.9672
13.2222	1.69897	0	38.7426
13.3333	1.69897	0	38.5174
13.4444	1.69897	0	38.2913
13.5556	1.69897	0	38.064
13.6667	1.69897	0	37.8353
13.7778	1.69897	0	37.6047
13.8889	1.69897	0	37.3716
14	1.69897	0	37.1353
14.1111	1.69897	0	36.895
14.2222	1.69897	0	36.6494
14.3333	1.69897	0	36.3969
14.4444	1.69897	0	36.1357
14.5556	1.69897	0	35.8631
14.6667	1.69897	0	35.5758
14.7778	1.69897	0	35.2695
14.8889	1.69897	0	34.9387
15	1.69897	0	34.5763
15.1111	1.69897	0	34.1729
15.2222	1.69897	0	33.7168
15.3333	1.69897	0	33.1925
15.4444	1.69897	0	32.58
15.5556	1.69897	0	31.8539
15.6667	1.69897	0	30.9808
15.7778	1.69897	0	29.9179
15.8889	1.69897	0	28.61
16	1.69897	0	26.9855
16.1111	1.69897	0	24.9521
16.2222	1.69897	0	22.3908
16.3333	1.69897	0	19.1475
16.4444	1.69897	0	15.0233
16.5556	1.69897	0	9.76162
16.6667	1.69897	0	3.03063
16.7778	1.69897	0	-5.59798
16.8889	1.69897	0	-16.6775
17	1.69897	0	-30.9224
6	2.47712	0	-inf
6.11111	2.47712	0	-inf
6.22222	2.47712	0	-inf
6.33333	2.47712	0	-inf
6.44444	2.47712	0	-inf
6.55556	2.47712	0	-inf
6.66667	2.47712	0	-inf
6.77778	2.47712	0	-inf
6.88889	2.47712	0	-inf
7	2.47712	0	-inf
7.11111	2.47712	0	-inf
7.22222	2.47712	0	-inf
7.33333	2.47712	0	-inf
7.44444	2.47712	0	-inf
7.55556	2.47712	0	-inf
7.66667	2.47712	0	-inf
7.77778	2.47712	0	-inf
7.88889	2.47712	0	-inf
8	2.47712	0	-inf
8.11111	2.47712	0	-inf
8.22222	2.47712	0	-inf
8.33333	2.47712	0	-inf
8.44444	2.47712	0	-inf
8.55556	2.47712	0	-inf
8.66667	2.47712	0	-inf
8.77778	2.47712	0	-inf
8.88889	2.47712	0	-inf
9	2.47712	0	-inf
9.11111	2.47712	0	-inf
9.22222	2.47712	0	-inf
9.33333	2.47712	0	-inf
9.44444	2.47712	0	-inf
9.55556	2.47712	0	-inf
9.66667	2.47712	0	-inf
9.77778	2.47712	0	-inf
9.88889	2.47712	0	-inf
10	2.47712	0	-inf
10.1111	2.47712	0	-inf
10.2222	2.47712	0	-inf
10.3333	2.47712	0	-inf
10.4444	2.47712	0	-inf
10.5556	2.47712	0	-inf
10.6667	2.47712	0	-inf
10.7778	2.47712	0	-inf
10.8889	2.47712	0	-inf
11	2.47712	0	-inf
11.1111	2.47712	0	-inf
11.2222	2.47712	0	-inf
11.3333	2.47712	0	-inf
11.4444	2.47712	0	-inf
11.5556	2.47712	0	-inf
11.6667	2.47712	0	-inf
11.7778	2.47712	0	-inf
11.8889	2.47712	0	-inf
12	2.47712	0	-inf
12.1111	2.47712	0	-inf
12.2222	2.47712	0	-inf
12.3333	2.47712	0	-inf
12.4444	2.47712	0	-inf
12.5556	2.47712	0	-inf
12.6667	2.47712	0	-inf
12.7778	2.47712	0	-inf
12.8889	2.47712	0	-inf
13	2.47712	0	-inf
13.1111	2.47712	0	-inf
13.2222	2.47712	0	-inf
13.3333	2.47712	0	-inf
13.4444	2.47712	0	-inf
13.5556	2.47712	0	-inf
13.6667	2.47712	0	-inf
13.7778	2.47712	0	-inf
13.8889	2.47712	0	-inf
14	2.47712	0	-inf
14.1111	2.47712	0	-inf
14.2222	2.47712	0	-inf
14.3333	2.47712	0	-inf
14.4444	2.47712	0	-inf
14.5556	2.47712	0	-inf
14.6667	2.47712	0	-inf
14.7778	2.47712	0	-inf
14.8889	2.47712	0	-inf
15	2.47712	0	-inf
15.1111	2.47712	0	-inf
15.2222	2.47712	0	-inf
15.3333	2.47712	0	-inf
15.4444	2.47712	0	-inf
15.5556	2.47712	0	-inf
15.6667	2.47712	0	-inf
15.7778	2.47712	0	-inf
15.8889	2.47712	0	-inf
