log(E/eV)	Synchr	IC	IC - IR	SSC
-5.83261	39.5528	14.3484	21.1595	0	39.5528
-5.59018	39.6827	15.0756	21.8868	31.4549	39.6827
-5.34776	39.7993	15.8029	22.614	32.0648	39.7993
-5.10533	39.9172	16.5302	23.3413	32.555	39.9172
-4.86291	40.0441	17.2575	24.0685	32.9966	40.0441
-4.62048	40.1601	17.9847	24.7958	33.3922	40.1601
-4.37806	40.2725	18.712	25.523	33.7511	40.2725
-4.13564	40.3986	19.4393	26.2502	34.0295	40.3986
-3.89321	40.5213	20.1665	26.9773	34.2908	40.5213
-3.65079	40.6348	20.8938	27.7042	34.5384	40.6348
-3.40836	40.7563	21.6211	28.431	34.7724	40.7563
-3.16594	40.8769	22.3484	29.1573	34.9752	40.8769
-2.92351	40.9824	23.0756	29.8829	35.1766	40.9824
-2.68109	41.091	23.8029	30.6074	35.3888	41.091
-2.43867	41.2077	24.5301	31.3296	35.5587	41.2077
-2.19624	41.3107	25.2573	32.0482	35.7443	41.3107
-1.95382	41.4094	25.9845	32.7601	35.9257	41.4094
-1.71139	41.5187	26.7116	33.4606	36.0937	41.5187
-1.46897	41.6157	27.4386	34.1408	36.2594	41.6157
-1.22654	41.6956	28.1653	34.7861	36.4209	41.6956
-0.98412	41.782	28.8916	35.3723	36.5787	41.782
-0.741696	41.8632	29.6172	35.8634	36.7285	41.8632
-0.499272	41.92	30.3416	36.2222	36.8836	41.92
-0.256847	41.9773	31.0638	36.4677	37.0427	41.9773
-0.0144232	42.0459	31.7822	36.6782	37.1838	42.0459
0.228001	42.0937	32.494	36.8781	37.3289	42.0937
0.470425	42.1292	33.1941	37.0662	37.478	42.1293
0.71285	42.1779	33.8737	37.2421	37.6166	42.1779
0.955274	42.2092	34.5179	37.4066	37.7532	42.2092
1.1977	42.2127	35.1024	37.5617	37.8924	42.2128
1.44012	42.2304	35.5906	37.7115	38.0296	42.2304
1.68255	42.2554	35.9462	37.8584	38.1611	42.2555
1.92497	42.2542	36.19	38.001	38.29	42.2543
2.16739	42.2584	36.4001	38.1382	38.4242	42.2585
2.40982	42.2861	36.5998	38.2705	38.5538	42.2862
2.65224	42.2886	36.7877	38.3982	38.68	42.2888
2.89467	42.2748	36.9633	38.522	38.8146	42.2751
3.13709	42.2857	37.1275	38.6434	38.9325	42.286
3.37952	42.2844	37.2825	38.7658	39.062	42.2848
3.62194	42.2564	37.4321	38.892	39.1924	42.257
3.86436	42.2521	37.5789	39.0198	39.296	42.2528
4.10679	42.262	37.7214	39.1457	39.4331	42.263
4.34921	42.2473	37.8586	39.2691	39.559	42.2487
4.59164	42.2377	37.9907	39.3898	39.6624	42.2395
4.83406	42.2434	38.1183	39.5079	39.7803	42.2457
5.07649	42.2157	38.242	39.6243	39.8971	42.2189
5.31891	42.1698	38.3635	39.7416	40.0048	42.1744
5.56133	42.1534	38.4859	39.8629	40.1157	42.1597
5.80376	42.122	38.6122	39.9872	40.2239	42.1308
6.04618	42.0593	38.74	40.1101	40.3275	42.0723
6.28861	42.0215	38.8567	40.2188	40.438	42.0396
6.53103	41.9863	38.9825	40.3459	40.5349	42.0113
6.77346	41.8968	39.1074	40.4446	40.6362	41.9349
7.01588	41.7934	39.2157	40.5717	40.7363	41.8542
7.2583	41.7104	39.3388	40.6726	40.8313	41.7996
7.50073	41.5683	39.4663	40.7879	40.8936	41.7098
7.74315	41.3537	39.5831	40.884	41.0232	41.6145
7.98558	41.17	39.6954	40.9921	41.0968	41.5752
8.228	40.9793	39.8096	41.0756	41.177	41.5695
8.47043	40.6935	39.926	41.176	41.262	41.5917
8.71285	40.3614	40.0427	41.2524	41.3323	41.6312
8.95527	40.0585	40.158	41.3272	41.4038	41.6917
9.1977	39.6549	40.2725	41.3977	41.4717	41.7554
9.44012	38.9888	40.382	41.4574	41.5345	41.8157
9.68255	38.1676	40.4883	41.5075	41.5765	41.8632
9.92497	37.1811	40.5927	41.5516	41.6157	41.9075
10.1674	36.0125	40.6918	41.5883	41.639	41.9406
10.4098	34.6132	40.7826	41.6177	41.6592	41.9692
10.6522	31.9942	40.7956	41.6404	41.673	41.9869
10.8947	27.176	40.6361	41.658	41.6521	41.9764
11.1371	18.5144	40.2932	41.6728	41.5965	41.9471
11.3795	3.13641	39.8089	41.6819	41.5853	41.9405
11.6219	-23.9787	39.2385	41.6929	41.4878	41.9043
11.8644	-71.6047	38.6146	41.694	41.4278	41.8823
12.1068	-155.074	37.9441	41.6966	41.3018	41.8437
12.3492	0	37.2436	41.6982	41.2144	41.8215
12.5916	0	36.5247	41.6811	41.1458	41.7922
12.8341	0	35.7854	41.5497	40.9794	41.6531
13.0765	0	35.0557	41.2259	40.9109	41.3974
13.3189	0	34.3105	40.7321	40.7307	41.0324
13.5613	0	33.5537	40.1278	40.5284	40.6738
13.8038	0	32.7751	39.4421	40.4319	40.4742
14.0462	0	31.9798	38.7037	40.1689	40.1836
14.2886	0	31.1579	37.9167	39.9966	40.0002
14.531	0	30.297	37.0771	39.6339	39.6351
14.7735	0	29.364	36.1569	38.9296	38.9303
15.0159	0	28.3186	35.1191	38.5324	38.5326
15.2583	0	27.1015	33.9065	37.7445	37.7446
15.5007	0	25.6253	32.4329	37.1053	37.1053
15.7432	0	23.7885	30.5976	35.7245	35.7245
15.9856	0	21.319	28.1288	0	28.1288
16.228	0	0	0	0	0
16.4704	0	0	0	0	0
16.7128	0	0	0	0	0
16.9553	0	0	0	0	0
17.1977	0	0	0	0	0
17.4401	0	0	0	0	0
17.6825	0	0	0	0	0
17.925	0	0	0	0	0
18.1674	0	0	0	0	0
