log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	50.6481
6.11111	1.69897	0	50.916
6.22222	1.69897	0	51.0733
6.33333	1.69897	0	51.145
6.44444	1.69897	0	51.1503
6.55556	1.69897	0	51.1042
6.66667	1.69897	0	51.0184
6.77778	1.69897	0	50.9018
6.88889	1.69897	0	50.7613
7	1.69897	0	50.6024
7.11111	1.69897	0	50.4292
7.22222	1.69897	0	50.2449
7.33333	1.69897	0	50.0521
7.44444	1.69897	0	49.8526
7.55556	1.69897	0	49.648
7.66667	1.69897	0	49.4394
7.77778	1.69897	0	49.2278
7.88889	1.69897	0	49.0137
8	1.69897	0	48.7978
8.11111	1.69897	0	48.5805
8.22222	1.69897	0	48.3621
8.33333	1.69897	0	48.1428
8.44444	1.69897	0	47.9228
8.55556	1.69897	0	47.7024
8.66667	1.69897	0	47.4815
8.77778	1.69897	0	47.2604
8.88889	1.69897	0	47.039
9	1.69897	0	46.8174
9.11111	1.69897	0	46.5956
9.22222	1.69897	0	46.3738
9.33333	1.69897	0	46.1519
9.44444	1.69897	0	45.9299
9.55556	1.69897	0	45.7078
9.66667	1.69897	0	45.4857
9.77778	1.69897	0	45.2636
9.88889	1.69897	0	45.0415
10	1.69897	0	44.8193
10.1111	1.69897	0	44.5971
10.2222	1.69897	0	44.375
10.3333	1.69897	0	44.1528
10.4444	1.69897	0	43.9306
10.5556	1.69897	0	43.7084
10.6667	1.69897	0	43.4862
10.7778	1.69897	0	43.2639
10.8889	1.69897	0	43.0417
11	1.69897	0	42.8195
11.1111	1.69897	0	42.5973
11.2222	1.69897	0	42.3751
11.3333	1.69897	0	42.1528
11.4444	1.69897	0	41.9306
11.5556	1.69897	0	41.7084
11.6667	1.69897	0	41.4862
11.7778	1.69897	0	41.2639
11.8889	1.69897	0	41.0417
12	1.69897	0	40.8195
12.1111	1.69897	0	40.5972
12.2222	1.69897	0	40.375
12.3333	1.69897	0	40.1527
12.4444	1.69897	0	39.9304
12.5556	1.69897	0	39.7081
12.6667	1.69897	0	39.4858
12.7778	1.69897	0	39.2635
12.8889	1.69897	0	39.0411
13	1.69897	0	38.8187
13.1111	1.69897	0	38.5962
13.2222	1.69897	0	38.3737
13.3333	1.69897	0	38.151
13.4444	1.69897	0	37.9283
13.5556	1.69897	0	37.7054
13.6667	1.69897	0	37.4823
13.7778	1.69897	0	37.2589
13.8889	1.69897	0	37.0352
14	1.69897	0	36.811
14.1111	1.69897	0	36.5863
14.2222	1.69897	0	36.3609
14.3333	1.69897	0	36.1345
14.4444	1.69897	0	35.907
14.5556	1.69897	0	35.6778
14.6667	1.69897	0	35.4467
14.7778	1.69897	0	35.213
14.8889	1.69897	0	34.9759
15	1.69897	0	34.7344
15.1111	1.69897	0	34.4874
15.2222	1.69897	0	34.2331
15.3333	1.69897	0	33.9695
15.4444	1.69897	0	33.6938
15.5556	1.69897	0	33.4025
15.6667	1.69897	0	33.0911
15.7778	1.69897	0	32.7537
15.8889	1.69897	0	32.3827
16	1.69897	0	31.9684
16.1111	1.69897	0	31.498
16.2222	1.69897	0	30.9553
16.3333	1.69897	0	30.3191
16.4444	1.69897	0	29.5622
16.5556	1.69897	0	28.6495
16.6667	1.69897	0	27.5354
16.7778	1.69897	0	26.1613
16.8889	1.69897	0	24.4515
17	1.69897	0	22.3078
6	2.47712	0	-inf
6.11111	2.47712	0	-inf
6.22222	2.47712	0	-inf
6.33333	2.47712	0	-inf
6.44444	2.47712	0	-inf
6.55556	2.47712	0	-inf
6.66667	2.47712	0	-inf
6.77778	2.47712	0	-inf
6.88889	2.47712	0	-inf
7	2.47712	0	-inf
7.11111	2.47712	0	-inf
7.22222	2.47712	0	-inf
7.33333	2.47712	0	-inf
7.44444	2.47712	0	-inf
7.55556	2.47712	0	-inf
7.66667	2.47712	0	-inf
7.77778	2.47712	0	-inf
7.88889	2.47712	0	-inf
8	2.47712	0	-inf
8.11111	2.47712	0	-inf
8.22222	2.47712	0	-inf
8.33333	2.47712	0	-inf
8.44444	2.47712	0	-inf
8.55556	2.47712	0	-inf
8.66667	2.47712	0	-inf
8.77778	2.47712	0	-inf
8.88889	2.47712	0	-inf
9	2.47712	0	-inf
9.11111	2.47712	0	-inf
9.22222	2.47712	0	-inf
9.33333	2.47712	0	-inf
9.44444	2.47712	0	-inf
9.55556	2.47712	0	-inf
9.66667	2.47712	0	-inf
9.77778	2.47712	0	-inf
9.88889	2.47712	0	-inf
10	2.47712	0	-inf
10.1111	2.47712	0	-inf
10.2222	2.47712	0	-inf
10.3333	2.47712	0	-inf
10.4444	2.47712	0	-inf
10.5556	2.47712	0	-inf
10.6667	2.47712	0	-inf
10.7778	2.47712	0	-inf
10.8889	2.47712	0	-inf
11	2.47712	0	-inf
11.1111	2.47712	0	-inf
11.2222	2.47712	0	-inf
11.3333	2.47712	0	-inf
11.4444	2.47712	0	-inf
11.5556	2.47712	0	-inf
11.6667	2.47712	0	-inf
11.7778	2.47712	0	-inf
11.8889	2.47712	0	-inf
12	2.47712	0	-inf
12.1111	2.47712	0	-inf
12.2222	2.47712	0	-inf
12.3333	2.47712	0	-inf
12.4444	2.47712	0	-inf
12.5556	2.47712	0	-inf
12.6667	2.47712	0	-inf
12.7778	2.47712	0	-inf
12.8889	2.47712	0	-inf
13	2.47712	0	-inf
