log(E/eV)	Synchr	IC	IC - IR	SSC
-5.94432	38.1357	13.4097	20.2208	0	38.1357
-5.7019	38.2636	14.137	20.9481	27.862	38.2636
-5.45947	38.3809	14.8643	21.6754	28.4735	38.3809
-5.21705	38.4951	15.5915	22.4026	28.9659	38.4951
-4.97462	38.6232	16.3188	23.1299	29.4101	38.6232
-4.7322	38.7484	17.0461	23.8571	29.8121	38.7484
-4.48977	38.8654	17.7733	24.5844	30.1807	38.8654
-4.24735	38.9911	18.5006	25.3115	30.4718	38.9911
-4.00493	39.117	19.2279	26.0387	30.7481	39.117
-3.7625	39.2299	19.9552	26.7657	31.0096	39.2299
-3.52008	39.3475	20.6824	27.4925	31.2552	39.3475
-3.27765	39.4746	21.4097	28.2189	31.4677	39.4746
-3.03523	39.5914	22.137	28.9448	31.6781	39.5914
-2.79281	39.7074	22.8642	29.6695	31.8991	39.7074
-2.55038	39.8354	23.5915	30.3924	32.0747	39.8354
-2.30796	39.9551	24.3187	31.1121	32.2663	39.9551
-2.06553	40.065	25.0459	31.8261	32.4533	40.065
-1.82311	40.1839	25.773	32.5303	32.6263	40.1839
-1.58068	40.3005	26.5	33.218	32.7965	40.3005
-1.33826	40.4028	27.2268	33.8787	32.9624	40.4028
-1.09584	40.5105	27.9532	34.497	33.1247	40.5105
-0.853411	40.625	28.679	35.0513	33.2787	40.625
-0.610987	40.7239	29.4038	35.5135	33.4384	40.7239
-0.368563	40.8174	30.1266	35.8661	33.6021	40.8174
-0.126139	40.9172	30.8462	36.1419	33.7482	40.9172
0.116286	40.9986	31.56	36.389	33.8983	40.9987
0.35871	41.0618	32.2639	36.6164	34.0523	41.0618
0.601134	41.1339	32.9511	36.8249	34.1969	41.1339
0.843558	41.2002	33.611	37.0161	34.3393	41.2002
1.08598	41.2417	34.2281	37.1919	34.4835	41.2418
1.32841	41.2871	34.7806	37.3559	34.627	41.2872
1.57083	41.3422	35.2403	37.5121	34.7647	41.3422
1.81326	41.369	35.5904	37.6633	34.8997	41.3691
2.05568	41.3818	35.8651	37.809	35.0392	41.382
2.2981	41.4129	36.1117	37.9485	35.1752	41.413
2.54053	41.4271	36.3387	38.0824	35.3076	41.4273
2.78295	41.4164	36.5468	38.2114	35.4473	41.4167
3.02538	41.4279	36.7375	38.3363	35.5726	41.4282
3.2678	41.4495	36.9131	38.4589	35.7084	41.45
3.51023	41.4478	37.0768	38.5824	35.8417	41.4484
3.75265	41.4525	37.2329	38.7093	35.9559	41.4533
3.99507	41.4714	37.384	38.8374	36.0983	41.4725
4.2375	41.4604	37.5295	38.9636	36.2355	41.4619
4.47992	41.4376	37.6689	39.0873	36.3442	41.4396
4.72235	41.4442	37.8027	39.2085	36.472	41.4468
4.96477	41.4388	37.9316	39.3272	36.6034	41.4423
5.20719	41.4131	38.0564	39.4447	36.7224	41.418
5.44962	41.4151	38.179	39.5635	36.8459	41.4214
5.69204	41.4188	38.3025	39.6865	36.969	41.4271
