log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	52.7581
6.11111	1.69897	0	53.026
6.22222	1.69897	0	53.1833
6.33333	1.69897	0	53.255
6.44444	1.69897	0	53.2603
6.55556	1.69897	0	53.2142
6.66667	1.69897	0	53.1284
6.77778	1.69897	0	53.0118
6.88889	1.69897	0	52.8713
7	1.69897	0	52.7124
7.11111	1.69897	0	52.5392
7.22222	1.69897	0	52.3549
7.33333	1.69897	0	52.1621
7.44444	1.69897	0	51.9626
7.55556	1.69897	0	51.758
7.66667	1.69897	0	51.5494
7.77778	1.69897	0	51.3378
7.88889	1.69897	0	51.1237
8	1.69897	0	50.9078
8.11111	1.69897	0	50.6905
8.22222	1.69897	0	50.4721
8.33333	1.69897	0	50.2528
8.44444	1.69897	0	50.0329
8.55556	1.69897	0	49.8124
8.66667	1.69897	0	49.5915
8.77778	1.69897	0	49.3704
8.88889	1.69897	0	49.149
9	1.69897	0	48.9274
9.11111	1.69897	0	48.7056
9.22222	1.69897	0	48.4838
9.33333	1.69897	0	48.2619
9.44444	1.69897	0	48.0399
9.55556	1.69897	0	47.8178
9.66667	1.69897	0	47.5958
9.77778	1.69897	0	47.3736
9.88889	1.69897	0	47.1515
10	1.69897	0	46.9293
10.1111	1.69897	0	46.7072
10.2222	1.69897	0	46.485
10.3333	1.69897	0	46.2628
10.4444	1.69897	0	46.0406
10.5556	1.69897	0	45.8184
10.6667	1.69897	0	45.5962
10.7778	1.69897	0	45.374
10.8889	1.69897	0	45.1517
11	1.69897	0	44.9295
11.1111	1.69897	0	44.7073
11.2222	1.69897	0	44.4851
11.3333	1.69897	0	44.2628
11.4444	1.69897	0	44.0406
11.5556	1.69897	0	43.8184
11.6667	1.69897	0	43.5961
11.7778	1.69897	0	43.3739
11.8889	1.69897	0	43.1516
12	1.69897	0	42.9294
12.1111	1.69897	0	42.7071
12.2222	1.69897	0	42.4848
12.3333	1.69897	0	42.2625
12.4444	1.69897	0	42.0401
12.5556	1.69897	0	41.8178
12.6667	1.69897	0	41.5953
12.7778	1.69897	0	41.3729
12.8889	1.69897	0	41.1503
13	1.69897	0	40.9276
13.1111	1.69897	0	40.7049
13.2222	1.69897	0	40.4819
13.3333	1.69897	0	40.2588
13.4444	1.69897	0	40.0354
13.5556	1.69897	0	39.8116
13.6667	1.69897	0	39.5874
13.7778	1.69897	0	39.3626
13.8889	1.69897	0	39.137
14	1.69897	0	38.9105
14.1111	1.69897	0	38.6827
14.2222	1.69897	0	38.4533
14.3333	1.69897	0	38.2218
14.4444	1.69897	0	37.9876
14.5556	1.69897	0	37.7499
14.6667	1.69897	0	37.5077
14.7778	1.69897	0	37.2596
14.8889	1.69897	0	37.0041
15	1.69897	0	36.7388
15.1111	1.69897	0	36.4609
15.2222	1.69897	0	36.1669
15.3333	1.69897	0	35.8519
15.4444	1.69897	0	35.5098
15.5556	1.69897	0	35.1329
15.6667	1.69897	0	34.7108
15.7778	1.69897	0	34.2304
15.8889	1.69897	0	33.6747
16	1.69897	0	33.0219
16.1111	1.69897	0	32.2435
16.2222	1.69897	0	31.3029
16.3333	1.69897	0	30.1529
16.4444	1.69897	0	28.7324
16.5556	1.69897	0	26.9626
16.6667	1.69897	0	24.7415
16.7778	1.69897	0	21.9377
16.8889	1.69897	0	18.3813
17	1.69897	0	13.8527
6	2.47712	0	-inf
6.11111	2.47712	0	-inf
6.22222	2.47712	0	-inf
6.33333	2.47712	0	-inf
6.44444	2.47712	0	-inf
6.55556	2.47712	0	-inf
6.66667	2.47712	0	-inf
6.77778	2.47712	0	-inf
6.88889	2.47712	0	-inf
7	2.47712	0	-inf
7.11111	2.47712	0	-inf
7.22222	2.47712	0	-inf
7.33333	2.47712	0	-inf
7.44444	2.47712	0	-inf
7.55556	2.47712	0	-inf
7.66667	2.47712	0	-inf
7.77778	2.47712	0	-inf
7.88889	2.47712	0	-inf
8	2.47712	0	-inf
8.11111	2.47712	0	-inf
8.22222	2.47712	0	-inf
8.33333	2.47712	0	-inf
8.44444	2.47712	0	-inf
8.55556	2.47712	0	-inf
8.66667	2.47712	0	-inf
8.77778	2.47712	0	-inf
8.88889	2.47712	0	-inf
9	2.47712	0	-inf
9.11111	2.47712	0	-inf
9.22222	2.47712	0	-inf
9.33333	2.47712	0	-inf
9.44444	2.47712	0	-inf
9.55556	2.47712	0	-inf
9.66667	2.47712	0	-inf
9.77778	2.47712	0	-inf
9.88889	2.47712	0	-inf
10	2.47712	0	-inf
10.1111	2.47712	0	-inf
10.2222	2.47712	0	-inf
10.3333	2.47712	0	-inf
10.4444	2.47712	0	-inf
10.5556	2.47712	0	-inf
10.6667	2.47712	0	-inf
10.7778	2.47712	0	-inf
10.8889	2.47712	0	-inf
11	2.47712	0	-inf
11.1111	2.47712	0	-inf
11.2222	2.47712	0	-inf
11.3333	2.47712	0	-inf
11.4444	2.47712	0	-inf
11.5556	2.47712	0	-inf
11.6667	2.47712	0	-inf
11.7778	2.47712	0	-inf
11.8889	2.47712	0	-inf
12	2.47712	0	-inf
12.1111	2.47712	0	-inf
12.2222	2.47712	0	-inf
12.3333	2.47712	0	-inf
12.4444	2.47712	0	-inf
12.5556	2.47712	0	-inf
12.6667	2.47712	0	-inf
12.7778	2.47712	0	-inf
12.8889	2.47712	0	-inf
13	2.47712	0	-inf
13.1111	2.47712	0	-inf
13.2222	2.47712	0	-inf
13.3333	2.47712	0	-inf
13.4444	2.47712	0	-inf
13.5556	2.47712	0	-inf
13.6667	2.47712	0	-inf
13.7778	2.47712	0	-inf
13.8889	2.47712	0	-inf
14	2.47712	0	-inf
14.1111	2.47712	0	-inf
14.2222	2.47712	0	-inf
14.3333	2.47712	0	-inf
14.4444	2.47712	0	-inf
14.5556	2.47712	0	-inf
14.6667	2.47712	0	-inf
14.7778	2.47712	0	-inf
14.8889	2.47712	0	-inf
15	2.47712	0	-inf
15.1111	2.47712	0	-inf
15.2222	2.47712	0	-inf
15.3333	2.47712	0	-inf
15.4444	2.47712	0	-inf
15.5556	2.47712	0	-inf
15.6667	2.47712	0	-inf
15.7778	2.47712	0	-inf
15.8889	2.47712	0	-inf
16	2.47712	0	-inf
16.1111	2.47712	0	-inf
16.2222	2.47712	0	-inf
16.3333	2.47712	0	-inf
16.4444	2.47712	0	-inf
16.5556	2.47712	0	-inf
16.6667	2.47712	0	-inf
16.7778	2.47712	0	-inf
16.8889	2.47712	0	-inf
17	2.47712	0	-inf
