Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc
6	52.31	0	-16.9229	-15.2735	-14.9906	-10.2815	1.79169
6.11111	52.31	0	-16.8118	-15.1048	-14.8218	-10.2815	1.68058
6.22222	52.31	0	-16.7006	-14.9625	-14.6795	-10.2815	1.56947
6.33333	52.31	0	-16.5895	-14.8337	-14.5507	-10.2815	1.45836
6.44444	52.31	0	-16.4784	-14.7123	-14.4293	-10.2815	1.34725
6.55556	52.31	0	-16.3673	-14.5952	-14.3121	-10.2815	1.23613
6.66667	52.31	0	-16.2562	-14.4806	-14.1974	-10.2815	1.12502
6.77778	52.31	0	-16.1451	-14.3675	-14.0842	-10.2815	1.01391
6.88889	52.31	0	-16.034	-14.2552	-13.9718	-10.2815	0.902802
7	52.31	0	-15.9229	-14.1435	-13.8599	-10.2815	0.791691
7.11111	52.31	0	-15.8118	-14.0322	-13.7484	-10.2815	0.680579
7.22222	52.31	0	-15.7006	-13.9211	-13.637	-10.2815	0.569468
7.33333	52.31	0	-15.5895	-13.8102	-13.5257	-10.2815	0.458357
7.44444	52.31	0	-15.4784	-13.6994	-13.4145	-10.2815	0.347246
7.55556	52.31	0	-15.3673	-13.5889	-13.3033	-10.2815	0.236135
7.66667	52.31	0	-15.2562	-13.4785	-13.1922	-10.2815	0.125024
7.77778	52.31	0	-15.1451	-13.3684	-13.0811	-10.2815	0.0139127
7.88889	52.31	0	-15.034	-13.2586	-12.9699	-10.2815	-0.0971984
8	52.31	0	-14.9229	-13.1492	-12.8588	-10.2815	-0.208309
8.11111	52.31	0	-14.8118	-13.0402	-12.7477	-10.2815	-0.319421
8.22222	52.31	0	-14.7006	-12.9319	-12.6366	-10.2815	-0.430532
8.33333	52.31	0	-14.5895	-12.8244	-12.5256	-10.2815	-0.541643
8.44444	52.31	0	-14.4784	-12.7179	-12.4145	-10.2815	-0.652754
8.55556	52.31	0	-14.3673	-12.6127	-12.3034	-10.2815	-0.763865
8.66667	52.31	0	-14.2562	-12.5092	-12.1923	-10.2815	-0.874976
8.77778	52.31	0	-14.1451	-12.4076	-12.0813	-10.2815	-0.986087
8.88889	52.31	0	-14.034	-12.3087	-11.9703	-10.2815	-1.0972
9	52.31	0	-13.9229	-12.2129	-11.8593	-10.2815	-1.20831
9.11111	52.31	0	-13.8118	-12.121	-11.7483	-10.2815	-1.31942
9.22222	52.31	0	-13.7006	-12.0337	-11.6374	-10.2815	-1.43053
9.33333	52.31	0	-13.5895	-11.9519	-11.5265	-10.2815	-1.54164
9.44444	52.31	0	-13.4784	-11.8766	-11.4157	-10.2815	-1.65275
9.55556	52.31	0	-13.3673	-11.8084	-11.305	-10.2815	-1.76387
9.66667	52.31	0	-13.2562	-11.7481	-11.1945	-10.2815	-1.87498
9.77778	52.31	0	-13.1451	-11.6962	-11.084	-10.2815	-1.98609
9.88889	52.31	0	-13.034	-11.6529	-10.9738	-10.2815	-2.0972
10	52.31	0	-12.9229	-11.6182	-10.8638	-10.2815	-2.20831
10.1111	52.31	0	-12.8118	-11.5919	-10.7542	-10.2815	-2.31942
10.2222	52.31	0	-12.7006	-11.5735	-10.6449	-10.2815	-2.43053
10.3333	52.31	0	-12.5895	-11.5627	-10.5362	-10.2815	-2.54164
10.4444	52.31	0	-12.4784	-11.5592	-10.4282	-10.2815	-2.65275
10.5556	52.31	0	-12.3673	-11.5627	-10.3211	-10.2815	-2.76387
10.6667	52.31	0	-12.2562	-11.5732	-10.2151	-10.2815	-2.87498
10.7778	52.31	0	-12.1451	-11.5905	-10.1106	-10.2815	-2.98609
10.8889	52.31	0	-12.034	-11.6146	-10.0078	-10.2815	-3.0972
11	52.31	0	-11.9229	-11.6454	-9.90726	-10.2815	-3.20831
11.1111	52.31	0	-11.8118	-11.6828	-9.80954	-10.2815	-3.31942
11.2222	52.31	0	-11.7006	-11.7266	-9.71527	-10.2815	-3.43053
11.3333	52.31	0	-11.5895	-11.7765	-9.62518	-10.2815	-3.54164
11.4444	52.31	0	-11.4784	-11.8323	-9.54009	-10.2815	-3.65275
11.5556	52.31	0	-11.3673	-11.8936	-9.46088	-10.2815	-3.76387
11.6667	52.31	0	-11.2562	-11.9602	-9.38839	-10.2815	-3.87498
11.7778	52.31	0	-11.1451	-12.0315	-9.3234	-10.2815	-3.98609
11.8889	52.31	0	-11.034	-12.1073	-9.26654	-10.2815	-4.0972
12	52.31	0	-10.9229	-12.1872	-9.2182	-10.2815	-4.20831
12.1111	52.31	0	-10.8118	-12.2708	-9.1785	-10.2815	-4.31942
12.2222	52.31	0	-10.7006	-12.3578	-9.14732	-10.2815	-4.43053
12.3333	52.31	0	-10.5895	-12.4479	-9.12434	-10.2815	-4.54164
12.4444	52.31	0	-10.4784	-12.5407	-9.10916	-10.2815	-4.65275
12.5556	52.31	0	-10.3673	-12.636	-9.10143	-10.2815	-4.76387
12.6667	52.31	0	-10.2562	-12.7334	-9.10085	-10.2815	-4.87498
12.7778	52.31	0	-10.1451	-12.8327	-9.10727	-10.2815	-4.98609
12.8889	52.31	0	-10.034	-12.9338	-9.12058	-10.2815	-5.0972
13	52.31	0	-9.92287	-13.0363	-9.14073	-10.2815	-5.20831
13.1111	52.31	0	-9.81175	-13.14	-9.16764	-10.2815	-5.31942
13.2222	52.31	0	-9.70064	-13.2449	-9.2012	-10.2815	-5.43053
13.3333	52.31	0	-9.58953	-13.3508	-9.24127	-10.2815	-5.54164
13.4444	52.31	0	-9.47842	-13.4574	-9.28764	-10.2815	-5.65275
13.5556	52.31	0	-9.36731	-13.5648	-9.34004	-10.2815	-5.76387
13.6667	52.31	0	-9.2562	-13.6727	-9.39818	-10.2815	-5.87498
13.7778	52.31	0	-9.14509	-13.7811	-9.46172	-10.2815	-5.98609
13.8889	52.31	0	-9.03398	-13.8899	-9.53029	-10.2815	-6.0972
14	52.31	0	-8.92287	-13.9991	-9.60353	-10.2815	-6.20831
14.1111	52.31	0	-8.81175	-14.1086	-9.68107	-10.2815	-6.31942
14.2222	52.31	0	-8.70064	-14.2182	-9.76255	-10.2815	-6.43053
14.3333	52.31	0	-8.58953	-14.3281	-9.84762	-10.2815	-6.54164
14.4444	52.31	0	-8.47842	-14.4382	-9.93594	-10.2815	-6.65275
14.5556	52.31	0	-8.36731	-14.5483	-10.0272	-10.2815	-6.76387
14.6667	52.31	0	-8.2562	-14.6586	-10.121	-10.2815	-6.87498
14.7778	52.31	0	-8.14509	-14.7691	-10.2172	-10.2815	-6.98609
14.8889	52.31	0	-8.03398	-14.8795	-10.3155	-10.2815	-7.0972
15	52.31	0	-7.92287	-14.9901	-10.4156	-10.2815	-7.20831
15.1111	52.31	0	-7.81175	-15.1007	-10.5172	-10.2815	-7.31942
15.2222	52.31	0	-7.70064	-15.2114	-10.6203	-10.2815	-7.43053
15.3333	52.31	0	-7.58953	-15.3221	-10.7245	-10.2815	-7.54164
15.4444	52.31	0	-7.47842	-15.4329	-10.8298	-10.2815	-7.65275
15.5556	52.31	0	-7.36731	-15.5436	-10.936	-10.2815	-7.76387
15.6667	52.31	0	-7.2562	-15.6545	-11.043	-10.2815	-7.87498
15.7778	52.31	0	-7.14509	-15.7653	-11.1506	-10.2815	-7.98609
15.8889	52.31	0	-7.03398	-15.8762	-11.2587	-10.2815	-8.0972
16	52.31	0	-6.92287	-15.9871	-11.3673	-10.2815	-8.20831
16.1111	52.31	0	-6.81175	-16.098	-11.4763	-10.2815	-8.31942
16.2222	52.31	0	-6.70064	-16.2089	-11.5856	-10.2815	-8.43053
16.3333	52.31	0	-6.58953	-16.3199	-11.6951	-10.2815	-8.54164
16.4444	52.31	0	-6.47842	-16.4308	-11.8049	-10.2815	-8.65275
16.5556	52.31	0	-6.36731	-16.5418	-11.9148	-10.2815	-8.76387
16.6667	52.31	0	-6.2562	-16.6529	-12.025	-10.2815	-8.87498
16.7778	52.31	0	-6.14509	-16.7639	-12.1352	-10.2815	-8.98609
16.8889	52.31	0	-6.03398	-16.8749	-12.2455	-10.2815	-9.0972
17	52.31	0	-5.92287	-16.986	-12.356	-10.2815	-9.20831
