log(E/eV)	Synchr	IC	IC - IR	SSC
-5.81613	39.6799	15.9159	22.727	0	39.6799
-5.57371	39.7946	16.6432	23.4543	33.026	39.7946
-5.33128	39.9115	17.3704	24.1815	33.6344	39.9115
-5.08886	40.0412	18.0977	24.9088	34.1262	40.0412
-4.84644	40.1637	18.825	25.6361	34.5702	40.1637
-4.60401	40.2815	19.5523	26.3633	34.9705	40.2815
-4.36159	40.4095	20.2795	27.0905	35.3371	40.4095
-4.11916	40.5325	21.0068	27.8177	35.625	40.5325
-3.87674	40.6447	21.7341	28.5448	35.8988	40.6447
-3.63431	40.7664	22.4613	29.2718	36.1575	40.7664
-3.39189	40.893	23.1886	29.9986	36.4002	40.893
-3.14947	41.0087	23.9159	30.7251	36.6111	41.0087
-2.90704	41.1291	24.6431	31.4509	36.8203	41.1291
-2.66462	41.2594	25.3704	32.1756	37.039	41.2594
-2.42219	41.3784	26.0976	32.8985	37.2134	41.3785
-2.17977	41.4932	26.8249	33.618	37.4046	41.4933
-1.93734	41.6193	27.552	34.3318	37.5904	41.6193
-1.69492	41.7394	28.2792	35.0354	37.7624	41.7395
-1.4525	41.851	29.0062	35.7213	37.9328	41.8511
-1.21007	41.9746	29.7329	36.377	38.0984	41.9747
-0.967648	42.1017	30.4594	36.9821	38.26	42.1018
-0.725224	42.218	31.1852	37.5061	38.4146	42.2181
-0.482799	42.3386	31.9099	37.9139	38.5748	42.3387
-0.240375	42.4647	32.6327	38.2079	38.7382	42.4648
0.00204906	42.5771	33.3521	38.4529	38.8848	42.5772
0.244473	42.6869	34.0657	38.68	39.0365	42.6871
0.486898	42.8083	34.769	38.8901	39.1913	42.8084
0.729322	42.9213	35.4544	39.0836	39.337	42.9215
0.971746	43.0255	36.1092	39.2619	39.4823	43.0257
1.21417	43.1398	36.7127	39.4276	39.6286	43.14
1.45659	43.2498	37.2343	39.5845	39.774	43.2501
1.69902	43.3412	37.6391	39.7365	39.9155	43.3414
1.94144	43.434	37.9312	39.8838	40.0551	43.4343
2.18387	43.5285	38.1756	40.0251	40.1971	43.5288
2.42629	43.6004	38.4023	40.1607	40.3383	43.6008
2.66872	43.6643	38.612	40.2912	40.4764	43.6648
2.91114	43.7407	38.8051	40.4172	40.6199	43.7413
3.15356	43.8017	38.9831	40.54	40.7513	43.8023
3.39599	43.8429	39.1486	40.6624	40.8921	43.8436
3.63841	43.8926	39.3053	40.7878	41.0291	43.8935
3.88084	43.9333	39.4572	40.9161	41.1521	43.9345
4.12326	43.9403	39.6043	41.0432	41.2978	43.9419
4.36569	43.9469	39.7455	41.1679	41.4441	43.949
4.60811	43.9687	39.881	41.2901	41.5556	43.9714
4.85053	43.9633	40.0114	41.4096	41.6857	43.9668
5.09296	43.9444	40.1373	41.5272	41.8241	43.9494
5.33538	43.9527	40.2601	41.6449	41.9493	43.9591
5.57781	43.9432	40.3824	41.766	42.0764	43.952
5.82023	43.8959	40.508	41.8916	42.2047	43.909
6.06266	43.8616	40.6363	42.0175	42.3287	43.8804
6.30508	43.8276	40.7539	42.1296	42.4593	43.8545
6.5475	43.743	40.8826	42.2618	42.5788	43.7855
6.78993	43.646	41.0068	42.3674	42.7051	43.714
7.03235	43.5818	41.1156	42.5003	42.8245	43.6826
7.27478	43.4814	41.2403	42.6115	42.9436	43.6369
7.5172	43.3345	41.3688	42.7387	43.0421	43.5836
7.75962	43.207	41.4875	42.8497	43.1889	43.5903
8.00205	43.0419	41.6026	42.9785	43.2947	43.609
8.24447	42.74	41.7193	43.0876	43.4122	43.6443
8.4869	42.302	41.8387	43.2165	43.5218	43.7194
8.72932	41.805	41.9597	43.3325	43.6344	43.8205
8.97175	41.1883	42.0808	43.4505	43.7367	43.9249
9.21417	40.3557	42.2021	43.5718	43.8482	44.0391
9.45659	38.7633	42.3204	43.6919	43.9576	44.1522
9.69902	35.7414	42.4394	43.8105	44.0465	44.2521
9.94144	30.219	42.5598	43.9298	44.1476	44.3602
10.1839	20.3267	42.6787	44.0489	44.2349	44.4601
10.4263	2.79802	42.7859	44.1673	44.3287	44.5638
10.6687	-28.0754	42.7973	44.2847	44.4251	44.6675
10.9111	-82.2693	42.6539	44.4017	44.4896	44.7524
11.1536	-177.216	42.3761	44.5183	44.5633	44.8439
11.396	0	42.0092	44.6326	44.642	44.9389
11.6384	0	41.5948	44.7475	44.6879	45.0199
11.8808	0	41.1518	44.8561	44.7364	45.1014
12.1233	0	40.6822	44.9633	44.7488	45.1702
12.3657	0	40.1915	45.0662	44.7733	45.245
12.6081	0	39.6799	45.1405	44.7985	45.3033
12.8505	0	39.1384	45.0891	44.7301	45.2467
13.093	0	38.5741	44.8525	44.7393	45.1006
13.3354	0	37.9679	44.4513	44.6326	44.8524
13.5778	0	37.3219	43.9317	44.5225	44.6217
13.8202	0	36.633	43.3211	44.444	44.4756
14.0627	0	35.9144	42.6511	44.2552	44.2659
14.3051	0	35.1691	41.936	44.1619	44.1645
14.5475	0	34.3989	41.184	43.8866	43.8875
14.7899	0	33.59	40.386	43.4476	43.448
15.0324	0	32.729	39.5315	43.2237	43.2238
15.2748	0	31.7975	38.6036	42.7288	42.7288
15.5172	0	30.7679	37.5761	42.3247	42.3247
15.7596	0	29.5991	36.4086	41.5672	41.5672
16.002	0	28.1785	34.9887	0	34.9887
16.2445	0	0	0	0	0
16.4869	0	0	0	0	0
16.7293	0	0	0	0	0
16.9717	0	0	0	0	0
17.2142	0	0	0	0	0
17.4566	0	0	0	0	0
17.699	0	0	0	0	0
17.9414	0	0	0	0	0
18.1839	0	0	0	0	0
