log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	0	56.9633
6.37931	1	0	57.4451
6.75862	1	0	57.2106
7.13793	1	0	56.6714
7.51724	1	0	56.0045
7.89655	1	0	55.2842
8.27586	1	0	54.5415
8.65517	1	0	53.7896
9.03448	1	0	53.0338
9.41379	1	0	52.2763
9.7931	1	0	51.5181
10.1724	1	0	50.7598
10.5517	1	0	49.9988
10.931	1	0	49.2056
11.3103	1	0	48.3269
11.6897	1	0	47.3436
12.069	1	0	46.2794
12.4483	1	0	45.1644
12.8276	1	0	44.0144
13.2069	1	0	42.8281
13.5862	1	0	41.5867
13.9655	1	0	40.2462
14.3448	1	0	38.7135
14.7241	1	0	36.7659
15.1034	1	0	33.7759
15.4828	1	0	28.2107
15.8621	1	0	16.4693
16.2414	1	0	-10.0642
16.6207	1	0	-72.0252
17	1	0	-inf
6	1.03448	0.40007	56.8388
6.37931	1.03448	0.40007	57.1118
6.75862	1.03448	0.40007	56.8376
7.13793	1.03448	0.40007	56.2875
7.51724	1.03448	0.40007	55.6168
7.89655	1.03448	0.40007	54.895
8.27586	1.03448	0.40007	54.1517
8.65517	1.03448	0.40007	53.3995
9.03448	1.03448	0.40007	52.6436
9.41379	1.03448	0.40007	51.886
9.7931	1.03448	0.40007	51.1207
10.1724	1.03448	0.40007	50.3143
10.5517	1.03448	0.40007	49.4197
10.931	1.03448	0.40007	48.426
11.3103	1.03448	0.40007	47.3598
11.6897	1.03448	0.40007	46.2521
12.069	1.03448	0.40007	45.1218
12.4483	1.03448	0.40007	43.9758
12.8276	1.03448	0.40007	42.8123
13.2069	1.03448	0.40007	41.6203
13.5862	1.03448	0.40007	40.3765
13.9655	1.03448	0.40007	39.035
14.3448	1.03448	0.40007	37.502
14.7241	1.03448	0.40007	35.5543
15.1034	1.03448	0.40007	32.5642
15.4828	1.03448	0.40007	26.999
15.8621	1.03448	0.40007	15.2576
16.2414	1.03448	0.40007	-11.2759
16.6207	1.03448	0.40007	-73.2369
17	1.03448	0.40007	-inf
6	1.06897	0.824155	56.754
6.37931	1.06897	0.824155	57.0375
6.75862	1.06897	0.824155	56.7657
7.13793	1.06897	0.824155	56.2162
7.51724	1.06897	0.824155	55.5457
7.89655	1.06897	0.824155	54.824
8.27586	1.06897	0.824155	54.0808
8.65517	1.06897	0.824155	53.3286
9.03448	1.06897	0.824155	52.5727
9.41379	1.06897	0.824155	51.8151
9.7931	1.06897	0.824155	51.0496
10.1724	1.06897	0.824155	50.2421
10.5517	1.06897	0.824155	49.3456
10.931	1.06897	0.824155	48.3502
11.3103	1.06897	0.824155	47.2829
11.6897	1.06897	0.824155	46.1746
12.069	1.06897	0.824155	45.044
12.4483	1.06897	0.824155	43.898
12.8276	1.06897	0.824155	42.7344
13.2069	1.06897	0.824155	41.5423
13.5862	1.06897	0.824155	40.2986
13.9655	1.06897	0.824155	38.9571
14.3448	1.06897	0.824155	37.4241
14.7241	1.06897	0.824155	35.4763
15.1034	1.06897	0.824155	32.4862
15.4828	1.06897	0.824155	26.921
15.8621	1.06897	0.824155	15.1796
16.2414	1.06897	0.824155	-11.3539
16.6207	1.06897	0.824155	-73.3149
17	1.06897	0.824155	-inf
6	1.10345	1.27409	56.6696
6.37931	1.10345	1.27409	56.9634
6.75862	1.10345	1.27409	56.6937
7.13793	1.10345	1.27409	56.1448
7.51724	1.10345	1.27409	55.4745
7.89655	1.10345	1.27409	54.7529
8.27586	1.10345	1.27409	54.0097
8.65517	1.10345	1.27409	53.2576
9.03448	1.10345	1.27409	52.5017
9.41379	1.10345	1.27409	51.744
9.7931	1.10345	1.27409	50.9784
10.1724	1.10345	1.27409	50.1698
10.5517	1.10345	1.27409	49.2715
10.931	1.10345	1.27409	48.2743
11.3103	1.10345	1.27409	47.2059
11.6897	1.10345	1.27409	46.0971
12.069	1.10345	1.27409	44.9663
12.4483	1.10345	1.27409	43.8201
12.8276	1.10345	1.27409	42.6565
13.2069	1.10345	1.27409	41.4644
13.5862	1.10345	1.27409	40.2207
13.9655	1.10345	1.27409	38.8792
14.3448	1.10345	1.27409	37.3462
14.7241	1.10345	1.27409	35.3984
15.1034	1.10345	1.27409	32.4083
15.4828	1.10345	1.27409	26.8431
15.8621	1.10345	1.27409	15.1017
16.2414	1.10345	1.27409	-11.4318
16.6207	1.10345	1.27409	-73.3928
17	1.10345	1.27409	-inf
6	1.13793	1.75186	56.5855
6.37931	1.13793	1.75186	56.8892
6.75862	1.13793	1.75186	56.6217
7.13793	1.13793	1.75186	56.0734
7.51724	1.13793	1.75186	55.4033
7.89655	1.13793	1.75186	54.6817
8.27586	1.13793	1.75186	53.9386
8.65517	1.13793	1.75186	53.1865
9.03448	1.13793	1.75186	52.4305
9.41379	1.13793	1.75186	51.6729
9.7931	1.13793	1.75186	50.9071
10.1724	1.13793	1.75186	50.0975
10.5517	1.13793	1.75186	49.1972
10.931	1.13793	1.75186	48.1984
11.3103	1.13793	1.75186	47.129
11.6897	1.13793	1.75186	46.0196
12.069	1.13793	1.75186	44.8886
12.4483	1.13793	1.75186	43.7423
12.8276	1.13793	1.75186	42.5786
13.2069	1.13793	1.75186	41.3866
13.5862	1.13793	1.75186	40.1428
13.9655	1.13793	1.75186	38.8013
14.3448	1.13793	1.75186	37.2683
14.7241	1.13793	1.75186	35.3205
15.1034	1.13793	1.75186	32.3305
15.4828	1.13793	1.75186	26.7653
15.8621	1.13793	1.75186	15.0239
16.2414	1.13793	1.75186	-11.5097
16.6207	1.13793	1.75186	-73.4707
17	1.13793	1.75186	-inf
6	1.17241	2.25957	56.5018
6.37931	1.17241	2.25957	56.8152
6.75862	1.17241	2.25957	56.5496
7.13793	1.17241	2.25957	56.0019
7.51724	1.17241	2.25957	55.332
7.89655	1.17241	2.25957	54.6105
8.27586	1.17241	2.25957	53.8674
8.65517	1.17241	2.25957	53.1153
9.03448	1.17241	2.25957	52.3594
9.41379	1.17241	2.25957	51.6018
9.7931	1.17241	2.25957	50.8357
10.1724	1.17241	2.25957	50.025
10.5517	1.17241	2.25957	49.123
10.931	1.17241	2.25957	48.1225
11.3103	1.17241	2.25957	47.0521
11.6897	1.17241	2.25957	45.9422
12.069	1.17241	2.25957	44.8109
12.4483	1.17241	2.25957	43.6646
12.8276	1.17241	2.25957	42.5009
