log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	0	49.7924
6.37931	1	0	50.2986
6.75862	1	0	50.0681
7.13793	1	0	49.53
7.51724	1	0	48.8634
7.89655	1	0	48.1432
8.27586	1	0	47.4007
8.65517	1	0	46.6488
9.03448	1	0	45.8929
9.41379	1	0	45.1355
9.7931	1	0	44.3773
10.1724	1	0	43.6189
10.5517	1	0	42.8603
10.931	1	0	42.1016
11.3103	1	0	41.3427
11.6897	1	0	40.5834
12.069	1	0	39.823
12.4483	1	0	39.0603
12.8276	1	0	38.2919
13.2069	1	0	37.5098
13.5862	1	0	36.695
13.9655	1	0	35.8019
14.3448	1	0	34.721
14.7241	1	0	33.1905
15.1034	1	0	30.5834
15.4828	1	0	25.3975
15.8621	1	0	14.0354
16.2414	1	0	-12.1188
16.6207	1	0	-73.7005
17	1	0	-220.132
6	1.03448	0.40007	48.5807
6.37931	1.03448	0.40007	49.0869
6.75862	1.03448	0.40007	48.8563
7.13793	1.03448	0.40007	48.3182
7.51724	1.03448	0.40007	47.6517
7.89655	1.03448	0.40007	46.9315
8.27586	1.03448	0.40007	46.1889
8.65517	1.03448	0.40007	45.437
9.03448	1.03448	0.40007	44.6812
9.41379	1.03448	0.40007	43.9237
9.7931	1.03448	0.40007	43.1656
10.1724	1.03448	0.40007	42.4071
10.5517	1.03448	0.40007	41.6486
10.931	1.03448	0.40007	40.8898
11.3103	1.03448	0.40007	40.1309
11.6897	1.03448	0.40007	39.3716
12.069	1.03448	0.40007	38.6113
12.4483	1.03448	0.40007	37.8486
12.8276	1.03448	0.40007	37.0802
13.2069	1.03448	0.40007	36.2981
13.5862	1.03448	0.40007	35.4833
13.9655	1.03448	0.40007	34.5901
14.3448	1.03448	0.40007	33.5092
14.7241	1.03448	0.40007	31.9788
15.1034	1.03448	0.40007	29.3716
15.4828	1.03448	0.40007	24.1857
15.8621	1.03448	0.40007	12.8236
16.2414	1.03448	0.40007	-13.3306
16.6207	1.03448	0.40007	-74.9123
17	1.03448	0.40007	-221.344
6	1.06897	0.824155	48.5027
6.37931	1.06897	0.824155	49.0089
6.75862	1.06897	0.824155	48.7784
7.13793	1.06897	0.824155	48.2403
7.51724	1.06897	0.824155	47.5737
7.89655	1.06897	0.824155	46.8535
8.27586	1.06897	0.824155	46.111
8.65517	1.06897	0.824155	45.359
9.03448	1.06897	0.824155	44.6032
