z 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
3.09e+19	0	0	4.15169e+17	0.1	0.009999	4.51262e+41
3.16271e+19	0.769966	0.113921	4.15169e+17	0.193	0.0355066	4.66319e+42
3.23713e+19	1.55805	0.22802	4.15169e+17	0.194	0.0342439	4.46143e+42
3.31331e+19	2.36468	0.342337	4.15169e+17	0.195	0.0330244	4.2681e+42
3.39127e+19	3.19029	0.456911	4.15169e+17	0.196	0.0318466	4.08288e+42
3.47107e+19	4.03532	0.571782	4.15169e+17	0.197	0.0307091	3.90545e+42
3.55275e+19	4.90025	0.686988	4.15169e+17	0.198	0.0296108	3.73548e+42
3.63635e+19	5.78552	0.802568	4.15169e+17	0.199	0.0285503	3.57269e+42
3.72192e+19	6.69163	0.91856	4.15169e+17	0.2	0.0275263	3.41678e+42
3.8095e+19	7.61905	1.035	4.15169e+17	0.201	0.0265378	3.26748e+42
3.89914e+19	8.5683	1.15194	4.15169e+17	0.202	0.0255834	3.12452e+42
3.99089e+19	9.53989	1.2694	4.15169e+17	0.203	0.0246622	2.98765e+42
4.0848e+19	10.5343	1.38742	4.15169e+17	0.204	0.023773	2.85661e+42
4.18092e+19	11.5522	1.50605	4.15169e+17	0.205	0.0229147	2.73117e+42
4.2793e+19	12.594	1.62532	4.15169e+17	0.206	0.0220863	2.61109e+42
4.38e+19	13.6603	1.74527	4.15169e+17	0.207	0.0212869	2.49616e+42
4.48306e+19	14.7517	1.86594	4.15169e+17	0.208	0.0205154	2.38617e+42
4.58855e+19	15.8688	1.98736	4.15169e+17	0.209	0.019771	2.28091e+42
4.69653e+19	17.0122	2.10958	4.15169e+17	0.21	0.0190527	2.18019e+42
4.80704e+19	18.1825	2.23263	4.15169e+17	0.211	0.0183597	2.08381e+42
4.92015e+19	19.3803	2.35655	4.15169e+17	0.212	0.017691	1.99159e+42
5.03593e+19	20.6063	2.48138	4.15169e+17	0.213	0.017046	1.90337e+42
5.15443e+19	21.8611	2.60716	4.15169e+17	0.214	0.0164237	1.81897e+42
5.27572e+19	23.1455	2.73393	4.15169e+17	0.215	0.0158235	1.73824e+42
5.39986e+19	24.4601	2.86172	4.15169e+17	0.216	0.0152445	1.66102e+42
5.52693e+19	25.8057	2.99058	4.15169e+17	0.217	0.014686	1.58715e+42
5.65698e+19	27.1829	3.12054	4.15169e+17	0.218	0.0141475	1.51651e+42
5.7901e+19	28.5925	3.25165	4.15169e+17	0.219	0.013628	1.44895e+42
5.92634e+19	30.0352	3.38395	4.15169e+17	0.22	0.0131271	1.38435e+42
6.0658e+19	31.512	3.51747	4.15169e+17	0.221	0.0126441	1.32257e+42
6.20853e+19	33.0234	3.65226	4.15169e+17	0.222	0.0121784	1.2635e+42
6.35462e+19	34.5705	3.78835	4.15169e+17	0.223	0.0117293	1.20702e+42
6.50415e+19	36.1539	3.9258	4.15169e+17	0.224	0.0112963	1.15302e+42
6.6572e+19	37.7746	4.06464	4.15169e+17	0.225	0.0108789	1.1014e+42
6.81385e+19	39.4335	4.20491	4.15169e+17	0.226	0.0104764	1.05204e+42
6.97419e+19	41.1313	4.34666	4.15169e+17	0.227	0.0100885	1.00487e+42
7.1383e+19	42.8692	4.48993	4.15169e+17	0.228	0.00971453	9.59771e+41
7.30627e+19	44.6479	4.63476	4.15169e+17	0.229	0.00935406	9.16666e+41
7.4782e+19	46.4685	4.7812	4.15169e+17	0.23	0.00900662	8.75468e+41
7.65417e+19	48.3319	4.9293	4.15169e+17	0.231	0.00867175	8.36093e+41
7.83428e+19	50.2391	5.07909	4.15169e+17	0.232	0.00834901	7.98462e+41
8.01862e+19	52.1913	5.23062	4.15169e+17	0.233	0.00803798	7.62499e+41
8.20731e+19	54.1894	5.38394	4.15169e+17	0.234	0.00773825	7.28133e+41
8.40044e+19	56.2345	5.5391	4.15169e+17	0.235	0.00744942	6.95294e+41
8.59811e+19	58.3277	5.69615	4.15169e+17	0.236	0.0071711	6.63915e+41
8.80043e+19	60.4702	5.85512	4.15169e+17	0.237	0.00690293	6.33932e+41
9.00751e+19	62.6631	6.01608	4.15169e+17	0.238	0.00664455	6.05285e+41
9.21947e+19	64.9076	6.17907	4.15169e+17	0.239	0.0063956	5.77916e+41
9.43641e+19	67.2049	6.34413	4.15169e+17	0.24	0.00615577	5.51768e+41
9.65846e+19	69.5562	6.51133	4.15169e+17	0.241	0.00592472	5.26787e+41
9.88574e+19	71.9629	6.68071	4.15169e+17	0.242	0.00570214	5.02923e+41
1.01184e+20	74.4262	6.85232	4.15169e+17	0.243	0.00548773	4.80127e+41
1.03565e+20	76.9475	7.02622	4.15169e+17	0.244	0.0052812	4.58351e+41
1.06002e+20	79.5282	7.20246	4.15169e+17	0.245	0.00508227	4.37551e+41
1.08496e+20	82.1695	7.3811	4.15169e+17	0.246	0.00489066	4.17683e+41
1.11049e+20	84.873	7.56219	4.15169e+17	0.247	0.00470612	3.98708e+41
1.13662e+20	87.6401	7.74578	4.15169e+17	0.248	0.00452839	3.80584e+41
1.16337e+20	90.4723	7.93194	4.15169e+17	0.249	0.00435723	3.63274e+41
1.19074e+20	93.3712	8.12073	4.15169e+17	0.25	0.0041924	3.46743e+41
1.21876e+20	96.3383	8.31219	4.15169e+17	0.251	0.00403368	3.30956e+41
1.24744e+20	99.3752	8.50639	4.15169e+17	0.252	0.00388083	3.1588e+41
1.27679e+20	102.484	8.7034	4.15169e+17	0.253	0.00373366	3.01483e+41
1.30684e+20	105.665	8.90327	4.15169e+17	0.254	0.00359195	2.87736e+41
1.33759e+20	108.921	9.10607	4.15169e+17	0.255	0.00345552	2.74609e+41
1.36906e+20	112.254	9.31185	4.15169e+17	0.256	0.00332416	2.62074e+41
1.40128e+20	115.666	9.52069	4.15169e+17	0.257	0.00319769	2.50106e+41
1.43425e+20	119.158	9.73266	4.15169e+17	0.258	0.00307594	2.38679e+41
1.468e+20	122.731	9.94781	4.15169e+17	0.259	0.00295873	2.27769e+41
1.50254e+20	126.389	10.1662	4.15169e+17	0.26	0.0028459	2.17352e+41
1.5379e+20	130.133	10.388	4.15169e+17	0.261	0.00273729	2.07408e+41
1.57409e+20	133.966	10.6131	4.15169e+17	0.262	0.00263275	1.97914e+41
1.61113e+20	137.888	10.8417	4.15169e+17	0.263	0.00253213	1.88851e+41
1.64904e+20	141.903	11.0738	4.15169e+17	0.264	0.00243527	1.80199e+41
1.68784e+20	146.012	11.3096	4.15169e+17	0.265	0.00234206	1.71939e+41
1.72756e+20	150.217	11.549	4.15169e+17	0.266	0.00225234	1.64055e+41
1.76821e+20	154.522	11.7922	4.15169e+17	0.267	0.002166	1.56529e+41
1.80982e+20	158.928	12.0393	4.15169e+17	0.268	0.00208291	1.49345e+41
1.85241e+20	163.438	12.2903	4.15169e+17	0.269	0.00200294	1.42489e+41
1.896e+20	168.054	12.5453	4.15169e+17	0.27	0.001926	1.35944e+41
1.94061e+20	172.778	12.8044	4.15169e+17	0.271	0.00185195	1.29697e+41
1.98627e+20	177.614	13.0676	4.15169e+17	0.272	0.00178071	1.23735e+41
2.03301e+20	182.563	13.3352	4.15169e+17	0.273	0.00171215	1.18045e+41
2.08085e+20	187.629	13.607	4.15169e+17	0.274	0.00164619	1.12614e+41
2.12982e+20	192.814	13.8833	4.15169e+17	0.275	0.00158273	1.07431e+41
2.17993e+20	198.121	14.1642	4.15169e+17	0.276	0.00152167	1.02485e+41
2.23123e+20	203.553	14.4496	4.15169e+17	0.277	0.00146293	9.77646e+40
2.28373e+20	209.113	14.7398	4.15169e+17	0.278	0.00140642	9.326e+40
2.33747e+20	214.803	15.0348	4.15169e+17	0.279	0.00135205	8.89613e+40
2.39247e+20	220.628	15.3347	4.15169e+17	0.28	0.00129975	8.48593e+40
2.44877e+20	226.59	15.6395	4.15169e+17	0.281	0.00124944	8.0945e+40
2.50639e+20	232.691	15.9495	4.15169e+17	0.282	0.00120105	7.72099e+40
2.56537e+20	238.937	16.2647	4.15169e+17	0.283	0.0011545	7.36459e+40
2.62574e+20	245.329	16.5852	4.15169e+17	0.284	0.00110973	7.02451e+40
2.68752e+20	251.872	16.9112	4.15169e+17	0.285	0.00106666	6.70003e+40
2.75076e+20	258.569	17.2426	4.15169e+17	0.286	0.00102524	6.39043e+40
2.81549e+20	265.423	17.5797	4.15169e+17	0.287	0.000985406	6.09504e+40
2.88174e+20	272.439	17.9226	4.15169e+17	0.288	0.000947094	5.8132e+40
2.94955e+20	279.62	18.2713	4.15169e+17	0.289	0.000910248	5.54431e+40
3.01896e+20	286.969	18.626	4.15169e+17	0.29	0.000874813	5.28776e+40
3.09e+20	294.492	18.9868	4.15169e+17	0.291	0.000840738	5.04301e+40
Lnt total	1.04806e+44
