log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	0	56.9633
6.37931	1	0	57.4451
6.75862	1	0	57.2106
7.13793	1	0	56.6714
7.51724	1	0	56.0045
7.89655	1	0	55.2842
8.27586	1	0	54.5415
8.65517	1	0	53.7896
9.03448	1	0	53.0338
9.41379	1	0	52.2763
9.7931	1	0	51.5181
10.1724	1	0	50.7598
10.5517	1	0	49.9988
10.931	1	0	49.2056
11.3103	1	0	48.3269
11.6897	1	0	47.3436
12.069	1	0	46.2794
12.4483	1	0	45.1644
12.8276	1	0	44.0144
13.2069	1	0	42.8281
13.5862	1	0	41.5867
13.9655	1	0	40.2462
14.3448	1	0	38.7135
14.7241	1	0	36.7659
15.1034	1	0	33.7759
15.4828	1	0	28.2107
15.8621	1	0	16.4693
16.2414	1	0	-10.0642
16.6207	1	0	-72.0252
17	1	0	-inf
6	1.03448	0.40007	58.2403
6.37931	1.03448	0.40007	58.3273
6.75862	1.03448	0.40007	58.0074
7.13793	1.03448	0.40007	57.4439
7.51724	1.03448	0.40007	56.7685
7.89655	1.03448	0.40007	56.0448
8.27586	1.03448	0.40007	55.3008
8.65517	1.03448	0.40007	54.5483
9.03448	1.03448	0.40007	53.7914
9.41379	1.03448	0.40007	53.0246
9.7931	1.03448	0.40007	52.2193
10.1724	1.03448	0.40007	51.3322
10.5517	1.03448	0.40007	50.3483
10.931	1.03448	0.40007	49.2895
11.3103	1.03448	0.40007	48.1871
11.6897	1.03448	0.40007	47.062
12.069	1.03448	0.40007	45.924
12.4483	1.03448	0.40007	44.7748
12.8276	1.03448	0.40007	43.6099
13.2069	1.03448	0.40007	42.4173
13.5862	1.03448	0.40007	41.1733
13.9655	1.03448	0.40007	39.8318
14.3448	1.03448	0.40007	38.2987
14.7241	1.03448	0.40007	36.3509
15.1034	1.03448	0.40007	33.3609
15.4828	1.03448	0.40007	27.7956
15.8621	1.03448	0.40007	16.0543
16.2414	1.03448	0.40007	-10.4793
16.6207	1.03448	0.40007	-72.4403
17	1.03448	0.40007	-inf
6	1.06897	0.824155	58.9178
6.37931	1.06897	0.824155	58.9069
6.75862	1.06897	0.824155	58.558
7.13793	1.06897	0.824155	57.9856
7.51724	1.06897	0.824155	57.3069
7.89655	1.06897	0.824155	56.582
8.27586	1.06897	0.824155	55.8374
8.65517	1.06897	0.824155	55.0842
9.03448	1.06897	0.824155	54.3237
9.41379	1.06897	0.824155	53.5411
9.7931	1.06897	0.824155	52.6996
10.1724	1.06897	0.824155	51.7663
10.5517	1.06897	0.824155	50.7446
10.931	1.06897	0.824155	49.6633
11.3103	1.06897	0.824155	48.5496
11.6897	1.06897	0.824155	47.4194
12.069	1.06897	0.824155	46.2792
12.4483	1.06897	0.824155	45.1291
12.8276	1.06897	0.824155	43.9638
13.2069	1.06897	0.824155	42.771
13.5862	1.06897	0.824155	41.527
13.9655	1.06897	0.824155	40.1854
14.3448	1.06897	0.824155	38.6523
14.7241	1.06897	0.824155	36.7045
15.1034	1.06897	0.824155	33.7145
15.4828	1.06897	0.824155	28.1492
15.8621	1.06897	0.824155	16.4079
16.2414	1.06897	0.824155	-10.1257
16.6207	1.06897	0.824155	-72.0867
17	1.06897	0.824155	-inf
6	1.10345	1.27409	59.3627
6.37931	1.10345	1.27409	59.289
6.75862	1.10345	1.27409	58.9193
7.13793	1.10345	1.27409	58.3402
7.51724	1.10345	1.27409	57.6591
7.89655	1.10345	1.27409	56.9332
8.27586	1.10345	1.27409	56.1881
8.65517	1.10345	1.27409	55.4336
9.03448	1.10345	1.27409	54.6675
9.41379	1.10345	1.27409	53.8686
9.7931	1.10345	1.27409	52.9991
10.1724	1.10345	1.27409	52.0361
10.5517	1.10345	1.27409	50.993
10.931	1.10345	1.27409	49.8998
11.3103	1.10345	1.27409	48.7805
11.6897	1.10345	1.27409	47.6479
12.069	1.10345	1.27409	46.5066
12.4483	1.10345	1.27409	45.356
12.8276	1.10345	1.27409	44.1905
13.2069	1.10345	1.27409	42.9977
13.5862	1.10345	1.27409	41.7536
13.9655	1.10345	1.27409	40.412
14.3448	1.10345	1.27409	38.8789
14.7241	1.10345	1.27409	36.9311
15.1034	1.10345	1.27409	33.9411
15.4828	1.10345	1.27409	28.3758
15.8621	1.10345	1.27409	16.6344
16.2414	1.10345	1.27409	-9.89907
16.6207	1.10345	1.27409	-71.8601
17	1.10345	1.27409	-inf
6	1.13793	1.75186	59.6872
6.37931	1.13793	1.75186	59.5696
6.75862	1.13793	1.75186	59.1844
7.13793	1.13793	1.75186	58.6001
7.51724	1.13793	1.75186	57.9171
7.89655	1.13793	1.75186	57.1904
8.27586	1.13793	1.75186	56.4447
8.65517	1.13793	1.75186	55.6884
9.03448	1.13793	1.75186	54.9159
9.41379	1.13793	1.75186	54.1017
9.7931	1.13793	1.75186	53.2096
10.1724	1.13793	1.75186	52.2254
10.5517	1.13793	1.75186	51.1681
10.931	1.13793	1.75186	50.0674
11.3103	1.13793	1.75186	48.9446
11.6897	1.13793	1.75186	47.8104
12.069	1.13793	1.75186	46.6685
12.4483	1.13793	1.75186	45.5177
12.8276	1.13793	1.75186	44.352
13.2069	1.13793	1.75186	43.1592
13.5862	1.13793	1.75186	41.9151
13.9655	1.13793	1.75186	40.5735
14.3448	1.13793	1.75186	39.0404
14.7241	1.13793	1.75186	37.0926
15.1034	1.13793	1.75186	34.1025
15.4828	1.13793	1.75186	28.5373
15.8621	1.13793	1.75186	16.7959
16.2414	1.13793	1.75186	-9.7376
16.6207	1.13793	1.75186	-71.6986
17	1.13793	1.75186	-inf
6	1.17241	2.25957	59.9388
6.37931	1.17241	2.25957	59.7889
6.75862	1.17241	2.25957	59.3915
7.13793	1.17241	2.25957	58.8032
7.51724	1.17241	2.25957	58.1186
7.89655	1.17241	2.25957	57.3913
8.27586	1.17241	2.25957	56.6448
8.65517	1.17241	2.25957	55.8862
9.03448	1.17241	2.25957	55.1069
9.41379	1.17241	2.25957	54.2786
9.7931	1.17241	2.25957	53.3678
10.1724	1.17241	2.25957	52.3672
10.5517	1.17241	2.25957	51.2996
10.931	1.17241	2.25957	50.1936
11.3103	1.17241	2.25957	49.0683
11.6897	1.17241	2.25957	47.9331
12.069	1.17241	2.25957	46.7907
12.4483	1.17241	2.25957	45.6397
12.8276	1.17241	2.25957	44.474
