log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	0	49.7924
6.37931	1	0	50.2986
6.75862	1	0	50.0681
7.13793	1	0	49.53
7.51724	1	0	48.8634
7.89655	1	0	48.1432
8.27586	1	0	47.4007
8.65517	1	0	46.6488
9.03448	1	0	45.8929
9.41379	1	0	45.1355
9.7931	1	0	44.3773
10.1724	1	0	43.6189
10.5517	1	0	42.8603
10.931	1	0	42.1016
11.3103	1	0	41.3427
11.6897	1	0	40.5834
12.069	1	0	39.823
12.4483	1	0	39.0603
12.8276	1	0	38.2919
13.2069	1	0	37.5098
13.5862	1	0	36.695
13.9655	1	0	35.8019
14.3448	1	0	34.721
14.7241	1	0	33.1905
15.1034	1	0	30.5834
15.4828	1	0	25.3975
15.8621	1	0	14.0354
16.2414	1	0	-12.1188
16.6207	1	0	-73.7005
17	1	0	-220.132
6	1.03448	0.40007	49.3773
6.37931	1.03448	0.40007	49.8835
6.75862	1.03448	0.40007	49.653
7.13793	1.03448	0.40007	49.1149
7.51724	1.03448	0.40007	48.4483
7.89655	1.03448	0.40007	47.7282
8.27586	1.03448	0.40007	46.9856
8.65517	1.03448	0.40007	46.2337
9.03448	1.03448	0.40007	45.4778
9.41379	1.03448	0.40007	44.7204
9.7931	1.03448	0.40007	43.9622
10.1724	1.03448	0.40007	43.2038
10.5517	1.03448	0.40007	42.4452
10.931	1.03448	0.40007	41.6865
11.3103	1.03448	0.40007	40.9276
11.6897	1.03448	0.40007	40.1683
12.069	1.03448	0.40007	39.4079
12.4483	1.03448	0.40007	38.6452
12.8276	1.03448	0.40007	37.8768
13.2069	1.03448	0.40007	37.0947
13.5862	1.03448	0.40007	36.2799
13.9655	1.03448	0.40007	35.3868
14.3448	1.03448	0.40007	34.3059
14.7241	1.03448	0.40007	32.7754
15.1034	1.03448	0.40007	30.1683
15.4828	1.03448	0.40007	24.9824
15.8621	1.03448	0.40007	13.6203
16.2414	1.03448	0.40007	-12.5339
16.6207	1.03448	0.40007	-74.1156
17	1.03448	0.40007	-220.547
6	1.06897	0.824155	49.7309
6.37931	1.06897	0.824155	50.2371
6.75862	1.06897	0.824155	50.0066
7.13793	1.06897	0.824155	49.4685
7.51724	1.06897	0.824155	48.8019
7.89655	1.06897	0.824155	48.0818
8.27586	1.06897	0.824155	47.3392
8.65517	1.06897	0.824155	46.5873
9.03448	1.06897	0.824155	45.8314
