z 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
3.09e+19	0	0	4.15169e+17	0.1	0.009999	4.51262e+41
3.16271e+19	0.769966	0.113921	5.92766e+17	0.193	0.0355066	9.50604e+42
3.23713e+19	1.55805	0.22802	7.72689e+17	0.194	0.0342439	1.54538e+43
3.31331e+19	2.36468	0.342337	9.55001e+17	0.195	0.0330244	2.25836e+43
3.39127e+19	3.19029	0.456911	1.13976e+18	0.196	0.0318466	3.07714e+43
3.47107e+19	4.03532	0.571782	1.32704e+18	0.197	0.0307091	3.99015e+43
3.55275e+19	4.90025	0.686988	1.5169e+18	0.198	0.0296108	4.98665e+43
3.63635e+19	5.78552	0.802568	1.7094e+18	0.199	0.0285503	6.05664e+43
3.72192e+19	6.69163	0.91856	1.90461e+18	0.2	0.0275263	7.19084e+43
3.8095e+19	7.61905	1.035	2.1026e+18	0.201	0.0265378	8.38065e+43
3.89914e+19	8.5683	1.15194	2.30344e+18	0.202	0.0255834	9.6181e+43
3.99089e+19	9.53989	1.2694	2.5072e+18	0.203	0.0246622	1.08958e+44
4.0848e+19	10.5343	1.38742	2.71395e+18	0.204	0.023773	1.22069e+44
4.18092e+19	11.5522	1.50605	2.92377e+18	0.205	0.0229147	1.35452e+44
4.2793e+19	12.594	1.62532	3.13673e+18	0.206	0.0220863	1.49048e+44
4.38e+19	13.6603	1.74527	3.3529e+18	0.207	0.0212869	1.62804e+44
4.48306e+19	14.7517	1.86594	3.57236e+18	0.208	0.0205154	1.7667e+44
4.58855e+19	15.8688	1.98736	3.79519e+18	0.209	0.019771	1.90601e+44
4.69653e+19	17.0122	2.10958	4.02147e+18	0.21	0.0190527	2.04557e+44
4.80704e+19	18.1825	2.23263	4.25128e+18	0.211	0.0183597	2.18498e+44
4.92015e+19	19.3803	2.35655	4.48471e+18	0.212	0.017691	2.32391e+44
5.03593e+19	20.6063	2.48138	4.72184e+18	0.213	0.017046	2.46204e+44
5.15443e+19	21.8611	2.60716	4.96275e+18	0.214	0.0164237	2.59909e+44
5.27572e+19	23.1455	2.73393	5.20753e+18	0.215	0.0158235	2.73479e+44
5.39986e+19	24.4601	2.86172	5.45628e+18	0.216	0.0152445	2.80989e+44
5.52693e+19	25.8057	2.99058	5.70908e+18	0.217	0.014686	2.81279e+44
5.65698e+19	27.1829	3.12054	5.96602e+18	0.218	0.0141475	2.81557e+44
5.7901e+19	28.5925	3.25165	6.22721e+18	0.219	0.013628	2.81823e+44
5.92634e+19	30.0352	3.38395	6.49274e+18	0.22	0.0131271	2.82078e+44
6.0658e+19	31.512	3.51747	6.7627e+18	0.221	0.0126441	2.82322e+44
6.20853e+19	33.0234	3.65226	7.03719e+18	0.222	0.0121784	2.82555e+44
6.35462e+19	34.5705	3.78835	7.31633e+18	0.223	0.0117293	2.82777e+44
6.50415e+19	36.1539	3.9258	7.6002e+18	0.224	0.0112963	2.82989e+44
6.6572e+19	37.7746	4.06464	7.88893e+18	0.225	0.0108789	2.8319e+44
6.81385e+19	39.4335	4.20491	8.18261e+18	0.226	0.0104764	2.83381e+44
6.97419e+19	41.1313	4.34666	8.48136e+18	0.227	0.0100885	2.83561e+44
7.1383e+19	42.8692	4.48993	8.78529e+18	0.228	0.00971453	2.83732e+44
7.30627e+19	44.6479	4.63476	9.09451e+18	0.229	0.00935406	2.83892e+44
7.4782e+19	46.4685	4.7812	9.40915e+18	0.23	0.00900662	2.84043e+44
7.65417e+19	48.3319	4.9293	9.72932e+18	0.231	0.00867175	2.84185e+44
7.83428e+19	50.2391	5.07909	1.00551e+19	0.232	0.00834901	2.84317e+44
8.01862e+19	52.1913	5.23062	1.03867e+19	0.233	0.00803798	2.84439e+44
8.20731e+19	54.1894	5.38394	1.07242e+19	0.234	0.00773825	2.84553e+44
8.40044e+19	56.2345	5.5391	1.10678e+19	0.235	0.00744942	2.84658e+44
8.59811e+19	58.3277	5.69615	1.14175e+19	0.236	0.0071711	2.84753e+44
8.80043e+19	60.4702	5.85512	1.17735e+19	0.237	0.00690293	2.8484e+44
9.00751e+19	62.6631	6.01608	1.21359e+19	0.238	0.00664455	2.84919e+44
9.21947e+19	64.9076	6.17907	1.2505e+19	0.239	0.0063956	2.84988e+44
9.43641e+19	67.2049	6.34413	1.28807e+19	0.24	0.00615577	2.8505e+44
9.65846e+19	69.5562	6.51133	1.32633e+19	0.241	0.00592472	2.85103e+44
9.88574e+19	71.9629	6.68071	1.36529e+19	0.242	0.00570214	2.85148e+44
1.01184e+20	74.4262	6.85232	1.40497e+19	0.243	0.00548773	2.85185e+44
1.03565e+20	76.9475	7.02622	1.44539e+19	0.244	0.0052812	2.85214e+44
1.06002e+20	79.5282	7.20246	1.48654e+19	0.245	0.00508227	2.85235e+44
1.08496e+20	82.1695	7.3811	1.52847e+19	0.246	0.00489066	2.85249e+44
1.11049e+20	84.873	7.56219	1.57117e+19	0.247	0.00470612	2.85255e+44
1.13662e+20	87.6401	7.74578	1.61468e+19	0.248	0.00452839	2.85253e+44
1.16337e+20	90.4723	7.93194	1.65899e+19	0.249	0.00435723	2.85245e+44
1.19074e+20	93.3712	8.12073	1.70414e+19	0.25	0.0041924	2.85228e+44
1.21876e+20	96.3383	8.31219	1.75014e+19	0.251	0.00403368	2.85205e+44
1.24744e+20	99.3752	8.50639	1.79701e+19	0.252	0.00388083	2.85175e+44
1.27679e+20	102.484	8.7034	1.84476e+19	0.253	0.00373366	2.85137e+44
1.30684e+20	105.665	8.90327	1.89342e+19	0.254	0.00359195	2.85093e+44
1.33759e+20	108.921	9.10607	1.94301e+19	0.255	0.00345552	2.85042e+44
1.36906e+20	112.254	9.31185	1.99354e+19	0.256	0.00332416	2.84984e+44
1.40128e+20	115.666	9.52069	2.04504e+19	0.257	0.00319769	2.8492e+44
1.43425e+20	119.158	9.73266	2.09752e+19	0.258	0.00307594	2.84849e+44
1.468e+20	122.731	9.94781	2.15101e+19	0.259	0.00295873	2.84772e+44
1.50254e+20	126.389	10.1662	2.20552e+19	0.26	0.0028459	2.84688e+44
1.5379e+20	130.133	10.388	2.26109e+19	0.261	0.00273729	2.84598e+44
1.57409e+20	133.966	10.6131	2.31773e+19	0.262	0.00263275	2.84502e+44
1.61113e+20	137.888	10.8417	2.37547e+19	0.263	0.00253213	2.844e+44
