log(E / eV)	log(z / pc)	t / yr	 logQ
6	1.69897	0	52.0424
6.11111	1.69897	0	52.3104
6.22222	1.69897	0	52.4677
6.33333	1.69897	0	52.5393
6.44444	1.69897	0	52.5446
6.55556	1.69897	0	52.4986
6.66667	1.69897	0	52.4127
6.77778	1.69897	0	52.2961
6.88889	1.69897	0	52.1557
7	1.69897	0	51.9968
7.11111	1.69897	0	51.8236
7.22222	1.69897	0	51.6393
7.33333	1.69897	0	51.4464
7.44444	1.69897	0	51.247
7.55556	1.69897	0	51.0424
7.66667	1.69897	0	50.8338
7.77778	1.69897	0	50.6221
7.88889	1.69897	0	50.4081
8	1.69897	0	50.1922
8.11111	1.69897	0	49.9749
8.22222	1.69897	0	49.7564
8.33333	1.69897	0	49.5372
8.44444	1.69897	0	49.3172
8.55556	1.69897	0	49.0968
8.66667	1.69897	0	48.8759
8.77778	1.69897	0	48.6547
8.88889	1.69897	0	48.4333
9	1.69897	0	48.2117
9.11111	1.69897	0	47.99
9.22222	1.69897	0	47.7682
9.33333	1.69897	0	47.5462
9.44444	1.69897	0	47.3242
9.55556	1.69897	0	47.1022
9.66667	1.69897	0	46.8801
9.77778	1.69897	0	46.658
9.88889	1.69897	0	46.4358
10	1.69897	0	46.2137
10.1111	1.69897	0	45.9915
10.2222	1.69897	0	45.7693
10.3333	1.69897	0	45.5471
10.4444	1.69897	0	45.3249
10.5556	1.69897	0	45.1027
10.6667	1.69897	0	44.8805
10.7778	1.69897	0	44.6582
10.8889	1.69897	0	44.436
11	1.69897	0	44.2138
11.1111	1.69897	0	43.9915
11.2222	1.69897	0	43.7693
11.3333	1.69897	0	43.547
11.4444	1.69897	0	43.3247
11.5556	1.69897	0	43.1024
11.6667	1.69897	0	42.8801
11.7778	1.69897	0	42.6577
11.8889	1.69897	0	42.4353
12	1.69897	0	42.2128
12.1111	1.69897	0	41.9903
12.2222	1.69897	0	41.7676
12.3333	1.69897	0	41.5449
12.4444	1.69897	0	41.322
12.5556	1.69897	0	41.0988
12.6667	1.69897	0	40.8755
12.7778	1.69897	0	40.6518
12.8889	1.69897	0	40.4276
13	1.69897	0	40.2029
13.1111	1.69897	0	39.9775
13.2222	1.69897	0	39.7511
13.3333	1.69897	0	39.5235
13.4444	1.69897	0	39.2944
13.5556	1.69897	0	39.0633
13.6667	1.69897	0	38.8295
13.7778	1.69897	0	38.5924
13.8889	1.69897	0	38.351
14	1.69897	0	38.1039
14.1111	1.69897	0	37.8496
14.2222	1.69897	0	37.586
14.3333	1.69897	0	37.3102
14.4444	1.69897	0	37.0189
14.5556	1.69897	0	36.7075
14.6667	1.69897	0	36.37
14.7778	1.69897	0	35.9989
14.8889	1.69897	0	35.5844
15	1.69897	0	35.1139
15.1111	1.69897	0	34.5709
15.2222	1.69897	0	33.9345
15.3333	1.69897	0	33.1773
15.4444	1.69897	0	32.2641
15.5556	1.69897	0	31.1494
15.6667	1.69897	0	29.7746
15.7778	1.69897	0	28.0637
15.8889	1.69897	0	25.9189
16	1.69897	0	23.2134
16.1111	1.69897	0	19.784
16.2222	1.69897	0	15.4196
16.3333	1.69897	0	9.84743
16.4444	1.69897	0	2.71554
16.5556	1.69897	0	-6.43087
16.6667	1.69897	0	-18.1791
16.7778	1.69897	0	-33.2878
16.8889	1.69897	0	-52.7366
17	1.69897	0	-77.7909
6	2.47712	0	-inf
6.11111	2.47712	0	-inf
6.22222	2.47712	0	-inf
6.33333	2.47712	0	-inf
6.44444	2.47712	0	-inf
6.55556	2.47712	0	-inf
6.66667	2.47712	0	-inf
6.77778	2.47712	0	-inf
6.88889	2.47712	0	-inf
7	2.47712	0	-inf
7.11111	2.47712	0	-inf
7.22222	2.47712	0	-inf
7.33333	2.47712	0	-inf
7.44444	2.47712	0	-inf
7.55556	2.47712	0	-inf
