Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc
6	51.67	0	-13.8792	-15.2297	-14.9468	-11.3038	3.3135
6.11111	51.67	0	-13.7681	-15.0609	-14.778	-11.3038	3.20239
6.22222	51.67	0	-13.657	-14.9186	-14.6356	-11.3038	3.09128
6.33333	51.67	0	-13.5459	-14.7898	-14.5068	-11.3038	2.98017
6.44444	51.67	0	-13.4348	-14.6685	-14.3854	-11.3038	2.86906
6.55556	51.67	0	-13.3237	-14.5514	-14.2683	-11.3038	2.75794
6.66667	51.67	0	-13.2126	-14.4368	-14.1536	-11.3038	2.64683
6.77778	51.67	0	-13.1015	-14.3237	-14.0403	-11.3038	2.53572
6.88889	51.67	0	-12.9904	-14.2114	-13.928	-11.3038	2.42461
7	51.67	0	-12.8792	-14.0997	-13.8161	-11.3038	2.3135
7.11111	51.67	0	-12.7681	-13.9884	-13.7045	-11.3038	2.20239
7.22222	51.67	0	-12.657	-13.8773	-13.5931	-11.3038	2.09128
7.33333	51.67	0	-12.5459	-13.7664	-13.4819	-11.3038	1.98017
7.44444	51.67	0	-12.4348	-13.6557	-13.3707	-11.3038	1.86906
7.55556	51.67	0	-12.3237	-13.5451	-13.2595	-11.3038	1.75794
7.66667	51.67	0	-12.2126	-13.4348	-13.1483	-11.3038	1.64683
7.77778	51.67	0	-12.1015	-13.3247	-13.0372	-11.3038	1.53572
7.88889	51.67	0	-11.9904	-13.2149	-12.9261	-11.3038	1.42461
8	51.67	0	-11.8792	-13.1055	-12.815	-11.3038	1.3135
8.11111	51.67	0	-11.7681	-12.9967	-12.7039	-11.3038	1.20239
8.22222	51.67	0	-11.657	-12.8884	-12.5928	-11.3038	1.09128
8.33333	51.67	0	-11.5459	-12.781	-12.4817	-11.3038	0.980167
8.44444	51.67	0	-11.4348	-12.6746	-12.3706	-11.3038	0.869056
8.55556	51.67	0	-11.3237	-12.5696	-12.2596	-11.3038	0.757945
8.66667	51.67	0	-11.2126	-12.4662	-12.1485	-11.3038	0.646834
8.77778	51.67	0	-11.1015	-12.3649	-12.0375	-11.3038	0.535723
8.88889	51.67	0	-10.9904	-12.2663	-11.9264	-11.3038	0.424611
9	51.67	0	-10.8792	-12.1708	-11.8155	-11.3038	0.3135
9.11111	51.67	0	-10.7681	-12.0794	-11.7045	-11.3038	0.202389
9.22222	51.67	0	-10.657	-11.9926	-11.5936	-11.3038	0.0912781
9.33333	51.67	0	-10.5459	-11.9115	-11.4827	-11.3038	-0.019833
9.44444	51.67	0	-10.4348	-11.8368	-11.3719	-11.3038	-0.130944
9.55556	51.67	0	-10.3237	-11.7695	-11.2612	-11.3038	-0.242055
9.66667	51.67	0	-10.2126	-11.7101	-11.1507	-11.3038	-0.353166
9.77778	51.67	0	-10.1015	-11.6591	-11.0403	-11.3038	-0.464277
9.88889	51.67	0	-9.99036	-11.6168	-10.9301	-11.3038	-0.575389
10	51.67	0	-9.87925	-11.583	-10.8201	-11.3038	-0.6865
10.1111	51.67	0	-9.76813	-11.5576	-10.7105	-11.3038	-0.797611
10.2222	51.67	0	-9.65702	-11.5401	-10.6013	-11.3038	-0.908722
10.3333	51.67	0	-9.54591	-11.5301	-10.4927	-11.3038	-1.01983
10.4444	51.67	0	-9.4348	-11.5274	-10.3848	-11.3038	-1.13094
10.5556	51.67	0	-9.32369	-11.5317	-10.2777	-11.3038	-1.24206
10.6667	51.67	0	-9.21258	-11.543	-10.1719	-11.3038	-1.35317
10.7778	51.67	0	-9.10147	-11.5611	-10.0675	-11.3038	-1.46428
10.8889	51.67	0	-8.99036	-11.586	-9.96491	-11.3038	-1.57539
11	51.67	0	-8.87925	-11.6177	-9.86465	-11.3038	-1.6865
11.1111	51.67	0	-8.76813	-11.6559	-9.76726	-11.3038	-1.79761
11.2222	51.67	0	-8.65702	-11.7004	-9.67338	-11.3038	-1.90872
11.3333	51.67	0	-8.54591	-11.7512	-9.58378	-11.3038	-2.01983
11.4444	51.67	0	-8.4348	-11.8078	-9.49927	-11.3038	-2.13094
11.5556	51.67	0	-8.32369	-11.8699	-9.42072	-11.3038	-2.24206
11.6667	51.67	0	-8.21258	-11.9372	-9.349	-11.3038	-2.35317
11.7778	51.67	0	-8.10147	-12.0093	-9.28486	-11.3038	-2.46428
11.8889	51.67	0	-7.99036	-12.0859	-9.22891	-11.3038	-2.57539
12	51.67	0	-7.87925	-12.1666	-9.18152	-11.3038	-2.6865
12.1111	51.67	0	-7.76813	-12.251	-9.14277	-11.3038	-2.79761
12.2222	51.67	0	-7.65702	-12.3388	-9.11252	-11.3038	-2.90872
12.3333	51.67	0	-7.54591	-12.4297	-9.09043	-11.3038	-3.01983
12.4444	51.67	0	-7.4348	-12.5234	-9.07611	-11.3038	-3.13094
12.5556	51.67	0	-7.32369	-12.6195	-9.06919	-11.3038	-3.24206
12.6667	51.67	0	-7.21258	-12.7177	-9.06942	-11.3038	-3.35317
12.7778	51.67	0	-7.10147	-12.8179	-9.07663	-11.3038	-3.46428
12.8889	51.67	0	-6.99036	-12.9198	-9.09075	-11.3038	-3.57539
13	51.67	0	-6.87925	-13.0231	-9.1117	-11.3038	-3.6865
13.1111	51.67	0	-6.76813	-13.1277	-9.13941	-11.3038	-3.79761
13.2222	51.67	0	-6.65702	-13.2333	-9.17379	-11.3038	-3.90872
13.3333	51.67	0	-6.54591	-13.3399	-9.21467	-11.3038	-4.01983
13.4444	51.67	0	-6.4348	-13.4473	-9.26184	-11.3038	-4.13094
13.5556	51.67	0	-6.32369	-13.5553	-9.31504	-11.3038	-4.24206
13.6667	51.67	0	-6.21258	-13.664	-9.37397	-11.3038	-4.35317
13.7778	51.67	0	-6.10147	-13.7731	-9.43829	-11.3038	-4.46428
13.8889	51.67	0	-5.99036	-13.8825	-9.50765	-11.3038	-4.57539
14	51.67	0	-5.87925	-13.9923	-9.58166	-11.3038	-4.6865
14.1111	51.67	0	-5.76813	-14.1024	-9.65998	-11.3038	-4.79761
14.2222	51.67	0	-5.65702	-14.2127	-9.74225	-11.3038	-4.90872
14.3333	51.67	0	-5.54591	-14.3231	-9.82813	-11.3038	-5.01983
14.4444	51.67	0	-5.4348	-14.4337	-9.91726	-11.3038	-5.13094
14.5556	51.67	0	-5.32369	-14.5444	-10.0093	-11.3038	-5.24206
14.6667	51.67	0	-5.21258	-14.6552	-10.104	-11.3038	-5.35317
14.7778	51.67	0	-5.10147	-14.7661	-10.2011	-11.3038	-5.46428
14.8889	51.67	0	-4.99036	-14.877	-10.3002	-11.3038	-5.57539
15	51.67	0	-4.87925	-14.988	-10.4011	-11.3038	-5.6865
15.1111	51.67	0	-4.76813	-15.099	-10.5036	-11.3038	-5.79761
15.2222	51.67	0	-4.65702	-15.21	-10.6074	-11.3038	-5.90872
15.3333	51.67	0	-4.54591	-15.321	-10.7125	-11.3038	-6.01983
15.4444	51.67	0	-4.4348	-15.4321	-10.8185	-11.3038	-6.13094
15.5556	51.67	0	-4.32369	-15.5431	-10.9255	-11.3038	-6.24206
15.6667	51.67	0	-4.21258	-15.6542	-11.0331	-11.3038	-6.35317
15.7778	51.67	0	-4.10147	-15.7653	-11.1414	-11.3038	-6.46428
15.8889	51.67	0	-3.99036	-15.8764	-11.2503	-11.3038	-6.57539
16	51.67	0	-3.87925	-15.9875	-11.3595	-11.3038	-6.6865
16.1111	51.67	0	-3.76813	-16.0986	-11.4691	-11.3038	-6.79761
16.2222	51.67	0	-3.65702	-16.2097	-11.5791	-11.3038	-6.90872
16.3333	51.67	0	-3.54591	-16.3208	-11.6892	-11.3038	-7.01983
16.4444	51.67	0	-3.4348	-16.4319	-11.7996	-11.3038	-7.13094
16.5556	51.67	0	-3.32369	-16.543	-11.9101	-11.3038	-7.24206
16.6667	51.67	0	-3.21258	-16.6541	-12.0207	-11.3038	-7.35317
16.7778	51.67	0	-3.10147	-16.7652	-12.1315	-11.3038	-7.46428
16.8889	51.67	0	-2.99036	-16.8763	-12.2423	-11.3038	-7.57539
17	51.67	0	-2.87925	-16.9875	-12.3532	-11.3038	-7.6865
