log(E/eV)	Synchr	IC	IC - IR	SSC
-5.8326	41.3097	15.3654	22.1765	0	41.3097
-5.59017	41.425	16.0927	22.9038	34.2166	41.425
-5.34775	41.5482	16.82	23.6311	34.8245	41.5482
-5.10532	41.6755	17.5472	24.3583	35.3152	41.6755
-4.8629	41.7883	18.2745	25.0856	35.7571	41.7883
-4.62048	41.9002	19.0018	25.8128	36.1522	41.9002
-4.37805	42.0207	19.729	26.54	36.5112	42.0207
-4.13563	42.1288	20.4563	27.2672	36.789	42.1288
-3.8932	42.2295	21.1836	27.9943	37.0505	42.2295
-3.65078	42.3424	21.9109	28.7213	37.2972	42.3424
-3.40835	42.4506	22.6381	29.448	37.5296	42.4506
-3.16593	42.5442	23.3654	30.1743	37.7314	42.5442
-2.92351	42.6425	24.0927	30.9	37.931	42.6425
-2.68108	42.7386	24.8199	31.6244	38.1406	42.7386
-2.43866	42.8114	25.5471	32.3467	38.3075	42.8114
-2.19623	42.88	26.2744	33.0652	38.4908	42.88
-1.95381	42.9581	27.0015	33.7771	38.6682	42.9582
-1.71138	43.0169	27.7286	34.4775	38.8322	43.017
-1.46896	43.0612	28.4556	35.1577	38.9942	43.0613
-1.22654	43.1207	29.1823	35.8029	39.1506	43.1207
-0.984111	43.1701	29.9086	36.389	39.3027	43.1702
-0.741687	43.1908	30.6343	36.8797	39.4465	43.1909
-0.499263	43.2173	31.3586	37.2383	39.5962	43.2174
-0.256839	43.2505	32.0808	37.4838	39.7489	43.2506
-0.0144145	43.254	32.7993	37.6942	39.8828	43.2541
0.22801	43.2525	33.511	37.8941	40.0221	43.2528
0.470434	43.2793	34.211	38.0823	40.1643	43.2796
0.712858	43.2932	34.8906	38.2581	40.2941	43.2937
0.955282	43.2922	35.5347	38.4225	40.4226	43.2928
1.19771	43.3119	36.119	38.5776	40.5558	43.3127
1.44013	43.3237	36.607	38.7272	40.6836	43.3247
1.68256	43.3054	36.9623	38.874	40.8063	43.3068
1.92498	43.3016	37.206	39.0164	40.9249	43.3034
2.1674	43.315	37.4162	39.1535	41.0489	43.3173
2.40983	43.3038	37.6158	39.2854	41.1674	43.307
2.65225	43.2962	37.8037	39.4127	41.2808	43.3004
2.89468	43.3173	37.9793	39.5359	41.401	43.3226
3.1371	43.3162	38.1434	39.6565	41.5043	43.323
3.37952	43.296	38.2983	39.7779	41.6146	43.305
3.62195	43.3009	38.4479	39.9028	41.7303	43.3126
3.86437	43.297	38.5946	40.0288	41.8068	43.3111
4.1068	43.2641	38.7369	40.1524	41.9291	43.2841
4.34922	43.2523	38.8738	40.2727	42.0331	43.2782
4.59165	43.2581	39.0056	40.3893	42.1096	43.2885
4.83407	43.2383	39.1328	40.502	42.2097	43.278
5.07649	43.2199	39.2559	40.6113	42.2883	43.269
5.31892	43.2189	39.3765	40.7192	42.3765	43.2785
5.56134	43.1837	39.4979	40.8288	42.4538	43.2596
5.80377	43.1234	39.6229	40.9388	42.5382	43.2261
6.04619	43.0918	39.7489	41.0439	42.6087	43.2183
6.28862	43.0467	39.8631	41.1285	42.6877	43.2081
6.53104	42.9617	39.9859	41.2303	42.7575	43.1777
6.77346	42.8962	40.1068	41.2927	42.8232	43.1684
7.01589	42.8398	40.2094	41.3846	42.8926	43.1756
7.25831	42.7198	40.3256	41.4391	42.954	43.1625
7.50074	42.5665	40.4445	41.507	42.9778	43.1315
7.74316	42.4402	40.5497	41.5457	43.0782	43.1794
7.98559	42.2537	40.6469	41.6003	43.1096	43.1792
8.22801	41.9539	40.7421	41.618	43.1551	43.1948
8.47043	41.6549	40.8355	41.6635	43.2013	43.2273
8.71286	41.3783	40.9246	41.6779	43.2259	43.2461
8.95528	41.0017	41.0069	41.6938	43.2584	43.2748
9.19771	40.4965	41.0833	41.712	43.2819	43.2968
9.44013	40.0216	41.1482	41.723	43.3023	43.3168
9.68256	39.4887	41.2042	41.7288	43.2982	43.3132
9.92498	38.7084	41.2548	41.7348	43.2893	43.3051
10.1674	37.5112	41.2958	41.7388	43.2666	43.2838
10.4098	36.3196	41.3253	41.7409	43.2501	43.2683
10.6523	34.5038	41.2578	41.7409	43.2297	43.248
10.8947	32.805	41.0015	41.7402	43.1755	43.194
11.1371	30.2611	40.5614	41.7401	43.1099	43.1292
11.3795	25.5774	39.9937	41.7374	43.0875	43.1068
11.6219	17.1509	39.3627	41.7389	42.9971	43.0205
11.8644	2.18365	38.6989	41.7322	42.9322	42.9588
12.1068	-24.2136	38.0018	41.7283	42.824	42.8575
12.3492	-70.5851	37.2838	41.7245	42.7372	42.7775
12.5916	-151.862	36.553	41.7023	42.6837	42.7268
12.8341	0	35.8043	41.5649	42.5269	42.5719
13.0765	0	35.0659	41.2338	42.4478	42.4736
13.3189	0	34.3103	40.7303	42.2714	42.2837
13.5613	0	33.5394	40.1123	42.0563	42.0612
13.8038	0	32.74	39.4061	41.9538	41.9551
14.0462	0	31.914	38.6372	41.661	41.6614
14.2886	0	31.0461	37.8044	41.4227	41.4228
14.531	0	30.1168	36.8964	40.9988	40.9988
14.7735	0	29.078	35.8705	40.1181	40.1181
15.0159	0	27.8656	34.6658	39.5551	39.5551
15.2583	0	26.3791	33.1838	38.5088	38.5088
15.5007	0	24.4605	31.268	37.5786	37.5786
15.7432	0	21.9581	28.767	35.5619	35.5619
15.9856	0	18.3923	25.2021	0	25.2021
16.228	0	0	0	0	0
16.4704	0	0	0	0	0
16.7129	0	0	0	0	0
16.9553	0	0	0	0	0
17.1977	0	0	0	0	0
17.4401	0	0	0	0	0
17.6826	0	0	0	0	0
17.925	0	0	0	0	0
18.1674	0	0	0	0	0
