Log(E/eV)	z [pc]	tobs [yr]	IC-ssc
6	51.67	0	-13.2159
6.11111	51.67	0	-13.0757
6.22222	51.67	0	-12.951
6.33333	51.67	0	-12.8356
6.44444	51.67	0	-12.7262
6.55556	51.67	0	-12.6204
6.66667	51.67	0	-12.5172
6.77778	51.67	0	-12.4156
6.88889	51.67	0	-12.3151
7	51.67	0	-12.2156
7.11111	51.67	0	-12.1167
7.22222	51.67	0	-12.0184
7.33333	51.67	0	-11.9206
7.44444	51.67	0	-11.8231
7.55556	51.67	0	-11.7261
7.66667	51.67	0	-11.6295
7.77778	51.67	0	-11.5333
7.88889	51.67	0	-11.4374
8	51.67	0	-11.3418
8.11111	51.67	0	-11.2466
8.22222	51.67	0	-11.1517
8.33333	51.67	0	-11.0571
8.44444	51.67	0	-10.9628
8.55556	51.67	0	-10.8689
8.66667	51.67	0	-10.7753
8.77778	51.67	0	-10.6821
8.88889	51.67	0	-10.5893
9	51.67	0	-10.4969
9.11111	51.67	0	-10.4049
9.22222	51.67	0	-10.3133
9.33333	51.67	0	-10.2221
9.44444	51.67	0	-10.1313
9.55556	51.67	0	-10.041
9.66667	51.67	0	-9.95123
9.77778	51.67	0	-9.86194
9.88889	51.67	0	-9.77314
10	51.67	0	-9.68485
10.1111	51.67	0	-9.59707
10.2222	51.67	0	-9.50983
10.3333	51.67	0	-9.42316
10.4444	51.67	0	-9.33712
10.5556	51.67	0	-9.25174
10.6667	51.67	0	-9.16706
10.7778	51.67	0	-9.08309
10.8889	51.67	0	-8.99985
11	51.67	0	-8.91735
11.1111	51.67	0	-8.83564
11.2222	51.67	0	-8.75475
11.3333	51.67	0	-8.67474
11.4444	51.67	0	-8.59565
11.5556	51.67	0	-8.51753
11.6667	51.67	0	-8.44036
11.7778	51.67	0	-8.36413
11.8889	51.67	0	-8.28883
12	51.67	0	-8.21443
12.1111	51.67	0	-8.14095
12.2222	51.67	0	-8.06843
12.3333	51.67	0	-7.9969
12.4444	51.67	0	-7.92641
12.5556	51.67	0	-7.85696
12.6667	51.67	0	-7.78853
12.7778	51.67	0	-7.72107
12.8889	51.67	0	-7.65455
13	51.67	0	-7.58895
13.1111	51.67	0	-7.5243
13.2222	51.67	0	-7.46064
13.3333	51.67	0	-7.39802
13.4444	51.67	0	-7.33648
13.5556	51.67	0	-7.276
13.6667	51.67	0	-7.21654
13.7778	51.67	0	-7.15806
13.8889	51.67	0	-7.10049
14	51.67	0	-7.04383
14.1111	51.67	0	-6.98813
14.2222	51.67	0	-6.93346
14.3333	51.67	0	-6.87989
14.4444	51.67	0	-6.82749
14.5556	51.67	0	-6.7763
14.6667	51.67	0	-6.72635
14.7778	51.67	0	-6.67769
14.8889	51.67	0	-6.63039
15	51.67	0	-6.58464
15.1111	51.67	0	-6.54066
15.2222	51.67	0	-6.49873
15.3333	51.67	0	-6.45917
15.4444	51.67	0	-6.4223
15.5556	51.67	0	-6.38844
15.6667	51.67	0	-6.35794
15.7778	51.67	0	-6.33121
15.8889	51.67	0	-6.30877
16	51.67	0	-6.29125
16.1111	51.67	0	-6.27936
16.2222	51.67	0	-6.27389
16.3333	51.67	0	-6.27561
16.4444	51.67	0	-6.2852
16.5556	51.67	0	-6.3032
16.6667	51.67	0	-6.32997
16.7778	51.67	0	-6.36568
16.8889	51.67	0	-6.41028
17	51.67	0	-6.46351
