log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	0	49.7924
6.37931	1	0	50.2986
6.75862	1	0	50.0681
7.13793	1	0	49.53
7.51724	1	0	48.8634
7.89655	1	0	48.1432
8.27586	1	0	47.4007
8.65517	1	0	46.6488
9.03448	1	0	45.8929
9.41379	1	0	45.1355
9.7931	1	0	44.3773
10.1724	1	0	43.6189
10.5517	1	0	42.8603
10.931	1	0	42.1016
11.3103	1	0	41.3427
11.6897	1	0	40.5834
12.069	1	0	39.823
12.4483	1	0	39.0603
12.8276	1	0	38.2919
13.2069	1	0	37.5098
13.5862	1	0	36.695
13.9655	1	0	35.8019
14.3448	1	0	34.721
14.7241	1	0	33.1905
15.1034	1	0	30.5834
15.4828	1	0	25.3975
15.8621	1	0	14.0354
16.2414	1	0	-12.1188
16.6207	1	0	-73.7005
17	1	0	-220.132
6	1.0101	0.113921	48.9388
6.37931	1.0101	0.113921	49.445
6.75862	1.0101	0.113921	49.2144
7.13793	1.0101	0.113921	48.6763
7.51724	1.0101	0.113921	48.0098
7.89655	1.0101	0.113921	47.2896
8.27586	1.0101	0.113921	46.547
8.65517	1.0101	0.113921	45.7951
9.03448	1.0101	0.113921	45.0393
9.41379	1.0101	0.113921	44.2818
9.7931	1.0101	0.113921	43.5237
10.1724	1.0101	0.113921	42.7652
10.5517	1.0101	0.113921	42.0066
10.931	1.0101	0.113921	41.2479
11.3103	1.0101	0.113921	40.489
11.6897	1.0101	0.113921	39.7297
12.069	1.0101	0.113921	38.9694
12.4483	1.0101	0.113921	38.2067
12.8276	1.0101	0.113921	37.4382
13.2069	1.0101	0.113921	36.6562
13.5862	1.0101	0.113921	35.8414
13.9655	1.0101	0.113921	34.9482
14.3448	1.0101	0.113921	33.8673
14.7241	1.0101	0.113921	32.3369
15.1034	1.0101	0.113921	29.7297
15.4828	1.0101	0.113921	24.5438
15.8621	1.0101	0.113921	13.1817
16.2414	1.0101	0.113921	-12.9725
16.6207	1.0101	0.113921	-74.5542
17	1.0101	0.113921	-220.986
6	1.0202	0.142268	48.654
6.37931	1.0202	0.142268	49.1602
6.75862	1.0202	0.142268	48.9297
7.13793	1.0202	0.142268	48.3916
7.51724	1.0202	0.142268	47.725
7.89655	1.0202	0.142268	47.0048
8.27586	1.0202	0.142268	46.2622
8.65517	1.0202	0.142268	45.5103
9.03448	1.0202	0.142268	44.7545
