Log(E/eV)	Synchr	IC	Diff	Acc	Ad
6	-12.4067	-10.7932	-20.5068	4.04977	-8.71211
6.10101	-12.3057	-10.6635	-20.4058	3.94876	-8.71211
6.20202	-12.2047	-10.5473	-20.3048	3.84775	-8.71211
6.30303	-12.1037	-10.4399	-20.2037	3.74674	-8.71211
6.40404	-12.0027	-10.3388	-20.1027	3.64573	-8.71211
6.50505	-11.9017	-10.2423	-20.0017	3.54472	-8.71211
6.60606	-11.8006	-10.1497	-19.9007	3.44371	-8.71211
6.70707	-11.6996	-10.0605	-19.7997	3.3427	-8.71211
6.80808	-11.5986	-9.97482	-19.6987	3.24169	-8.71211
6.90909	-11.4976	-9.8927	-19.5977	3.14068	-8.71211
7.0101	-11.3966	-9.81447	-19.4967	3.03967	-8.71211
7.11111	-11.2956	-9.74049	-19.3957	2.93866	-8.71211
7.21212	-11.1946	-9.67122	-19.2947	2.83765	-8.71211
7.31313	-11.0936	-9.60708	-19.1936	2.73664	-8.71211
7.41414	-10.9926	-9.54853	-19.0926	2.63563	-8.71211
7.51515	-10.8916	-9.49597	-18.9916	2.53462	-8.71211
7.61616	-10.7905	-9.44974	-18.8906	2.43361	-8.71211
7.71717	-10.6895	-9.41013	-18.7896	2.3326	-8.71211
7.81818	-10.5885	-9.37734	-18.6886	2.23159	-8.71211
7.91919	-10.4875	-9.35154	-18.5876	2.13058	-8.71211
8.0202	-10.3865	-9.33282	-18.4866	2.02957	-8.71211
8.12121	-10.2855	-9.32122	-18.3856	1.92856	-8.71211
8.22222	-10.1845	-9.31676	-18.2846	1.82755	-8.71211
8.32323	-10.0835	-9.31942	-18.1835	1.72654	-8.71211
8.42424	-9.98246	-9.32915	-18.0825	1.62553	-8.71211
8.52525	-9.88145	-9.34585	-17.9815	1.52452	-8.71211
8.62626	-9.78044	-9.3694	-17.8805	1.42351	-8.71211
8.72727	-9.67943	-9.39962	-17.7795	1.3225	-8.71211
8.82828	-9.57842	-9.43631	-17.6785	1.22149	-8.71211
8.92929	-9.47741	-9.47921	-17.5775	1.12048	-8.71211
9.0303	-9.3764	-9.52804	-17.4765	1.01947	-8.71211
9.13131	-9.27539	-9.58246	-17.3755	0.918456	-8.71211
9.23232	-9.17438	-9.64214	-17.2745	0.817446	-8.71211
9.33333	-9.07337	-9.70671	-17.1734	0.716436	-8.71211
9.43434	-8.97236	-9.7758	-17.0724	0.615426	-8.71211
9.53535	-8.87135	-9.84906	-16.9714	0.514416	-8.71211
9.63636	-8.77034	-9.92611	-16.8704	0.413406	-8.71211
9.73737	-8.66933	-10.0066	-16.7694	0.312396	-8.71211
9.83838	-8.56832	-10.0902	-16.6684	0.211386	-8.71211
9.93939	-8.46731	-10.1766	-16.5674	0.110376	-8.71211
10.0404	-8.3663	-10.2656	-16.4664	0.00936548	-8.71211
10.1414	-8.26529	-10.3567	-16.3654	-0.0916446	-8.71211
10.2424	-8.16428	-10.4498	-16.2644	-0.192655	-8.71211
10.3434	-8.06327	-10.5447	-16.1633	-0.293665	-8.71211
10.4444	-7.96226	-10.6411	-16.0623	-0.394675	-8.71211
10.5455	-7.86125	-10.7389	-15.9613	-0.495685	-8.71211
10.6465	-7.76024	-10.8378	-15.8603	-0.596695	-8.71211
10.7475	-7.65923	-10.9377	-15.7593	-0.697705	-8.71211
10.8485	-7.55822	-11.0385	-15.6583	-0.798715	-8.71211
10.9495	-7.45721	-11.14	-15.5573	-0.899725	-8.71211
11.0505	-7.3562	-11.2422	-15.4563	-1.00074	-8.71211
11.1515	-7.25519	-11.3449	-15.3553	-1.10175	-8.71211
11.2525	-7.15418	-11.4481	-15.2543	-1.20276	-8.71211
11.3535	-7.05317	-11.5516	-15.1532	-1.30377	-8.71211
11.4545	-6.95216	-11.6554	-15.0522	-1.40478	-8.71211
11.5556	-6.85115	-11.7595	-14.9512	-1.50579	-8.71211
11.6566	-6.75014	-11.8638	-14.8502	-1.6068	-8.71211
11.7576	-6.64913	-11.9682	-14.7492	-1.70781	-8.71211
11.8586	-6.54812	-12.0728	-14.6482	-1.80882	-8.71211
11.9596	-6.44711	-12.1775	-14.5472	-1.90983	-8.71211
12.0606	-6.3461	-12.2823	-14.4462	-2.01084	-8.71211
