log(E/eV)	Synchr	IC	IC-Aux	SSC
-9.53421	41.3483	0	0	0
-9.27159	41.6874	0	0	36.7663
-9.00896	42.0179	0	0	37.4825
-8.74634	42.3339	0	0	38.0665
-8.48371	42.6271	0	0	38.5899
-8.22108	42.8882	0	0	39.0685
-7.95846	43.1118	0	0	39.4965
-7.69583	43.3016	0	0	39.8779
-7.4332	43.4596	0	0	40.2297
-7.17058	43.5784	0	0	40.5482
-6.90795	43.6733	0	0	40.8386
-6.64532	43.7577	0	0	41.1067
-6.3827	43.8117	0	0	41.3536
-6.12007	43.8529	0	0	41.5773
-5.85745	43.8927	0	0	41.7821
-5.59482	43.9039	0	0	41.9708
-5.33219	43.9188	0	0	42.1393
-5.06957	43.9414	0	0	42.3
-4.80694	43.9442	0	0	42.4397
-4.54431	43.9583	0	0	42.5641
-4.28169	43.9619	0	0	42.6801
-4.01906	43.9457	0	0	42.782
-3.75644	43.9502	0	0	42.879
-3.49381	43.942	0	0	42.9619
-3.23118	43.9286	0	31.5915	43.0443
-2.96856	43.9309	0	32.9714	43.1127
-2.70593	43.9036	0	33.9117	43.1769
-2.4433	43.8757	0	34.7575	43.2342
-2.18068	43.8544	0	35.5578	43.289
-1.91805	43.803	0	36.3239	43.338
-1.65543	43.7675	0	37.051	43.3827
-1.3928	43.7264	0	37.7209	43.4239
-1.13017	43.6518	0	38.3049	43.4594
-0.867547	43.5929	0	38.7905	43.5173
-0.604921	43.5069	0	39.2124	43.4806
-0.342295	43.3955	0	39.5948	43.5566
-0.0796683	43.3186	0	39.928	43.5774
0.182958	43.2179	0	40.2031	43.593
0.445584	43.1117	0	40.4305	43.6092
0.70821	43.0184	0	40.629	43.629
0.970837	42.8764	0	40.7663	43.6379
1.23346	42.7483	0	40.8525	43.6489
1.49609	42.6402	36.2242	40.9758	43.6502
1.75872	42.5025	37.4515	41.0477	43.6518
2.02134	42.3971	38.3496	41.0852	43.6528
2.28397	42.2743	39.1693	41.1406	43.6322
2.54659	42.1186	39.9519	41.1654	43.6548
2.80922	42.0024	40.7049	41.1735	43.6214
3.07185	41.862	41.4209	41.1975	43.6075
3.33447	41.7242	42.0795	41.2203	43.593
3.5971	41.6231	42.6507	41.2204	43.5742
3.85973	41.4777	43.1262	41.2528	43.5607
4.12235	41.3443	43.5427	41.1928	43.5314
4.38498	41.2198	43.9192	41.2465	43.4984
4.6476	41.0563	44.2446	41.1748	43.472
4.91023	40.9348	44.5085	41.2201	43.4395
5.17286	40.8108	44.7281	41.181	43.4022
5.43548	40.6632	44.9161	41.2421	43.3591
5.69811	40.5453	45.0382	41.161	43.3177
5.96074	40.3851	45.132	41.222	43.2768
6.22336	40.2148	45.2184	41.1218	43.2329
6.48599	40.0849	45.2369	41.0644	43.1718
6.74861	39.9185	45.2756	41.0693	43.1005
7.01124	39.7646	45.2828	40.9139	43.0554
7.27387	39.6052	45.213	40.9731	42.9726
7.53649	39.3722	45.1912	40.8594	42.9486
7.79912	39.1593	45.0886	40.7293	42.921
8.06175	38.9264	45.0408	40.7051	42.6288
8.32437	38.617	44.8289	40.5268	42.7231
8.587	38.3473	44.8006	40.4794	42.5904
8.84962	37.9949	44.5447	40.3997	42.484
9.11225	37.4189	44.2855	40.1263	42.5108
9.37488	36.7208	44.026	40.0967	42.0939
9.6375	35.8585	43.7208	39.988	42.1762
9.90013	34.6577	42.7356	39.9185	41.958
10.1628	32.2919	42.891	39.7155	41.9017
10.4254	27.6714	41.5767	39.6263	41.6942
10.688	18.9216	41.218	39.4138	41.4995
10.9506	2.61223	41.7853	39.3279	41.3202
11.2133	-27.5369	39.8652	39.1506	41.1942
11.4759	-83.023	39.7238	38.9252	40.8272
11.7385	-184.894	37.9953	38.817	40.7753
12.0011	0	38.2464	38.6038	40.4797
12.2638	0	36.578	38.4319	40.357
12.5264	0	36.249	38.0116	40.0892
12.789	0	34.6309	37.8531	39.7406
13.0516	0	34.7543	37.4353	39.6535
13.3143	0	33.2275	37.2323	39.3249
13.5769	0	32.766	36.6072	38.9341
13.8395	0	33.6954	35.9426	38.618
14.1021	0	31.259	35.8911	38.3178
14.3648	0	31.1427	35.0308	37.8301
14.6274	0	28.8976	33.8568	37.0487
14.89	0	29.0751	33.9092	36.0164
15.1527	0	25.7788	30.8545	34.3426
15.4153	0	0	0	0
15.6779	0	0	0	0
15.9405	0	0	0	0
16.2032	0	0	0	0
16.4658	0	0	0	0
