z / pc	Gc	Fe
10	1	0.039936
10.8264	1.91	0.121847
11.721	1.915	0.104477
12.6896	1.92	0.0895816
13.7382	1.925	0.0768089
14.8735	1.93	0.0658563
16.1026	1.935	0.0564646
17.4333	1.94	0.0484115
18.8739	1.945	0.0415064
20.4336	1.95	0.0355856
22.1222	1.955	0.0305089
23.9503	1.96	0.0261561
25.9294	1.965	0.022424
28.0722	1.97	0.0192241
30.392	1.975	0.0164806
32.9034	1.98	0.0141284
35.6225	1.985	0.0121118
38.5662	1.99	0.0103828
41.7532	1.995	0.00890056
45.2035	2	0.00762979
48.939	2.005	0.00654035
52.9832	2.01	0.00560639
57.3615	2.015	0.00480573
62.1017	2.02	0.00411936
67.2336	2.025	0.00353096
72.7895	2.03	0.00302657
78.8046	2.035	0.00259419
85.3168	2.04	0.00222355
92.3671	2.045	0.00190584
100	2.05	0.0016335
