z / pc	time [yr]	Gc	Fe	Lnt
10	32.7213	0.1	0.009999	2.0967e+42
10.8264	35.4253	0.192	0.0314084	1.78658e+42
11.721	38.3527	0.193	0.0270758	1.52421e+42
12.6896	41.5221	0.194	0.0233395	1.30037e+42
13.7382	44.9533	0.195	0.0201177	1.1094e+42
14.8735	48.6681	0.196	0.0173398	9.46477e+41
16.1026	52.6899	0.197	0.0149446	8.07479e+41
17.4333	57.044	0.198	0.0128796	6.88894e+41
18.8739	61.7579	0.199	0.0110994	5.87724e+41
20.4336	66.8614	0.2	0.00956478	5.01411e+41
22.1222	72.3866	0.201	0.0082419	4.27774e+41
23.9503	78.3684	0.202	0.00710164	3.64951e+41
25.9294	84.8445	0.203	0.00611882	3.11354e+41
28.0722	91.8558	0.204	0.00527176	2.65628e+41
30.392	99.4465	0.205	0.00454175	2.26618e+41
32.9034	107.664	0.206	0.00391263	1.93336e+41
35.6225	116.561	0.207	0.0033705	1.64943e+41
38.5662	126.194	0.208	0.00290335	1.40719e+41
41.7532	136.622	0.209	0.00250083	1.20052e+41
45.2035	147.912	0.21	0.00215401	1.02421e+41
48.939	160.135	0.211	0.00185521	8.7379e+40
52.9832	173.368	0.212	0.00159778	7.45461e+40
57.3615	187.694	0.213	0.00137601	6.35979e+40
62.1017	203.205	0.214	0.00118497	5.42576e+40
67.2336	219.997	0.215	0.00102041	4.6289e+40
72.7895	238.177	0.216	0.000878665	3.94907e+40
78.8046	257.859	0.217	0.000756575	3.36908e+40
85.3168	279.168	0.218	0.000651421	2.87427e+40
92.3671	302.237	0.219	0.000560859	2.45214e+40
100	327.213	0.22	0.000482866	2.09199e+40
Lnt total	1.41405e+43
