log(E / eV)	log(z / pc)	t / yr	 logQ
6	1	32.7213	57.4963
6.37931	1	32.7213	57.93
6.75862	1	32.7213	57.6873
7.13793	1	32.7213	57.1459
7.51724	1	32.7213	56.4782
7.89655	1	32.7213	55.7576
8.27586	1	32.7213	55.0148
8.65517	1	32.7213	54.2628
9.03448	1	32.7213	53.507
9.41379	1	32.7213	52.7495
9.7931	1	32.7213	51.9914
10.1724	1	32.7213	51.2329
10.5517	1	32.7213	50.4744
10.931	1	32.7213	49.7152
11.3103	1	32.7213	48.9377
11.6897	1	32.7213	48.0914
12.069	1	32.7213	47.1407
12.4483	1	32.7213	46.0969
12.8276	1	32.7213	44.9898
13.2069	1	32.7213	43.8378
13.5862	1	32.7213	42.6399
13.9655	1	32.7213	41.3731
14.3448	1	32.7213	39.982
14.7241	1	32.7213	38.3449
15.1034	1	32.7213	36.1457
15.4828	1	32.7213	32.5174
15.8621	1	32.7213	25.4167
16.2414	1	32.7213	9.9978
16.6207	1	32.7213	-25.3435
17	1	32.7213	-inf
6	1.03448	35.4253	57.6491
6.37931	1.03448	35.4253	57.6876
6.75862	1.03448	35.4253	57.3539
7.13793	1.03448	35.4253	56.7862
7.51724	1.03448	35.4253	56.1092
7.89655	1.03448	35.4253	55.3849
8.27586	1.03448	35.4253	54.6407
8.65517	1.03448	35.4253	53.8881
9.03448	1.03448	35.4253	53.132
9.41379	1.03448	35.4253	52.3744
9.7931	1.03448	35.4253	51.6159
10.1724	1.03448	35.4253	50.853
10.5517	1.03448	35.4253	50.0675
10.931	1.03448	35.4253	49.2188
11.3103	1.03448	35.4253	48.2753
11.6897	1.03448	35.4253	47.2441
12.069	1.03448	35.4253	46.1546
12.4483	1.03448	35.4253	45.0313
12.8276	1.03448	35.4253	43.8856
13.2069	1.03448	35.4253	42.7164
13.5862	1.03448	35.4253	41.5112
13.9655	1.03448	35.4253	40.2413
14.3448	1.03448	35.4253	38.849
14.7241	1.03448	35.4253	37.2115
15.1034	1.03448	35.4253	35.012
15.4828	1.03448	35.4253	31.3837
15.8621	1.03448	35.4253	24.283
16.2414	1.03448	35.4253	8.86406
16.6207	1.03448	35.4253	-26.4772
17	1.03448	35.4253	-inf
6	1.06897	38.3527	57.6301
6.37931	1.06897	38.3527	57.6828
6.75862	1.06897	38.3527	57.3533
7.13793	1.06897	38.3527	56.7868
7.51724	1.06897	38.3527	56.1102
7.89655	1.06897	38.3527	55.3862
8.27586	1.06897	38.3527	54.642
8.65517	1.06897	38.3527	53.8895
9.03448	1.06897	38.3527	53.1334
9.41379	1.06897	38.3527	52.3758
9.7931	1.06897	38.3527	51.6173
10.1724	1.06897	38.3527	50.8544
10.5517	1.06897	38.3527	50.0682
10.931	1.06897	38.3527	49.2173
11.3103	1.06897	38.3527	48.271
11.6897	1.06897	38.3527	47.2375
12.069	1.06897	38.3527	46.1467
12.4483	1.06897	38.3527	45.0228
12.8276	1.06897	38.3527	43.8767
13.2069	1.06897	38.3527	42.7074
13.5862	1.06897	38.3527	41.5022
13.9655	1.06897	38.3527	40.2323
14.3448	1.06897	38.3527	38.84
